id	group	rounds	rewardId	rewardNum	status
int	int	int	int	int	int
1001	1	10	4190001	1000	1
1002	1	20	4190001	1000	1
1003	1	30	4190004	1000	1
1004	1	40	4190001	1000	1
1005	1	50	4190001	2000	1
1006	1	60	4190002	1	1
1007	1	70	4190004	1000	1
1008	1	80	4190004	1000	1
1009	1	90	4190004	1000	1
1010	1	100	4190004	2000	1
1011	2	10	4190001	1000	1
1012	2	20	4190001	1000	1
1013	2	30	4190004	1000	1
1014	2	40	4190001	1000	1
1015	2	50	4190001	2000	1
1016	2	60	4190002	1	1
1017	2	70	4190004	1000	1
1018	2	80	4190004	1000	1
1019	2	90	4190004	1000	1
1020	2	100	4190004	2000	1
1021	3	2	3000018	1000	1
1022	3	5	5300018	1	1
1023	3	10	3000002	7777	1
1024	3	20	5200037	1	1
1025	3	30	3000002	10000	1
1026	3	45	5112005	1	1
1027	3	60	4100036	500	1
1028	3	80	5200038	1	1
1029	3	100	4100031	500	1
