id	group	pos	reward	rewardNum	isOrigin	isRandom	status
int	int	int	int	int	int	int	int
1	1	1	3000003	150000	1		1
2	1	2	4199002	10	0		1
3	1	3			0	1	1
4	1	4	4110001	10	0		1
5	1	5	3000003	150000	0		1
6	1	6	5100001	3	0		1
7	1	7	4100032	1	0		1
8	1	8	4104041	350	0		1
9	1	9			0	1	1
10	1	10	4110001	15	0		1
11	1	11	3000003	150000	0		1
12	1	12	5100001	4	0		1
13	1	13	4100011	40	0		1
14	1	14	4104042	200	0		1
15	1	15			0	1	1
16	1	16	3000003	150000	0		1
17	1	17	4110001	10	0		1
18	1	18	4104043	150	0		1
19	2	1	4105011	150	1		1
20	2	2	4105012	150	0		1
21	2	3			0	1	1
22	2	4	4110001	10	0		1
23	2	5	3000003	200000	0		1
24	2	6	5100001	3	0		1
25	2	7	4100032	1	0		1
26	2	8	4104041	350	0		1
27	2	9			0	1	1
28	2	10	4110001	15	0		1
29	2	11	3000003	200000	0		1
30	2	12	5100001	4	0		1
31	2	13	4105013	150	0		1
32	2	14	4104042	200	0		1
33	2	15			0	1	1
34	2	16	3000003	200000	0		1
35	2	17	4110001	10	0		1
36	2	18	4104043	150	0		1
37	3	1	3000003	10000	1		1
38	3	2	4100036	10	0		1
39	3	3			0	1	1
40	3	4	3000018	30	0		1
41	3	5	3000003	1000000	0		1
42	3	6	4100031	10	0		1
43	3	7	5200009	5	0		1
44	3	8	3000018	100	0		1
45	3	9			0	1	1
46	3	10	3000003	100000	0		1
47	3	11	4105023	2	0		1
48	3	12	3000018	30	0		1
49	3	13	5200009	100	0		1
50	3	14	3000003	50000	0		1
51	3	15			0	1	1
52	3	16	3000018	1000	0		1
53	3	17	4100032	50	0		1
54	3	18	4105023	50	0		1
