type	id	status
string	string	int
101_3	1010003,1010004,1010006	1
101_1	1010101,1010102	1
101_6	1010201	1
101_8	1010099	1
102_3	1020001,1020002,1020010	1
102_1	1020101,1020102	1
102_6	1020201	1
102_8	1020099	1
103_3	1030003,1030007,1030008	1
103_1	1030101,1030102	1
103_6	1030201	1
103_8	1030099	1
104_3	1040001,1040002,1040006	1
104_1	1040101	1
104_6	1040201	1
104_8	1040099	1
108_3	1080001,1080002	1
108_1	1080004	1
108_8	1080003	1
105_1	1050101	1
105_6	1050201	1
105_8	1050099	1
106_1	1060101	1
106_6	1060201	1
106_8	1060099	1
107_1	1070101	1
107_6	1070201	1
107_8	1070099	1
109_8	1090099	1
