roleId	unlockType	unlockNum	permanent	position	roleCamera	dress	layoutBtn	modelPath	enterAin	status
int	int	int	int	int	int	int	int	int	int	int
101	4	10102	0	1	101		1;6	83:101008_home.prefab	1010101;1010102	1
102	4	10103	0	2	102		1;6;7	83:102008_home.prefab	1020101;1020102	1
103	4	10211	0	3	103		1;6	83:103008_home.prefab	1030101;1030102	1
104	4	10209	0	4	104		1;6	83:104003_home.prefab	1040101	1
108	4	0	1	8	108		1;4;5	83:108008_home.prefab	1080002;1080004	1
105	12	105	0	1	105		1;6	83:105008_home.prefab	1050101	1
106	12	106	0	2	106		1;6	83:106008_home.prefab	1060101	1
107	12	107	0	4	107		1;6	83:107008_home.prefab	1070101	1
109	12	109	0	4	109		1;6	83:109008_home.prefab	1090099	1
