WindowsPrice	CN	US	TW	HK	SG	JP	KR	PH	AU	NZ	TH	PL	DK	SE	NO	CH	GB	CA	BR	MX	TR	HR	LU	RS	CY	AT	GR	DE	IT	LV	SK	SI	BE	FR	BA	IE	EE	XK	LT	FI	NL	PT	ES	MT	ME	MY	MM	LA	KH	BN	ID	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	0.29	10	2	0.48	50	500	19	0.49	0.49																																										1
3	3	0.49	20	4	0.68	50	500	29	0.99	0.99																																										1
6	6	0.99	30	8	1.98	160	1500	79	1.99	1.99	35	4.99	9	13	13	1	0.99	1.29	4.9	19	39.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	4.9	35	35	35	35	16000	1
8	8	1.49	50	11	1.69	170	1700	80	1.49	1.49																																										1
10	10	1.77	60	14	2.14	220	2100	97	3.47	3.47																																										1
12	12	1.99	60	18	2.98	300	3300	99	2.99	3.99																																										1
18	18	2.99	90	22	3.98	360	4500	179	4.99	5.99	99	16.99	29	45	45	3	2.99	4.49	15.9	65	139.99	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	14.9	99	99	99	99	50000	1
20	20	3.29	100	25	4.69		5000	199	5.29	6.69																																										1
30	30	4.99	150	38	6.98	800	7500	299	7.99	9.99	170	29.99	45	69	59	5	4.99	6.99	24.9	99	199.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	5.99	22.9	170	170	170	170	80000	1
60	60	8.99	290	76	12.98	1300	12000	459	14.99	17.99																																										1
68	68	9.99	320	88	14.98	1600	14000	499	15.99	19.99																																										1
98	98	14.99	490	118	19.98	2400	19000	899	22.99	29.99	495	79.99	129	199	199	15	14.99	19.99	79.9	299	599.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	17.99	69.9	495	495	495	495	240000	1
100	100	14.99				2000																																														1
128	128	19.99	690	148	29.98	3000	29000	999	29.99	39.99																																										1
158	158	24.99	790	188	34.98	3500	33000	1290	39.99	49.99																																										1
198	198	29.99	990	228	39.98	4600	37000	1790	49.99	59.99	999	149.99	259	399	399	30	29.99	39.99	149.9	599	999.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	34.99	139.9	999	999	999	999	480000	1
240	240	34.99																																																		1
328	328	49.99	1490	388	69.98	7800	63000	2990	79.99	99.99	1700	249.99	449	649	649	50	49.99	69.99	249.9	999	1999.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	59.99	229.9	1700	1700	1700	1700	800000	1
388	388	59.99	1990	488	89.98		88000	3490	99.99	119.99																																										1
400	400	59.99																																																		1
518	518	79.99	2490	588	99.98	12000	110000	3990	129.99	149.99																																										1
648	648	99.99	2990	788	149.98	14800	119000	4990	149.99	199.99	3390	499.99	899	1295	1290	100	99.99	129.99	499.9	1999	3999.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	499.9	3390	3390	3390	3390	1599000	1
