id	icon	sort	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int
moodOff	166:resident_privilege_ico_dingyu_07	7	1	餐厅员工	餐廳員工	Cafe Staff	店員	카페테리아 직원	พนักงานคาเฟ่
fightSpeed	166:resident_privilege_ico_dingyu_01	1	1	战斗	戰鬥	Battle	戦闘	전투	ต่อสู้
annihilateNum	166:resident_privilege_ico_dingyu_04	4	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
itemId	166:resident_privilege_ico_dingyu_05	5	1	钓鱼	釣魚	Fishing	釣り	낚시	ตกปลา
keyTime		0	1	幻影特训场	幻影特訓場	Master Duel	ファントム特訓場	팬텀 특훈장	สนามซ้อมแฟนธอม
vipRoom		0	1	休息室	休息室	Lounge	休憩室	휴게실	ห้องพัก
ApMax	166:resident_privilege_ico_dingyu_03	3	1	情绪	情緒	Pathos	エモーション	이모션	พาโธส
takeOutMoodOff	166:resident_privilege_ico_dingyu_08	8	1	外卖	外賣	Delivery	出前	배달	ส่งอาหาร
advertisement	166:resident_privilege_ico_dingyu_02	2	1	观影福利	觀影福利	Watch & Earn	視聴特典	관람 보너스	รางวัลชมภาพยนตร์
airtransport	166:resident_privilege_ico_dingyu_06	6	1	离岛空运	離島空運	Air Express	離島空便	항공 운송	ขนส่งทางอากาศ
goFishing	166:resident_privilege_ico_dingyu_05	5	1	钓鱼	釣魚	Fishing	釣り	낚시	ตกปลา
catBus	166:resident_privilege_ico_dingyu_09	2	1	猫猫巴士大作战	貓貓巴士大作戰	Urban Whisker Chase	ニャンコバス大競走	냥냥 버스 대작전	ศึกตะลุยรถบัสเหมียว
