id	shopId	superiorTab	tabRank	tabOrder	refreshType	refreshParam	manualRefresh	refreshToken	refreshTokenNum	freeRefreshTime	refreshTime	showType	showParam	probabilityGroup	token	template	photoId	status	tabName	tabName_zh_TW	tabName_en_UK	tabName_ja_JP	tabName_ko_KR	tabName_th_TH	smallName	smallName_zh_TW	smallName_en_UK	smallName_ja_JP	smallName_ko_KR	smallName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	10	0	1	1	0							0			300001	0		1	精选推荐	精選推薦	Recommended	おすすめ商品	강력추천	แนะนำพิเศษ						
2	11	0	1	2	0							0			300001	2		1	猫眼石充值	貓眼石儲值	Opal Top-up	キャッツアイチャージ	캣츠아이 충전	เติมโอปอล						
3	901	0	1	3	0							0			300001	1		1	礼包	禮包	Bundle	ギフトパック	패키지	แพ็กเกจ						
301	12	3	2	1	0							0			300001	1		1	普通礼包	普通禮包	Common Pack	通常ギフトパック	일반 패키지	แพ็กเกจทั่วไป						
4	13	0	1	0	0							0			300001	1		1	月卡	月卡	Monthly Plan	月間プラン	월간 구독	บัตรรายเดือน						
5	20	0	2	1	0		0					0			300002	1	39:store_hub_board_img_20	1	猫眼石商店	貓眼石商店	Opal Shop	キャッツアイ	캣츠아이 상점	ร้านค้าโอปอล						
6	15	0	1	5	0							0			300001	1		1	等级礼包	等級禮包	Level Bundle	レベルパック	레벨 패키지	แพ็กเกจเลเวล						
99	902	0	1	6	0							0			300001	3		1	百货大道	百貨大道	Shopping Boulevard	ショッピングストリート	상점가	ถนนสรรพสินค้า						
9901	22	99	2	3	1	5:00:00	1	300002	100	0	1	3	49	22	300013	1	39:store_hub_board_img_22	1	碎片商店	碎片商店	Shard Shop	かけらショップ	조각 상점	ร้านค้าชิ้นส่วน						
9902	23	99	2	4	4	259200	1	300002	100	0	1	3	16	23	300016	1	39:store_hub_board_img_23	1	挑战中心	挑戰中心	Challenge Center	挑戦センター	도전 센터	ศูนย์การท้าทาย						
9000	30	-1	0	0	0							0			900001	1		1	PT活动商店	PT活動商店	PT Event Shop	PTイベント	PT 이벤트 상점	ร้านค้ากิจกรรม PT						
9001	31	-1	0	0	0							0			900002	1		1	中型PT活动商店	中型PT活動商店	Medium PT Event Shop	中型PTイベント	중형 PT 이벤트 상점	ร้าน​กิจกรรม​ PT​ ขนาด​กลาง​						
9002	32	-1	0	0	0							0			9000023	1		1	地图解密活动商店	地圖解密活動商店	Puzzle Event Shop	Pending地图解密活动商店	지도 해독 이벤트 상점	ร้านค้า​กิจกรรม​ไข​ปริศนา​แผนที่​						
9101	41	-1	0	0	0							0			418001	1		1	抽卡活动商店	抽卡活動商店	Summon Event Shop	召喚イベント	카드 뽑기 이벤트 상점	ร้านค้า​กิจกรรม​สุ่ม​การ์ด​						
7	21	0	1	4	0							0			300001	1		1	皮肤商店	時裝商店	Skin Shop	外観	스킨 상점	ร้านคอสตูม						
8	24	0	1	4	0							0			300001	1		1	常服商店	常服商店	Casual Clothing Shop	通常服	일반옷 상점	ร้านเสื้อผ้า						
9033	34	-1	0	0	0							0			900001	1		1	开格子活动商店	開格子活動商店	Tile Event Shop	Pending开格子活动商店	체크 이벤트 상점	ร้านค้า​กิจกรรม​เปิดช่อง​						
9034	35	-1	0	0	0							0			900102	1		1	猫书商店	貓書商店	Cat Book Event Shop	Pending猫书商店	냥서 상점	ร้านหนังสือแมว						
9903	25	99	1	2	0							0			4103001;4103002;4103003	1		1	核心商店	核心商店	Core	核心	코어 상점	ร้านค้าแกนหลัก						
9904	26	99	1	3	2							0			3000011;4197002	1		1	天梯商店	天梯商店	Arena	アリーナ	래더 상점	ร้านค้าสกาย						
9905	27	99	1	4	0		1					0			3000013	1		1	幻影商店	幻影商店	Phantom	ファントム	팬텀 상점	ร้านค้าแฟนธอม						
9906	28	99	1	5	1							0			3000015	1		1	空运商店	空運商店	Air Express	空便	항공 운송 상점	ร้านขนส่งทางอากาศ						
9907	50	99	1	6	1							0			3000014	1		1	首领商店	首領商店	Boss	BOSS	보스 상점	ร้านค้าบอส						
9908	51	99	1	7	0							0				1		1	特产商店	特產商店	Specialty Shop	お土産ショップ	특산물 상점	ร้านสินค้าพิเศษ						
9909	52	99	1	3	2							0			3000017	1		1	社团商店	社團商店	Clan	ギルド	클럽 상점	ร้านค้าชมรม						
9910	53	99	1	9	0							0			3000028	1		1	光暗商店	光暗商店	Luminox Shop	光暗ショップ	샤이닝 다크 상점	ร้านดาร์กไลต์						
9944	44	99	1	8	1							0			3000016	1		1	小费商店	小費商店	Tips	心付け	팁 상점	ร้านค้าทิป						
190	90	0	1	3	0							0			3000002	2		1	充值商店	儲值商店	Top-up	チャージ	충전 상점	ร้านค้าเติมเงิน						
191	91	0	2	1	0							0			3000002	1		1	每日特惠商店	每日特惠商店	Daily Offer	デイリーセール	데일리 스페셜 상점	ร้านค้าโปรโมชันรายวัน						
192	92	0	2	2	0							0			3000002	1		1	活动特惠商店	活動特惠商店	Event Special	イベントセール	이벤트 스페셜 상점	ร้านโปรโมชันกิจกรรม						
193	93	0	2	3	1		5:00:00					0			3000002	1		1	每日礼包商店	每日禮包商店	Daily Bundle	デイリーパック	데일리 패키지 상점	ร้านค้าแพ็กรายวัน						
194	94	0	2	4	2							0			3000002	1		1	每周礼包商店	每週禮包商店	Weekly Bundle	ウィークリーパック	위클리 패키지 상점	ร้านแพ็กรายสัปดาห์						
