id	productId	groupId	goodsId	goodsNum	priceType	goodsConsum	goodsConsumNum	originalPrice	showItem	rebate	name	showImage	template	status	iconTitle	iconTitle_zh_TW	iconTitle_en_UK	iconTitle_ja_JP	iconTitle_ko_KR	iconTitle_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10011	9810011	1001	3000002;4190004	300;1000	1	3000001	300	1800	3000002;4190004	600	主线章节触发礼包5-1			1	恭喜调查官完成主线第5章！	恭喜調查官完成主線第5章！	Congratulations! You've completed Main Story Chapter 5!	おめでとうございます！メインストーリーチャプター5をクリアしました。	메인 스토리 5챕터를 완료하신 것을 축하드립니다!	ขอแสดงความยินดี​กับ​ผู้ตรวจการ​ที่​เคลียร์​\n​เนื้อเรื่อง​หลัก​บท​ที่​ 5​ สำเร็จ​!​
10012	9810012	1001	3000002;4190004;3000018	680;1500;300	2	3000001	680	4080	3000002;4190004;3000018	600	主线章节触发礼包5-2			1	恭喜调查官完成主线第5章！	恭喜調查官完成主線第5章！	Congratulations! You've completed Main Story Chapter 5!	おめでとうございます！メインストーリーチャプター5をクリアしました。	메인 스토리 5챕터를 완료하신 것을 축하드립니다!	ขอแสดงความยินดี​กับ​ผู้ตรวจการ​ที่​เคลียร์​\n​เนื้อเรื่อง​หลัก​บท​ที่​ 5​ สำเร็จ​!​
10013	9810013	1001	3000002;4190004;4190001;3000018	1280;2000;1000;300	3	3000001	1280	7680	3000002;4190004;4190001;3000018	600	主线章节触发礼包5-3			1	恭喜调查官完成主线第5章！	恭喜調查官完成主線第5章！	Congratulations! You've completed Main Story Chapter 5!	おめでとうございます！メインストーリーチャプター5をクリアしました。	메인 스토리 5챕터를 완료하신 것을 축하드립니다!	ขอแสดงความยินดี​กับ​ผู้ตรวจการ​ที่​เคลียร์​\n​เนื้อเรื่อง​หลัก​บท​ที่​ 5​ สำเร็จ​!​
10014	9810014	1001	3000002;4190004;4190001;3000018	3280;3000;3000;900	4	3000001	3280	19680	3000002;4190004;4190001;3000018	600	主线章节触发礼包5-4			1	恭喜调查官完成主线第5章！	恭喜調查官完成主線第5章！	Congratulations! You've completed Main Story Chapter 5!	おめでとうございます！メインストーリーチャプター5をクリアしました。	메인 스토리 5챕터를 완료하신 것을 축하드립니다!	ขอแสดงความยินดี​กับ​ผู้ตรวจการ​ที่​เคลียร์​\n​เนื้อเรื่อง​หลัก​บท​ที่​ 5​ สำเร็จ​!​
10015	9810015	1001	3000002;4190004;4190002;3000018	6480;5000;1;1200	5	3000001	6480	38880	3000002;4190004;4190002;3000018	600	主线章节触发礼包5-5			1	恭喜调查官完成主线第5章！	恭喜調查官完成主線第5章！	Congratulations! You've completed Main Story Chapter 5!	おめでとうございます！メインストーリーチャプター5をクリアしました。	메인 스토리 5챕터를 완료하신 것을 축하드립니다!	ขอแสดงความยินดี​กับ​ผู้ตรวจการ​ที่​เคลียร์​\n​เนื้อเรื่อง​หลัก​บท​ที่​ 5​ สำเร็จ​!​
10021	9810021	1002	3000002;4190004	300;1000	1	3000001	300	1800	3000002;4190004	600	主线章节触发礼包7-1			1	恭喜调查官完成主线第7章！	恭喜調查官完成主線第7章！	Congratulations! You've completed Main Story Chapter 7!	おめでとうございます！メインストーリーチャプター7をクリアしました。	메인 스토리 7챕터를 완료하신 것을 축하드립니다!	ขอแสดงความยินดี​กับ​ผู้ตรวจการ​ที่​เคลียร์​\n​เนื้อเรื่อง​หลัก​บท​ที่​ 7​ สำเร็จ​!​
10022	9810022	1002	3000002;4190004;3000018	680;1500;300	2	3000001	680	4080	3000002;4190004;3000018	600	主线章节触发礼包7-2			1	恭喜调查官完成主线第7章！	恭喜調查官完成主線第7章！	Congratulations! You've completed Main Story Chapter 7!	おめでとうございます！メインストーリーチャプター7をクリアしました。	메인 스토리 7챕터를 완료하신 것을 축하드립니다!	ขอแสดงความยินดี​กับ​ผู้ตรวจการ​ที่​เคลียร์​\n​เนื้อเรื่อง​หลัก​บท​ที่​ 7​ สำเร็จ​!​
10023	9810023	1002	3000002;4190004;4190001;3000018	1280;2000;1000;300	3	3000001	1280	7680	3000002;4190004;4190001;3000018	600	主线章节触发礼包7-3			1	恭喜调查官完成主线第7章！	恭喜調查官完成主線第7章！	Congratulations! You've completed Main Story Chapter 7!	おめでとうございます！メインストーリーチャプター7をクリアしました。	메인 스토리 7챕터를 완료하신 것을 축하드립니다!	ขอแสดงความยินดี​กับ​ผู้ตรวจการ​ที่​เคลียร์​\n​เนื้อเรื่อง​หลัก​บท​ที่​ 7​ สำเร็จ​!​
10024	9810024	1002	3000002;4190004;4190001;3000018	3280;3000;3000;900	4	3000001	3280	19680	3000002;4190004;4190001;3000018	600	主线章节触发礼包7-4			1	恭喜调查官完成主线第7章！	恭喜調查官完成主線第7章！	Congratulations! You've completed Main Story Chapter 7!	おめでとうございます！メインストーリーチャプター7をクリアしました。	메인 스토리 7챕터를 완료하신 것을 축하드립니다!	ขอแสดงความยินดี​กับ​ผู้ตรวจการ​ที่​เคลียร์​\n​เนื้อเรื่อง​หลัก​บท​ที่​ 7​ สำเร็จ​!​
