id	desc	effects	refresh	isUnique	isUniqueAll	levelUpType	buffType	endType	endNum	endOrder	stackingType	sameBuffStackingType	effectTrigger	triggerCd	triggerClickType	effectTarget	effectType	triggerOrder	effectId	isClear	isStolen	isIgnore	removeByMaster	showId	showDesc	buffTags	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
900011	合卡技空buff	10001		0			0			2	2	1						2		0	0	1					1
101004051	红色湿垃圾-技能B-提升30%穿透	411203151		1			1			2	2	1						2		1	1	0		100901	100901		1
101050051	情绪病粉丝B-技能B-提升30%穿透	411203151		1			1			2	2	1						2		1	1	0		100901	100901		1
101009051	贩卖机-技能B-根据攻击生成单体护盾	405010152		0			1			2	1	1						2		0	0	0		110202	110202		1
101009053	贩卖机-技能B-嘲讽	410001151		0			0			2	1	1						2		0	0	0		300001	300001		1
101009052	贩卖机-技能B-生成全体护盾，提升防御10000%	101009051;101009052		0			0			2	1	1						2		1	0	0		300001	101009052		1
101015051	油漆狗-技能2-自身单体护盾	405010152		0			1			2	1	1						2		0	0	0		110202	110202		1
101016051	青铜马-技能2-全体友军护盾	405010151		0			1			2	1	1						2		0	0	0		110202	110202		1
101042051	傀化盾鼠-技能2-单体加防50%，2回合	412010158		1			1			2	1	1						2		1	1	0		100201	100201		1
101042052	傀化盾鼠-技能2-嘲讽	410001151		0			0			2	2	1						2		1	1	0		300001	300001		1
101042053	傀化盾鼠-大招-晕眩，2回合	404010151		1			2			2	2	1								1	1	0		210301	210301		1
101044051	海鸥流氓-技能2-单体护盾	405010155		0			1			2	1	1						2		0	0	0		110202	110202		1
101044052	海鸥流氓-技能2-群体嘲讽	410001151		0			0			2	2	1						2		1	1	0		300001	300001		1
101051051	情绪病粉丝C-技能2-全体友方护盾	405010151		0			1			2	1	1						2		0	0	0		110202	110202		1
112010151	有害垃圾-技能B-降低20%防御	412010151		1			2			2	2	1								1	1	0		200201	200201		1
116030151	掘地兔-技能B-提升100%暴击率	416030151		1			1			2	2	1								1	1	0		100501	100501		1
104070151	红绿灯-大招-沉默	404070151		0			2			2	2	4								1	1	0		210303	210303		1
101102151	街机人-提升10攻击力，1回合	401102158		1			1			2	2	1								1	1	0		100101	100101		1
101014051	拉吧人-技能B-降低20%暴击率	416030156		1			2			2	2	1						2		1	1	0		200501	200501		1
104010151	拉吧人-大招-沉默2回合	404070151		0			2			2	2	1								1	1	0		210303	210303		1
101014052	换皮拉吧人-技能2-降低暴击率30%，3回合	416030157		1			2			2	2	1								1	1	0		200501	200501		1
101014053	拉吧人-大招-晕眩2回合	404010151		1			2			2	2	1								1	1	0		210301	210301		1
143102351	耀州傀男-2技能-子效果-受到治疗效果提升20%3回合	411602152		1			1			2	2	1								1	1	0		101401	101401		1
