index	buffId	star	effectNum1	status
int	int	int	int	int
10001_1	10001	1	0	1
10001_2	10001	2	0	1
10001_3	10001	3	0	1
10001_4	10001	4	0	1
10001_5	10001	5	0	1
10001_6	10001	6	0	1
10001_7	10001	7	0	1
10001_8	10001	8	0	1
10001_9	10001	9	0	1
10001_10	10001	10	0	1
10001_11	10001	11	0	1
10001_12	10001	12	0	1
10002_1	10002	1	0	1
10002_2	10002	2	0	1
10002_3	10002	3	0	1
10002_4	10002	4	0	1
10002_5	10002	5	0	1
10002_6	10002	6	0	1
10002_7	10002	7	0	1
411203151_1	411203151	1	0.3	1
411203152_1	411203152	1	-0.2	1
405010151_1	405010151	1	1	1
405010152_1	405010152	1	1.5	1
410001151_1	410001151	1	0	1
412010151_1	412010151	1	-0.2	1
412010152_1	412010152	1	-0.1	1
412010153_1	412010153	1	0.3	1
416030151_1	416030151	1	1	1
404070151_1	404070151	1	0	1
404070151_2	404070151	2	0	1
404070151_3	404070151	3	0	1
404070151_4	404070151	4	0	1
404070151_5	404070151	5	0	1
404070151_6	404070151	6	0	1
411020151_1	411020151	1	0.2	1
404010151_1	404010151	1	0.5	1
403010151_1	403010151	1	1	1
401102151_1	401102151	1	0.2	1
401102152_1	401102152	1	0.1	1
401102155_1	401102155	1	0.15	1
401102156_1	401102156	1	0.05	1
401102153_1	401102153	1	-0.2	1
411303151_1	411303151	1	-0.3	1
411303152_1	411303152	1	0.3	1
411303153_1	411303153	1	0.15	1
404040151_1	404040151	1	1	1
404030151_1	404030151	1	1	1
411602151_1	411602151	1	-0.5	1
404060151_1	404060151	1	1	1
404020151_1	404020151	1	1	1
402010251_1	402010251	1	0.1	1
411203153_1	411203153	1	-0.3	1
416030152_1	416030152	1	0.45	1
418030151_1	418030151	1	-0.3	1
418030152_1	418030152	1	1	1
405010153_1	405010153	1	2	1
405020151_1	405020151	1	1	1
405020152_1	405020152	1	3	1
405040151_1	405040151	1	0.3	1
405040152_1	405040152	1	0.95	1
411502151_1	411502151	1	-0.3	1
411502156_1	411502156	1	-0.7	1
411502157_1	411502157	1	-0.1	1
411502158_1	411502158	1	-0.5	1
411502159_1	411502159	1	-1	1
411502160_1	411502160	1	-0.8	1
411502161_1	411502161	1	-0.6	1
411502162_1	411502162	1	-0.4	1
411502163_1	411502163	1	-0.2	1
411502152_1	411502152	1	0.3	1
411502153_1	411502153	1	0.05	1
411502154_1	411502154	1	0.5	1
411602152_1	411602152	1	0.2	1
411602153_1	411602153	1	0.15	1
411602154_1	411602154	1	0.5	1
411602155_1	411602155	1	0.3	1
405010154_1	405010154	1	2.5	1
405010155_1	405010155	1	3	1
401102154_1	401102154	1	-0.05	1
418030153_1	418030153	1	0.5	1
411203154_1	411203154	1	0.3	1
411203155_1	411203155	1	0.15	1
411203156_1	411203156	1	0.5	1
411203157_1	411203157	1	-0.8	1
418030154_1	418030154	1	0.4	1
418030155_1	418030155	1	0.15	1
401302151_1	401302151	1	0;0.1	1
402010101_1	402010101	1	1	1
402010101_2	402010101	2	1	1
402010101_3	402010101	3	1	1
402010101_4	402010101	4	1	1
402010101_5	402010101	5	1	1
402010101_6	402010101	6	1	1
402020101_1	402020101	1	0.45	1
402020101_2	402020101	2	0.45	1
402020101_3	402020101	3	0.45	1
402020101_4	402020101	4	0.45	1
402020101_5	402020101	5	0.45	1
402020101_6	402020101	6	0.45	1
402020102_1	402020102	1	0.45	1
402020102_2	402020102	2	0.45	1
402020102_3	402020102	3	0.45	1
402020102_4	402020102	4	0.45	1
402020102_5	402020102	5	0.45	1
402020102_6	402020102	6	0.45	1
402020103_1	402020103	1	0.45	1
402020103_2	402020103	2	0.45	1
402020103_3	402020103	3	0.45	1
402020103_4	402020103	4	0.45	1
402020103_5	402020103	5	0.45	1
402020103_6	402020103	6	0.45	1
402030101_1	402030101	1	0.2;1.2	1
402030101_2	402030101	2	0.2;1.2	1
402030101_3	402030101	3	0.2;1.2	1
402030101_4	402030101	4	0.2;1.2	1
402030101_5	402030101	5	0.2;1.2	1
402030101_6	402030101	6	0.2;1.2	1
402040101_1	402040101	1	0.12;2.4	1
402040101_2	402040101	2	0.12;2.4	1
402040101_3	402040101	3	0.12;2.4	1
402040101_4	402040101	4	0.12;2.4	1
402040101_5	402040101	5	0.12;2.4	1
402040101_6	402040101	6	0.12;2.4	1
402050101_1	402050101	1	0.05;999999	1
402050101_2	402050101	2	0.05;999999	1
402050101_3	402050101	3	0.05;999999	1
402050101_4	402050101	4	0.05;999999	1
402050101_5	402050101	5	0.05;999999	1
402050101_6	402050101	6	0.05;999999	1
405040107_1	405040107	1	0.05	1
416030101_1	416030101	1	0.06	1
416030101_2	416030101	2	0.073	1
416030101_3	416030101	3	0.087	1
416030101_4	416030101	4	0.1	1
416030101_5	416030101	5	0.087	1
416030101_6	416030101	6	0.093	1
416030101_7	416030101	7	0.1	1
416030102_1	416030102	1	0.16	1
416030102_2	416030102	2	0.193	1
416030102_3	416030102	3	0.227	1
416030102_4	416030102	4	0.26	1
416030102_5	416030102	5	0.227	1
416030102_6	416030102	6	0.243	1
416030102_7	416030102	7	0.26	1
416030701_1	416030701	1	0.1	1
416030701_2	416030701	2	0.15	1
416030124_1	416030124	1	0.08	1
416030124_2	416030124	2	0.08	1
416030124_3	416030124	3	0.09	1
416030124_4	416030124	4	0.1	1
416030124_5	416030124	5	0.11	1
416030801_1	416030801	1	-0.64;10;1;21	1
416030801_2	416030801	2	-0.7;10;1;21	1
416030801_3	416030801	3	-0.76;10;1;21	1
416030801_4	416030801	4	-0.82;10;1;21	1
416030801_5	416030801	5	-0.88;10;1;21	1
416030801_6	416030801	6	-0.94;10;1;21	1
416030801_7	416030801	7	-1;10;1;21	1
412020101_1	412020101	1	0.135	1
412020101_2	412020101	2	0.165	1
412020101_3	412020101	3	0.195	1
412020101_4	412020101	4	0.225	1
412020101_5	412020101	5	0.195	1
412020101_6	412020101	6	0.21	1
412020101_7	412020101	7	0.225	1
412101101_1	412101101	1	0.06	1
412101101_2	412101101	2	0.07	1
412101101_3	412101101	3	0.08	1
412101101_4	412101101	4	0.09	1
412101101_5	412101101	5	0.1	1
412101101_6	412101101	6	0.11	1
