id	teamID	powerRatio	damageAddition	damageReduction	status
int	int	int	int	int	int
101	10	0.1	0	0	1
102	10	1	0.2	-0.2	1
103	10	1.1	0.3	-0.3	1
104	10	1.3	0.5	-0.5	1
105	10	1.5	1	-0.6	1
106	10	2	2	-0.8	1
111	11	0.1	0	0	1
112	11	1	0	0	1
113	11	1.1	0	0	1
114	11	1.3	0	0	1
115	11	1.5	0	0	1
116	11	2	0	0	1
121	12	0.1	0	0	1
122	12	1	0.1	-0.1	1
123	12	1.1	0.2	-0.2	1
124	12	1.3	0.3	-0.3	1
125	12	1.5	0.4	-0.4	1
126	12	2	0.5	-0.5	1
1301	13	0.1	0	0	1
1302	13	1	0.15	-0.1	1
1303	13	1.1	0.15	-0.1	1
1304	13	1.2	0.2	-0.2	1
1305	13	1.3	0.3	-0.2	1
1306	13	1.4	0.4	-0.4	1
1307	13	1.5	0.5	-0.4	1
1308	13	1.6	0.6	-0.4	1
1309	13	1.7	0.8	-0.5	1
1310	13	1.8	1	-0.5	1
1311	13	1.9	1.2	-0.5	1
1312	13	2	1.5	-0.5	1
1401	14	0.1	-0.4	0.2	1
1402	14	0.2	-0.4	0.2	1
1403	14	0.3	-0.4	0.2	1
1404	14	0.4	-0.4	0.2	1
1405	14	0.5	-0.4	0.2	1
1406	14	0.6	-0.4	0.2	1
1407	14	0.7	-0.2	0.2	1
1408	14	0.8	-0.15	0.1	1
1409	14	0.9	-0.1	0.1	1
1410	14	1	0	0	1
1411	14	1.1	0.1	0	1
1412	14	1.2	0.15	0	1
1413	14	1.3	0.2	0	1
1414	14	1.4	0.2	0	1
1415	14	1.5	0.2	0	1
1416	14	1.6	0.2	0	1
1417	14	1.7	0.2	0	1
1418	14	1.8	0.2	0	1
1419	14	1.9	0.2	0	1
1420	14	2	0.2	0	1
1501	15	0.1	0	0	1
1502	15	1	0.15	-0.1	1
1503	15	1.1	0.15	-0.1	1
1504	15	1.2	0.2	-0.15	1
1505	15	1.3	0.3	-0.2	1
1506	15	1.4	0.6	-0.25	1
1507	15	1.5	0.8	-0.3	1
1508	15	1.6	1	-0.4	1
1509	15	1.7	1.5	-0.5	1
1601	16	0.1	0	0	1
1602	16	1	0.15	-0.1	1
1603	16	1.1	0.15	-0.1	1
1604	16	1.2	0.2	-0.15	1
1605	16	1.3	0.3	-0.2	1
1606	16	1.4	0.5	-0.25	1
1607	16	1.5	0.7	-0.3	1
1608	16	1.6	0.9	-0.4	1
1609	16	1.7	1.1	-0.5	1
1701	17	0.1	0	0	1
1702	17	1	0.15	-0.1	1
1703	17	1.1	0.15	-0.1	1
1704	17	1.2	0.2	-0.15	1
1705	17	1.3	0.3	-0.2	1
1706	17	1.4	0.6	-0.25	1
1707	17	1.5	0.8	-0.3	1
1708	17	1.6	1	-0.4	1
1709	17	1.7	1.5	-0.5	1
1801	18	0.1	0	0	1
1802	18	1	0.15	-0.1	1
1803	18	1.1	0.15	-0.1	1
1804	18	1.2	0.2	-0.15	1
1805	18	1.3	0.3	-0.2	1
1806	18	1.4	0.6	-0.25	1
1807	18	1.5	0.8	-0.3	1
1808	18	1.6	1	-0.4	1
1809	18	1.7	1.5	-0.5	1
1901	19	0.1	0	0	1
1902	19	1	0.15	-0.1	1
1903	19	1.1	0.2	-0.1	1
1904	19	1.2	0.3	-0.15	1
1905	19	1.3	0.4	-0.2	1
1906	19	1.4	0.6	-0.25	1
1907	19	1.5	0.8	-0.3	1
1908	19	1.6	1	-0.4	1
1909	19	1.7	1.5	-0.5	1
2001	20	0.1	-0.7	0.8	1
2002	20	0.2	-0.7	0.8	1
2003	20	0.3	-0.7	0.8	1
2004	20	0.4	-0.7	0.8	1
2005	20	0.5	-0.6	0.8	1
2006	20	0.7	-0.5	0.7	1
2007	20	0.8	-0.4	0.6	1
2008	20	0.85	-0.35	0.5	1
2009	20	0.9	-0.3	0.4	1
2010	20	0.95	-0.25	0.3	1
2011	20	1	0	0	1
2012	20	1.05	0.1	0	1
2013	20	1.1	0.15	0	1
2014	20	1.15	0.2	0	1
2015	20	1.2	0.2	0	1
2016	20	1.3	0.2	0	1
2017	20	1.4	0.3	0	1
2018	20	1.5	0.3	0	1
2019	20	1.6	0.3	0	1
2020	20	1.7	0.3	0	1
2021	20	1.8	0.3	0	1
2101	21	0.1	-0.7	0.8	1
2102	21	0.2	-0.7	0.8	1
2103	21	0.3	-0.7	0.8	1
2104	21	0.4	-0.7	0.8	1
2105	21	0.5	-0.6	0.8	1
2106	21	0.7	-0.5	0.7	1
2107	21	0.8	-0.4	0.6	1
2108	21	0.85	-0.35	0.5	1
2109	21	0.9	-0.3	0.4	1
2110	21	0.95	-0.25	0.3	1
2111	21	1	0	0	1
2112	21	1.02	0	0	1
2113	21	1.05	0.1	-0.1	1
2114	21	1.1	0.12	-0.1	1
2115	21	1.15	0.14	-0.15	1
2116	21	1.2	0.15	-0.15	1
2117	21	1.3	0.2	-0.2	1
2118	21	1.4	0.2	-0.2	1
2119	21	1.5	0.2	-0.2	1
2120	21	1.6	0.2	-0.2	1
2121	21	1.7	0.2	-0.2	1
2122	21	1.8	0.2	-0.2	1
