id	skillId	starSkill	skillClass	triggerRule	skillType	label	skillStarMax	skillLvMax	isAoe	starEffect1	effectCondition1	effectTarget1	effect1	effectType1	starEffect2	effectCondition2	effectTarget2	effect2	effectType2	damageTarget	damageEffect	scriptType	scriptNum	damageEffectType	starEffect3	effectCondition3	effectTarget3	effect3	effectType3	starEffect4	effectCondition4	effectTarget4	effect4	effectType4	starEffect5	effectCondition5	effectTarget5	effect5	effectType5	starEffect6	effectCondition6	effectTarget6	effect6	effectType6	starEffect7	effectCondition7	effectTarget7	effect7	effectType7	hitRatio	skillTags	action	intensive	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
41101008	41101008	7	1		1	2	3	3	0											101	201070101			2																										1		1	1	1
42101008	42101008	7	1		2	2	3	3	0											101	201010119			2	7	1	-1	111502102	1																					0.3;0.3;0.4		2	1	1
43101008	43101008	33554431	1		3	2	25	25	0											101	201060103			2																										1		0	1	1
41101011	41101011	7	1		1	2	3	3	0											101	201010119			2	7	1	-1	111502102	1																					0.2;0.2;0.2;0.2;0.2		1	1	1
42101011	42101011	7	1		2	2	3	3	0											101	201040101			2																										0.5;0.5		2	1	1
43101011	43101011	33554431	1		3	2	25	25	0											101	201040103			2						 																				1		0	1	1
41101005	41101005	7	1		1	2	3	3	0											101	201010119			2	7	1	-1	111502102	1																					1		1	1	1
42101005	42101005	7	1		2	2	3	3	0											101	201010101			2																										0.25;0.25;0.25;0.25		2	1	1
43101005	43101005	33554431	1		3	2	25	25	0											101	201010121			2	33554431	1	-1	111502102	1																					1		0	1	1
41101006	41101006	7	1		1	2	3	3	0											101	201090101			2																										1		1	1	1
42101006	42101006	7	1		2	2	3	3	0											101	201010101			2																										0.3;0.3;0.4		2	1	1
43101006	43101006	33554431	1		3	2	25	25	0											101	201060103			2																										1		0	1	1
41102008	41102008	7	1		1	2	3	3	1											102	201010102			2																										0.25;0.25;0.25;0.25		1	1	1
42102008	42102008	7	1		2	1	3	3	0											201	110200803			1																										1		2	1	1
43102008	43102008	33554431	1		3	2	25	25	0											101	201010117			2	33554431	1	-1	210010108	2																					1		0	1	1
41102007	41102007	7	1		1	2	3	3	0											101	201010115			2	7	1	-1	210010111	2																					0.25;0.25;0.25;0.25		1	1	1
42102007	42102007	7	1		2	1	3	3	0											201	110200703			1	7	2018	-1	310200702	1	7	2018	-1	310200706	1																1		2	1	1
43102007	43102007	33554431	1		3	2	25	25	0											101	201060103			2																										0.25;0.25;0.25;0.25		0	1	1
41102011	41102011	7	1		1	2	3	3	0						7	1	-1	206020111	2	101	201010111			2																										0.5;0.5		1	1	1
42102011	42102011	7	1		2	1	3	3	0											201	110201103			1																										1		2	1	1
43102011	43102011	33554431	1		3	2	25	25	0											101	201010117			2	33554431	1	-1	210010108	2																					1		0	1	1
44102011	44102011	7	1		2	1	3	3	0											201	110201103			1	7	1	-1	206030102	2																					1		2	1	1
41102001	41102001	7	1		1	2	3	3	0											101	201010147			2	6	1	-1	210010106	2																					1		1	1	1
42102001	42102001	7	1		2	2	3	3	0											101	201060101			2																										1		2	1	1
43102001	43102001	33554431	1		3	2	25	25	0											101	201010103			2																										1		0	1	1
41102021	41102021	7	1		1	2	3	3	0											101	201040101			2																										0.167;0.167;0.167;0.167;0.167;0.167		1	1	1
42102021	42102021	7	1		2	2	3	3	1											102	201090102			2																										0.5;0.5		2	1	1
43102021	43102021	33554431	1		3	2	25	25	1											102	201040104			2																										1		0	1	1
41103008	41103008	7	1		1	2	3	3	0											101	201010101			2																										1		1	1	1
42103008	42103008	7	1		2	4	3	3	0											201	202010205			2	7	1	-1	206030111	2																					1		2	1	1
43103008	43103008	33554431	1		3	4	25	25	1											202	202010204			2																										1		0	1	1
41103002	41103002	7	1		1	2	3	3	0											101	201010101			2																										1		1	1	1
42103002	42103002	7	1		2	2	3	3	1											102	201010102			2																										1		2	1	1
43103002	43103002	33554431	1		3	2	25	25	1											102	201010104			2																										1		0	1	1
41103007	41103007	7	1		1	1	3	3	0											201	206030103			2	7	1	-1	110300703	1																					1		1	1	1
42103007	42103007	7	1		2	2	3	3	0											101	201070101			2																										0.25;0.25;0.25;0.25		2	1	1
43103007	43103007	33554431	1		3	2	25	25	0											101	201070103			2																										0.25;0.25;0.25;0.25		0	1	1
41103019	41103019	7	1		1	2	3	3	1											102	201010102			2																										1		1	1	1
42103019	42103019	7	1		2	1	3	3	1											202	206030111			2																										1		2	1	1
43103019	43103019	33554431	1		3	2	25	25	0											101	201060103			2																										1		0	1	1
41103021	41103021	7	1		1	1	3	3	1											202	206030114			2																										1		1	1	1
42103021	42103021	7	1		2	4	3	3	0											202	202010102			2																										1		2	1	1
43103021	43103021	33554431	1		3	2	25	25	0											101	201090103			2																										1		0	1	1
41104003	41104003	7	1		1	2	3	3	0											101	201010127			2	7	1	301	110400303	1																					0.5;0.5		1	1	1
42104003	42104003	7	1		2	2	3	3	0											101	201030101			2																										0.5;0.5		2	1	1
43104003	43104003	33554431	1		3	2	25	25	0											101	201010121			2	33554431	1	301	110400304	1																					1		0	1	1
41104005	41104005	7	1		1	2	3	3	0											101	201040101			2																										1		1	1	1
42104005	42104005	7	1		2	2	3	3	1											102	201010102			2																										0.25;0.25;0.25;0.25		2	1	1
43104005	43104005	33554431	1		3	2	25	25	0											101	201010129			2	33554431	1	301	110400502	1																					1		0	1	1
41104001	41104001	7	1		1	2	3	3	0											101	201010119			2	7	1	101	110400105	1	7	2018	-1	310400104	1	7	2018	-1	310400108	1											1		1	1	1
42104001	42104001	7	1		2	2	3	3	0											101	201010127			2	7	1	301	110400106	1																					0.5;0.5		2	1	1
43104001	43104001	33554431	1		3	2	25	25	0											101	201100103			2																										1		0	1	1
41104008	41104008	7	1		1	2	3	3	0											101	201030101			2																										0.3;0.3;0.4		1	1	1
42104008	42104008	7	1		2	2	3	3	0											101	201010127			2	7	1	301	110400804	1																					0.5;0.5		2	1	1
43104008	43104008	33554431	1		3	2	25	25	0											101	201010121			2	33554431	1	301	110400803	1																					1		0	1	1
41105008	41105008	7	1		1	2	3	3	0											101	201090101			2																										1		1	1	1
42105008	42105008	7	1		2	2	3	3	0											101	201010123			2	6	1	-1	111502102	1																					1		2	1	1
43105008	43105008	33554431	1		3	2	25	25	0											101	201090103			2																										1		0	1	1
41105001	41105001	7	1		1	2	3	3	0											301	100500103			1																										1		1	1	1
42105001	42105001	7	1		2	2	3	3	0											101	201100101			2																										1		2	1	1
43105001	43105001	33554431	1		3	2	25	25	0											101	201010103			2																										1		0	1	1
41105002	41105002	7	1		1	2	3	3	0											101	201010101			2																										0.5;0.5		1	1	1
42105002	42105002	7	1		2	2	3	3	0											101	201070101			2																										1		2	1	1
43105002	43105002	33554431	1		3	2	25	25	0											101	201100103			2																										1		0	1	1
41105006	41105006	7	1		1	2	3	3	0											101	201040101			2																										1		1	1	1
42105006	42105006	7	1		2	2	3	3	0											101	201010101			2																										0.3;0.3;0.4		2	1	1
43105006	43105006	33554431	1		3	2	25	25	0											101	201100103			2																										1		0	1	1
41106008	41106008	7	1		1	1	3	3	0											301	110600803			1																										1		1	1	1
42106008	42106008	7	1		2	2	3	3	0											101	201010301			2																										0.3;0.3;0.4		2	1	1
43106008	43106008	33554431	1		3	1	25	25	0											301	110600805			1	33554431	1	-1	110600804	1																					1		0	1	1
41106001	41106001	7	1		1	1	3	3	0											101	110600102			1																										1		1	1	1
42106001	42106001	7	1		2	2	3	3	0											101	201010109			2	6	1	-1	110600104	1																					1		2	1	1
43106001	43106001	33554431	1		3	2	25	25	0											101	201010103			2																										1		0	1	1
41106002	41106002	7	1		1	1	3	3	0											101	110600204			1	7	1	301	110600203	1																					1		1	1	1
42106002	42106002	7	1		2	2	3	3	1											102	201010110			2	6	1	-1	110600205	1																					0.25;0.25;0.25;0.25		2	1	1
43106002	43106002	33554431	1		3	2	25	25	0											101	201010103			2																										1		0	1	1
41106010	41106010	7	1		1	2	3	3	0											101	201010107			2	7	1	-1	110601003	1																					1		1	1	1
42106010	42106010	7	1		2	2	3	3	1											102	201010202			2																										0.25;0.25;0.25;0.25		2	1	1
43106010	43106010	33554431	1		3	2	25	25	0											101	201010207			2	33554431	1	-1	110601004	1																					1		0	1	1
41107008	41107008	7	1		1	2	3	3	0											101	201010101			2																										1		1	1	1
42107008	42107008	7	1		2	2	3	3	0											101	201060101			2																										1		2	1	1
43107008	43107008	33554431	1		3	2	25	25	0											101	201050103			2																										1		0	1	1
41107001	41107001	7	1		1	2	3	3	0						7	1	301	110700103	1	101	201010149			2																										0.5;0.5		1	1	1
42107001	42107001	7	1		2	2	3	3	0											101	201050101			2																										0.3;0.3;0.4		2	1	1
43107001	43107001	33554431	1		3	2	25	25	0											101	201050103			2																										1		0	1	1
41107005	41107005	7	1		1	1	3	3	0											301	110700503			1																										1		1	1	1
42107005	42107005	7	1		2	2	3	3	0											101	201010101			2																										1		2	1	1
43107005	43107005	33554431	1		3	2	25	25	0											101	201050103			2																										1		0	1	1
41108008	41108008	7	1		1	2	3	3	0											101	201040101			2																										0.3;0.3;0.4		1	1	1
42108008	42108008	7	1		2	2	3	3	0											101	201010101			2																										1		2	1	1
43108008	43108008	33554431	1		3	2	25	25	0											101	201100103			2																										1		0	1	1
41108001	41108001	7	1		1	2	3	3	0											101	201090101			2																										1		1	1	1
42108001	42108001	7	1		2	1	3	3	0											301	110800105			1	7	2018	301	310800102	1	7	2018	301	310800106	1																1		2	1	1
43108001	43108001	33554431	1		3	2	25	25	0											101	201100103			2																										1		0	1	1
41108006	41108006	7	1		1	2	3	3	0											101	201100101			2																										0.5;0.5		1	1	1
42108006	42108006	7	1		2	2	3	3	0											101	201010119			2	6	1	-1	111502102	1																					0.25;0.25;0.25;0.25		2	1	1
43108006	43108006	33554431	1		3	2	25	25	0											101	201100103			2																										1		0	1	1
44108006	44108006	7	1		1	2	3	3	0											101	201100101			2																										1		4	1	1
45108006	45108006	7	1		2	2	3	3	0											101	201100101			2	7	1	-1	111502102	1																					0.25;0.25;0.25;0.25		2	1	1
46108006	46108006	33554431	1		3	2	25	25	0											101	201090103			2	33554431	1	-1	1001	2																					1		7	1	1
41108004	41108004	7	1		1	2	3	3	0											101	201100101			2																										1		1	1	1
42108004	42108004	7	1		2	1	3	3	0											301	110800403			1																										1		2	1	1
43108004	43108004	33554431	1		3	2	25	25	1											102	201030104			2																										1		0	1	1
