id	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	skillDesc	skillDesc_zh_TW	skillDesc_en_UK	skillDesc_ja_JP	skillDesc_ko_KR	skillDesc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int
100101	1	攻击力提升	攻擊力提升	ATK Boost	攻撃力アップ	공격력 증가	ATK เพิ่มขึ้น	攻击力提升_#num_percent_0_1_1_	攻擊力提升_#num_percent_0_1_1_	Increases ATK by _#num_percent_0_1_1_.	攻撃力＋_#num_percent_0_1_1_	공격력 +_#num_percent_0_1_1_ 	ATK​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
100201	1	防御力提升	防禦力提升	DEF Boost	防御力アップ	방어력 증가	DEF เพิ่มขึ้น	防御力提升_#num_percent_0_1_1_	防禦力提升_#num_percent_0_1_1_	Increases DEF by _#num_percent_0_1_1_.	防御力＋_#num_percent_0_1_1_	방어력 +_#num_percent_0_1_1_	DEF​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
100301	1	生命值提升	生命值提升	HP Boost	最大HPアップ	HP 증가	HP เพิ่มขึ้น	生命值提升_#num_percent_0_1_1_	生命值提升_#num_percent_0_1_1_	Increases HP by _#num_percent_0_1_1_.	HP＋_#num_percent_0_1_1_	HP +_#num_percent_0_1_1_	HP​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
100401	1	幸运提升	幸運提升	LUCK Boost	幸運値アップ	행운 증가	โชค เพิ่มขึ้น	幸运提升_#num_int_0_1_1_	幸運提升_#num_int_0_1_1_	Increases Luck by _#num_int_0_1_1_.	幸運値＋_#num_int_0_1_1_	행운 +_#num_int_0_1_1_	โชค​ เพิ่มขึ้น​ _#num_int_0_1_1_​
100501	1	暴击率提升	爆擊率提升	CRIT Rate UP	会心率アップ	크리티컬 확률 증가	อัตราคริติคอลเพิ่มขึ้น	暴击率提升_#num_percent_0_1_1_	爆擊率提升_#num_percent_0_1_1_	Increases CRIT Rate by _#num_percent_0_1_1_.	会心率＋_#num_percent_0_1_1_	크리티컬율 +_#num_percent_0_1_1_	อัต​ราค​ริ​ติ​คอ​ล​เพิ่มขึ้น​ _#num_percent_0_1_1_​
100601	1	暴击伤害提升	爆擊傷害提升	CRIT DMG Boost	会心ダメージアップ	크리티컬 대미지 증가	ดาเมจคริติคอลเพิ่มขึ้น	暴击伤害提升_#num_percent_0_1_1_	爆擊傷害提升_#num_percent_0_1_1_	Increases CRIT DMG by _#num_percent_0_1_1_.	会心ダメージ＋_#num_percent_0_1_1_	크리티컬 대미지 +_#num_percent_0_1_1_	ดา​เม​จค​ริ​ติ​คอ​ล​เพิ่มขึ้น​ _#num_percent_0_1_1_​
100701	1	暴击抵抗提升	爆擊抵抗提升	CRIT RES Boost	会心回避率アップ	크리티컬 저항 증가	ต้าน​ทา​นค​ริ​ติ​คอ​ล​เพิ่มขึ้น​	暴击抵抗提升_#num_percent_0_1_1_	爆擊抵抗提升_#num_percent_0_1_1_	Increases CRIT RES by _#num_percent_0_1_1_.	会心回避率＋_#num_percent_0_1_1_	크리티컬 저항 +_#num_percent_0_1_1_	ต้าน​ทา​นค​ริ​ติ​คอ​ล​เพิ่มขึ้น​ _#num_percent_0_1_1_​
100801	1	暴伤抵抗提升	爆傷抵抗提升	CRIT DMG RES Boost	会心ダメージ抵抗率アップ	크리티컬 대미지 저항 증가	ต้านทาน​ดา​เม​จค​ริ​เพิ่มขึ้น​	暴伤抵抗提升_#num_percent_0_1_1_	暴傷抵抗提升_#num_percent_0_1_1_	Increases CRIT DMG RES by _#num_percent_0_1_1_.	会心ダメージ抵抗率＋_#num_percent_0_1_1_	크리티컬 대미지 저항 +_#num_percent_0_1_1_	ต้านทาน​ดา​เม​จค​ริ​เพิ่มขึ้น​ _#num_percent_0_1_1_​
100901	1	穿透率提升	穿透率提升	Armor PEN UP	貫通率アップ	관통률 증가	อัตรา​เจาะ​เกราะ​เพิ่มขึ้น​	穿透率提升_#num_percent_0_1_1_	穿透率提升_#num_percent_0_1_1_	Increases Armor PEN by _#num_percent_0_1_1_.	貫通率＋_#num_percent_0_1_1_	관통률 +_#num_percent_0_1_1_	อัตรา​เจาะ​เกราะ​เพิ่มขึ้น​ _#num_percent_0_1_1_​
