id	icon	skillId1	skillId2	skillId3	skillId4	overCondition	overConditionPara	overSkill1	overSkill2	overSkill3	overSkill4	cardBehavior	cardBehaviorPara	cardTrigger	triggerEffect	triggerPara	delayTriggerTarget	delayTriggerType	delayTriggereffectId	usefulnessAI	usefulnessNumAI	isAoe	skillType	isPowerful	label	showLabel	autoLabel	skillLvMax	clickType	isEveryone	descOther	abstractLabel	cardActive	ignoreTaunt	status	skillName	skillName_zh_TW	skillName_en_UK	skillName_ja_JP	skillName_ko_KR	skillName_th_TH	skillDesc1	skillDesc1_zh_TW	skillDesc1_en_UK	skillDesc1_ja_JP	skillDesc1_ko_KR	skillDesc1_th_TH	skillDesc2	skillDesc2_zh_TW	skillDesc2_en_UK	skillDesc2_ja_JP	skillDesc2_ko_KR	skillDesc2_th_TH	skillDesc3	skillDesc3_zh_TW	skillDesc3_en_UK	skillDesc3_ja_JP	skillDesc3_ko_KR	skillDesc3_th_TH	skillDesc4	skillDesc4_zh_TW	skillDesc4_en_UK	skillDesc4_ja_JP	skillDesc4_ko_KR	skillDesc4_th_TH	specialDesc1	specialDesc1_zh_TW	specialDesc1_en_UK	specialDesc1_ja_JP	specialDesc1_ko_KR	specialDesc1_th_TH	specialDesc2	specialDesc2_zh_TW	specialDesc2_en_UK	specialDesc2_ja_JP	specialDesc2_ko_KR	specialDesc2_th_TH	specialDesc3	specialDesc3_zh_TW	specialDesc3_en_UK	specialDesc3_ja_JP	specialDesc3_ko_KR	specialDesc3_th_TH	specialDesc4	specialDesc4_zh_TW	specialDesc4_en_UK	specialDesc4_ja_JP	specialDesc4_ko_KR	specialDesc4_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
511002001	12:master_skill_img_1	511002001																				0	1		2	2		1	2	1			0	0	1	「技能1」	「技能1」	Skill 1	「スキル1」	「스킬Ⅰ」	[สกิล 1]	按_#skill_effectper_0_0_1_攻击力，对敌方单体造成伤害	按_#skill_effectper_0_0_1_攻擊力，對敵方單體造成傷害	Deals _#skill_effectper_0_0_1_ ATK as DMG to one enemy.	敵単体に攻撃力_#skill_effectper_0_0_1_のダメージを与える。	단일 적에게 공격력의 _#skill_effectperstar_0_0_1_에 해당하는 대미지를 부여한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​ _#skill_effectper_0_0_1_​ ของ​ ATK​																																										
521002001	12:master_skill_img_2	521002001																				0	2		2	6		1	2	1			0	0	1	「技能2」	「技能2」	Skill 2	「スキル2」	「스킬Ⅱ」	[สกิล 2]	按_#skill_effectper_0_0_1_攻击力，对敌方单体造成伤害，并降低目标_#buff_effectper_0_3_0_1_1_防御力_#round_num_0_3_0_回合	按_#skill_effectper_0_0_1_攻擊力，對敵方單體造成傷害，並降低目標_#buff_effectper_0_3_0_1_1_防禦力_#round_num_0_3_0_回合	Deals _#skill_effectper_0_0_1_ ATK as DMG to one enemy and reduces the target's DEF by _#buff_effectper_0_3_0_1_1_ for _#round_num_0_3_0_ turn(s).	敵単体に攻撃力_#skill_effectper_0_0_1_のダメージを与え、_#round_num_0_3_0_ターンの間、対象の防御力を_#buff_effectper_0_3_0_1_1_ダウンさせる。	단일 적에게 공격력의 _#skill_effectper_0_0_1_에 해당하는 대미지를 부여하고, _#round_num_0_3_0_턴 동안 목표의 방어력 -_#buff_effectper_0_3_0_1_1_ 	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​ _#skill_effectper_0_0_1_​ ของ​ ATK​ และ​ลด​ DEF​ ของ​ศัตรู​ลง​ _#buff_effectper_0_3_0_1_1_​ เป็นเวลา​_#round_num_0_3_0_​เทิร์น​																																										
571002001	12:master_skill_img_3	571002001																				0	3		2	2		1	2	1			0	0	1	「奥义技能」	「奧義技能」	Ultimate	「SP技」	「필살기」	[สกิลอัลติเมท]	按_#skill_effectper_0_0_1_攻击力，对敌方单体造成<color="#FF7F50">「破裂伤害」</color>\n<color="#FF7F50">「破裂伤害」</color>：对拥有增益的目标造成的伤害提升至_#type_num_9_1_倍	按_#skill_effectper_0_0_1_攻擊力，對敵方單體造成<color="#FF7F50">「破裂傷害」</color>\n<color="#FF7F50">「破裂傷害」</color>：對擁有增益的目標造成的傷害提升至_#type_num_9_1_倍	Deals _#skill_effectper_0_0_1_ ATK as <color="#FF7F50">Overload DMG</color> to one enemy.\n<color="#FF7F50">Overload DMG</color>: Deals _#type_num_9_1_x damage to buffed targets.	敵単体に攻撃力_#skill_effectper_0_0_1_の<color="#FF7F50">「バフ特攻ダメージ」</color>を与える。\n<color="#FF7F50">「バフ特攻ダメージ」</color>：バフを保有する対象に与えるダメージが_#type_num_9_1_倍に上昇する。	단일 적에게 공격력의 _#skill_effectperstar_0_0_1_에 해당하는 <color="#FF7F50">「파열 대미지」</color>를 부여한다.\n <color="#FF7F50">「파열 대미지」</color>: 버프가 있는 목표에게 부여하는 대미지가 _#type_num_9_1_배 증가한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​ <color="#FF7F50">[ดาเมจฉีกกระชาก]</color>​ _#skill_effectper_0_0_1_​ ของ​ ATK​\n<color="#FF7F50">[ดาเมจฉีกกระชาก]</color>:​ สร้าง​ดา​เม​จ​ต่อ​เป้าหมาย​ที่​มี​บัฟ​เพิ่มขึ้น​เป็น​ _#type_num_9_1_​ เท่า​																																										
521002002	12:master_skill_img_2	521002002																				0	2		2	6		1	2	1			0	0	1	「技能2」	「技能2」	Skill 2	「スキル2」	「스킬Ⅱ」	[สกิล 2]	按_#skill_effectper_0_0_1_攻击力，对敌方单体造成伤害，并降低目标_#buff_effectper_0_3_0_1_1_穿透率_#round_num_0_3_0_回合	按_#skill_effectper_0_0_1_攻擊力，對敵方單體造成傷害，並降低目標_#buff_effectper_0_3_0_1_1_穿透率_#round_num_0_3_0_回合	Deals _#skill_effectper_0_0_1_ ATK as DMG to one enemy and reduces the target's Armor PEN by _#buff_effectper_0_3_0_1_1_ for _#round_num_0_3_0_ turn(s).	敵単体に攻撃力_#skill_effectper_0_0_1_のダメージを与え、_#round_num_0_3_0_ターンの間、対象の貫通率を_#buff_effectper_0_3_0_1_1_ダウンさせる。	단일 적에게 공격력의 _#skill_effectper_0_0_1_에 해당하는 대미지를 부여하고,  _#round_num_0_3_0_턴 동안 목표의 관통률 -_#buff_effectper_0_3_0_1_1_ 	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​ _#skill_effectper_0_0_1_​ ของ​ ATK​ และ​ลด​อัตรา​เจาะ​เกราะ​ของ​ศัตรู​ลง​ _#buff_effectper_0_3_0_1_1_​ เป็นเวลา​ _#round_num_0_3_0_​ เทิร์น​																																										
511003001	12:master_skill_img_1	511003001							 													0	1		2	2		1	2	1			0	0	1	「技能1」	「技能1」	Skill 1	「スキル1」	「스킬Ⅰ」	[สกิล 1]	按_#skill_effectper_0_0_1_攻击力，对敌方单体造成伤害	按_#skill_effectper_0_0_1_攻擊力，對敵方單體造成傷害	Deals _#skill_effectper_0_0_1_ ATK as DMG to one enemy.	敵単体に攻撃力_#skill_effectper_0_0_1_のダメージを与える。	단일 적에게 공격력의 _#skill_effectperstar_0_0_1_에 해당하는 대미지를 부여한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​ _#skill_effectper_0_0_1_​ ของ​ ATK​																																										
521003001	12:master_skill_img_2	521003001																				0	2		4	4		1	1	1			0	0	1	「技能2」	「技能2」	Skill 2	「スキル2」	「스킬Ⅱ」	[สกิล 2]	按_#skill_effectper_0_0_1_攻击力治疗友方单体	按_#skill_effectper_0_0_1_攻擊力治療友方單體	Heals one ally for _#skill_effectper_0_0_1_ of ATK.	味方単体のHPを攻撃力_#skill_effectper_0_0_1_回復する。	단일 아군을 공격력의 _#skill_effectper_0_0_1_에 해당하는 만큼 치유한다.	ฟื้นฟู​ HP​ ให้​เพื่อน​ร่วม​ทีม​หนึ่ง​คน​ _#skill_effectper_0_0_1_​ ของ​ ATK​																																										
571003001	12:master_skill_img_3	571003001																				0	3		2	2		1	2	1			0	0	1	「奥义技能」	「奧義技能」	Ultimate	「SP技」	「필살기」	[สกิลอัลติเมท]	按_#skill_effectper_0_0_1_攻击力，对敌方单体造成<color="#FF7F50">「破裂伤害」</color>\n<color="#FF7F50">「破裂伤害」</color>：对拥有增益的目标造成的伤害提升至_#type_num_9_1_倍	按_#skill_effectper_0_0_1_攻擊力，對敵方單體造成<color="#FF7F50">「破裂傷害」</color>\n<color="#FF7F50">「破裂傷害」</color>：對擁有增益的目標造成的傷害提升至_#type_num_9_1_倍	Deals _#skill_effectper_0_0_1_ ATK as <color="#FF7F50">Overload DMG</color> to one enemy.\n<color="#FF7F50">Overload DMG</color>: Deals _#type_num_9_1_x damage to buffed targets.	敵単体に攻撃力_#skill_effectper_0_0_1_の<color="#FF7F50">「バフ特攻ダメージ」</color>を与える。\n<color="#FF7F50">「バフ特攻ダメージ」</color>：バフを保有する対象に与えるダメージが_#type_num_9_1_倍に上昇する。	단일 적에게 공격력의 _#skill_effectperstar_0_0_1_에 해당하는 <color="#FF7F50">「파열 대미지」</color>를 부여한다.\n <color="#FF7F50">「파열 대미지」</color>: 버프가 있는 목표에게 부여하는 대미지가 _#type_num_9_1_배 증가한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​ <color="#FF7F50">[ดาเมจฉีกกระชาก]</color>​ _#skill_effectper_0_0_1_​ ของ​ ATK​\n<color="#FF7F50">[ดาเมจฉีกกระชาก]</color>:​ สร้าง​ดา​เม​จ​ต่อ​เป้าหมาย​ที่​มี​บัฟ​เพิ่มขึ้น​เป็น​ _#type_num_9_1_​ เท่า​																																										
511004001	12:master_skill_img_1	511004001																				0	1		2	2		1	2	1			0	0	1	「技能1」	「技能1」	Skill 1	「スキル1」	「스킬Ⅰ」	[สกิล 1]	按_#skill_effectper_0_0_1_攻击力，对敌方单体造成伤害	按_#skill_effectper_0_0_1_攻擊力，對敵方單體造成傷害	Deals _#skill_effectper_0_0_1_ ATK as DMG to one enemy.	敵単体に攻撃力_#skill_effectper_0_0_1_のダメージを与える。	단일 적에게 공격력의 _#skill_effectperstar_0_0_1_에 해당하는 대미지를 부여한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​ _#skill_effectper_0_0_1_​ ของ​ ATK​	1	1	1	1	1	1																																				
521004001	12:master_skill_img_2	521004001																				1	2		3	3		1	2	0			0	0	1	「技能2」	「技能2」	Skill 2	「スキル2」	「스킬Ⅱ」	[สกิล 2]	对敌方全体施加_#stacktime_num_0_0_层<color="#FF7F50">「毒」</color>_#round_num_0_0_0_回合\n<color="#FF7F50">「毒」</color>：回合结束时，按施法者_#buff_percent_0_0_0_1_1_攻击力造成<color="#FF7F50">间接伤害</color>(可叠加，最多_#stackmax_num_0_0_0_层）	對敵方全體施加_#stacktime_num_0_0_層<color="#FF7F50">「毒」</color>_#round_num_0_0_0_回合\n<color="#FF7F50">「毒」</color>：回合結束時，按施法者_#buff_percent_0_0_0_1_1_攻擊力造成<color="#FF7F50">間接傷害</color>(可疊加，最多_#stackmax_num_0_0_0_層）	Inflicts _#stacktime_num_0_0_ stack(s) of <color="#FF7F50">Poison</color> on all enemies for _#round_num_0_0_0_ turn(s).\n<color="#FF7F50">Poison</color>: At the end of turns, deals <color="#FF7F50">Indirect DMG</color> equal to _#buff_percent_0_0_0_1_1_ of the caster's ATK (stacks up to _#stackmax_num_0_0_0_ time(s)).	敵全体に<color="#FF7F50">「毒」</color>を_#stacktime_num_0_0_スタック付与する（_#round_num_0_0_0_ターン持続）。\n<color="#FF7F50">「毒」</color>：ターン終了時、付与者の攻撃力_#buff_percent_0_0_0_1_1_の<color="#FF7F50">間接ダメージ</color>を与える(最高_#stackmax_num_0_0_0_スタックまで）	전체 적에게 _#stacktime_num_0_0_스택의 <color="#FF7F50">「독」</color> 효과를 부여하며, _#round_num_0_0_0_턴 동안 지속된다.\n<color="#FF7F50">「독」</color>: 턴 종료 시, 시전자의 공격력 _#buff_percent_0_0_0_1_1_에 해당하는 <color="#FF7F50">간접 대미지</color>를 부여한다.(최대 _#stackmax_num_0_0_0_스택 중첩 가능)	ติด​เอฟเฟกต์​ <color="#FF7F50">[พิษ]</color>​ ใส่​ศัตรู​ทั้งหมด​ _#stacktime_num_0_0_​ ชั้น​ เป็นเวลา​ _#round_num_0_0_0_​ เทิร์น​\n<color="#FF7F50">[​พิษ​]</color>:​ เมื่อ​จบ​เทิร์น​ จะ​สร้าง​<color="#FF7F50">ดาเมจต่อเนื่อง</color>​ _#buff_percent_0_0_0_1_1_​ ของ​ ATK​ ของ​ผู้​ร่าย​ (​ซ้อนทับ​ได้​ _#stackmax_num_0_0_0_​ ชั้น​)​																																										
