name	color	next_color	isUpLv	isConversion	type	status
int	int	int	int	int	int	int
passiveper	<color="#23d4c9">target_num</color>	<color="#23d4c9">target_num</color>	0	1		1
passiveint	<color="#23d4c9">target_num</color>	<color="#23d4c9">target_num</color>	0	0		1
effectper	<color="#f20c68">target_num</color>	<color="#f20c68">target_num</color>	0	1		1
effectpernolv	<color="#f20c68">target_num</color>	<color="#f20c68">target_num</color>	0	1		1
effectint	<color="#f20c68">target_num</color>	<color="#f20c68">target_num</color>	0	0		1
effectintnolv	<color="#f20c68">target_num</color>	<color="#f20c68">target_num</color>	0	0		1
heal	<color="#02b357">target_num</color>	<color="#02b357">target_num</color>	0	1		1
num	target_num	target_num	0	0		1
percent	target_num	target_num	0	1		1
passivepercat	<color="#0099a3">target_num</color>	<color="#0099a3">target_num</color>	1	1		1
passiveintcat	<color="#0099a3">target_num</color>	<color="#0099a3">target_num</color>	1	0		1
effectpercat	<color="#f20c68">target_num</color>	<color="#f20c68">target_num</color>	1	1		1
effectpernolvcat	<color="#f20c68">target_num</color>	<color="#f20c68">target_num</color>	1	1		1
effectintcat	<color="#f20c68">target_num</color>	<color="#f20c68">target_num</color>	1	0		1
effectintnolvcat	<color="#f20c68">target_num</color>	<color="#f20c68">target_num</color>	1	0		1
healcat	<color="#02b357">target_num</color>	<color="#02b357">target_num</color>	1	1		1
numcat	target_num	target_num	1	0		1
percentcat	target_num	target_num	1	1		1
passiveperstar	<color="#23d4c9">target_num</color>	<color="#23d4c9">target_num</color>	0	1		1
passiveintstar	<color="#23d4c9">target_num</color>	<color="#23d4c9">target_num</color>	0	0		1
effectperstar	<color="#23d4c9">target_num</color>	<color="#23d4c9">target_num</color>	0	1		1
effectpernolvstar	<color="#23d4c9">target_num</color>	<color="#23d4c9">target_num</color>	0	1		1
effectintstar	<color="#23d4c9">target_num</color>	<color="#23d4c9">target_num</color>	0	0		1
effectintnolvstar	<color="#23d4c9">target_num</color>	<color="#23d4c9">target_num</color>	0	0		1
healstar	<color="#23d4c9">target_num</color>	<color="#23d4c9">target_num</color>	0	1		1
numstar	target_num	target_num	0	0		1
percentstar	target_num	target_num	0	1		1
passiveperlaststar	target_num	target_num	1	1		1
passiveintlaststar	target_num	target_num	1	0		1
effectperlaststar	target_num	target_num	1	1		1
effectpernolvlaststar	target_num	target_num	1	1		1
effectintlaststar	target_num	target_num	1	0		1
effectintnolvlaststar	target_num	target_num	1	0		1
heallaststar	target_num	target_num	1	1		1
numlaststar	target_num	target_num	1	0		1
percentlaststar	target_num	target_num	1	1		1
