index	skillId	star	effectConditionPara1	effectConditionPara2	effectConditionPara3	effectConditionPara4	effectConditionPara5	effectConditionPara6	effectConditionPara7	stackTime1	stackTime2	stackTime3	stackTime4	stackTime5	stackTime6	stackTime7	cd	disAtkNum	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
511002001_1	511002001	1								1	1	1	1	1	1	1			1
521002001_1	521002001	1								1	1	1	1	1	1	1			1
571002001_1	571002001	1								1	1	1	1	1	1	1			1
521002002_1	521002002	1								1	1	1	1	1	1	1			1
511003001_1	511003001	1								1	1	1	1	1	1	1			1
521003001_1	521003001	1								1	1	1	1	1	1	1			1
571003001_1	571003001	1								1	1	1	1	1	1	1			1
511004001_1	511004001	1								1	1	1	1	1	1	1			1
521004001_1	521004001	1								1	1	1	1	1	1	1			1
571004001_1	571004001	1								1	1	1	1	1	1	1			1
511005001_1	511005001	1								1	1	1	1	1	1	1			1
521005001_1	521005001	1								1	1	1	1	1	1	1			1
571005001_1	571005001	1								1	1	1	1	1	1	1			1
511005002_1	511005002	1								1	1	1	1	1	1	1			1
521005002_1	521005002	1								1	1	2	1	1	1	1			1
571005002_1	571005002	1								1	1	1	1	1	1	1			1
511005003_1	511005003	1								1	1	1	1	1	1	1			1
521005003_1	521005003	1								1	1	2	1	1	1	1			1
511006001_1	511006001	1								1	1	1	1	1	1	1			1
571006001_1	571006001	1								1	1	1	1	1	1	1			1
511006002_1	511006002	1								1	1	1	1	1	1	1			1
521006002_1	521006002	1								1	1	1	1	1	1	1			1
571006002_1	571006002	1								1	1	1	1	1	1	1			1
511007001_1	511007001	1								1	1	1	1	1	1	1			1
521007001_1	521007001	1								1	1	1	1	1	1	1			1
571007001_1	571007001	1								1	1	1	1	1	1	1			1
511009001_1	511009001	1								1	1	1	1	1	1	1			1
521009001_1	521009001	1								1	1	1	1	1	1	1			1
531009001_1	531009001	1								1	1	1	1	1	1	1			1
571009001_1	571009001	1								1	1	1	1	1	1	1			1
511010001_1	511010001	1								1	1	1	1	1	1	1			1
521010001_1	521010001	1								1	1	1	1	1	1	1			1
571010001_1	571010001	1								1	1	1	1	1	1	1			1
511010002_1	511010002	1								1	1	1	1	1	1	1			1
521010002_1	521010002	1								1	1	1	1	1	1	1			1
571010002_1	571010002	1								1	1	1	1	1	1	1			1
511011001_1	511011001	1								1	1	1	1	1	1	1			1
521011001_1	521011001	1								1	1	1	1	1	1	1			1
571011001_1	571011001	1								1	1	1	1	1	1	1			1
511012001_1	511012001	1								1	1	1	1	1	1	1			1
521012001_1	521012001	1								1	1	1	1	1	1	1			1
571012001_1	571012001	1								1	1	1	1	1	1	1			1
511012002_1	511012002	1								1	1	1	1	1	1	1			1
521012002_1	521012002	1								1	1	1	1	1	1	1			1
571012002_1	571012002	1								1	1	1	1	1	1	1			1
511013001_1	511013001	1								1	1	1	1	1	1	1			1
521013001_1	521013001	1								1	1	1	1	1	1	1			1
571013001_1	571013001	1								1	1	1	1	1	1	1			1
511014001_1	511014001	1								1	1	1	1	1	1	1			1
521014001_1	521014001	1								1	1	1	1	1	1	1			1
571014001_1	571014001	1								1	1	1	1	1	1	1			1
511014002_1	511014002	1								1	1	1	1	1	1	1			1
521014002_1	521014002	1								1	1	1	1	1	1	1			1
571014002_1	571014002	1								1	1	1	1	1	1	1			1
511015001_1	511015001	1								1	1	1	1	1	1	1			1
521015001_1	521015001	1								1	1	1	1	1	1	1			1
571015001_1	571015001	1								1	1	1	1	1	1	1			1
511016001_1	511016001	1								1	1	1	1	1	1	1			1
521016001_1	521016001	1								1	1	1	1	1	1	1			1
571016001_1	571016001	1								1	1	1	1	1	1	1			1
511016002_1	511016002	1								1	1	1	1	1	1	1			1
521016002_1	521016002	1								1	1	1	1	1	1	1			1
571016002_1	571016002	1								1	1	1	1	1	1	1			1
511017001_1	511017001	1								1	1	1	1	1	1	1			1
521017001_1	521017001	1								1	1	1	1	1	1	1			1
571017001_1	571017001	1								1	1	1	1	1	1	1			1
521017003_1	521017003	1								1	1	1	1	1	1	1			1
511017002_1	511017002	1								1	1	1	1	1	1	1			1
521017002_1	521017002	1								1	1	1	1	1	1	1			1
571017002_1	571017002	1								1	1	1	1	1	1	1			1
511018001_1	511018001	1								1	1	1	1	1	1	1			1
521018001_1	521018001	1								1	1	1	1	1	1	1			1
571018001_1	571018001	1								1	1	1	1	1	1	1			1
511018002_1	511018002	1								1	1	1	1	1	1	1			1
521018002_1	521018002	1								1	1	1	1	1	1	1			1
571018002_1	571018002	1								1	1	1	1	1	1	1			1
511019001_1	511019001	1								1	1	1	1	1	1	1			1
521019001_1	521019001	1								1	1	1	1	1	1	1			1
571019001_1	571019001	1								1	1	1	1	1	1	1			1
511019002_1	511019002	1								1	1	1	1	1	1	1			1
521019002_1	521019002	1								1	1	1	1	1	1	1			1
571019002_1	571019002	1								1	1	1	1	1	1	1			1
511020001_1	511020001	1								1	1	1	1	1	1	1			1
521020001_1	521020001	1								1	1	1	1	1	1	1			1
571020001_1	571020001	1								1	1	1	1	1	1	1			1
511020002_1	511020002	1								1	1	1	1	1	1	1			1
521020002_1	521020002	1								1	1	1	1	1	1	1			1
571020002_1	571020002	1								1	1	1	1	1	1	1			1
521020003_1	521020003	1								1	1	1	1	1	1	1			1
511021001_1	511021001	1								1	1	1	1	1	1	1			1
521021001_1	521021001	1								1	1	1	1	1	1	1			1
571021001_1	571021001	1								1	1	1	1	1	1	1			1
511022001_1	511022001	1								1	1	1	1	1	1	1			1
521022001_1	521022001	1								1	1	1	1	1	1	1			1
571022001_1	571022001	1								1	1	1	1	1	1	1			1
511022002_1	511022002	1								1	1	1	1	1	1	1			1
521022002_1	521022002	1								1	1	1	1	1	1	1			1
571022002_1	571022002	1								1	1	1	1	1	1	1			1
511023001_1	511023001	1								1	1	1	1	1	1	1			1
521023001_1	521023001	1								1	1	1	1	1	1	1			1
571023001_1	571023001	1								1	1	1	1	1	1	1			1
571023004_1	571023004	1								1	1	1	1	1	1	1			1
511023002_1	511023002	1								1	1	1	1	1	1	1			1
521023002_1	521023002	1								1	1	1	1	1	1	1			1
571023002_1	571023002	1								1	1	1	1	1	1	1			1
521023005_1	521023005	1								1	1	1	1	1	1	1			1
511023003_1	511023003	1								1	1	1	1	1	1	1			1
521023003_1	521023003	1								1	1	1	1	1	1	1			1
571023003_1	571023003	1								1	1	1	1	1	1	1			1
511024001_1	511024001	1								1	1	1	1	1	1	1			1
521024001_1	521024001	1								1	1	1	1	1	1	1			1
571024001_1	571024001	1								1	1	1	1	1	1	1			1
521024004_1	521024004	1								1	1	1	1	1	1	1			1
571024004_1	571024004	1								1	1	1	1	1	1	1			1
511024002_1	511024002	1								1	1	1	1	1	1	1			1
521024002_1	521024002	1								1	1	1	1	1	1	1			1
571024002_1	571024002	1								1	1	1	1	1	1	1			1
511024003_1	511024003	1								1	1	1	1	1	1	1			1
521024003_1	521024003	1								1	1	1	1	1	1	1			1
571024003_1	571024003	1								1	1	1	1	1	1	1			1
571024005_1	571024005	1								1	1	1	1	1	1	1			1
511025001_1	511025001	1								1	1	1	1	1	1	1			1
571025001_1	571025001	1								1	1	1	1	1	1	1			1
521025001_1	521025001	1								1	1	1	1	1	1	1			1
511026001_1	511026001	1								1	1	1	1	1	1	1			1
521026001_1	521026001	1								1	1	1	1	1	1	1			1
571026001_1	571026001	1								1	1	1	1	1	1	1			1
521026002_1	521026002	1								1	1	1	1	1	1	1			1
511027001_1	511027001	1								1	1	1	1	1	1	1			1
571027001_1	571027001	1								1	1	1	1	1	1	1			1
511030001_1	511030001	1								1	1	1	1	1	1	1			1
571030001_1	571030001	1								1	1	1	1	1	1	1			1
511030002_1	511030002	1								1	1	1	1	1	1	1			1
521030002_1	521030002	1								1	1	1	1	1	1	1			1
571030002_1	571030002	1								1	1	1	1	1	1	1			1
511031001_1	511031001	1								1	1	1	1	1	1	1			1
521031001_1	521031001	1								1	1	1	1	1	1	1			1
571031001_1	571031001	1								1	1	1	1	1	1	1			1
511031002_1	511031002	1								1	1	1	1	1	1	1			1
521031002_1	521031002	1								1	1	1	1	1	1	1			1
571031002_1	571031002	1								1	1	1	1	1	1	1			1
511040001_1	511040001	1								1	1	1	1	1	1	1			1
571040001_1	571040001	1								1	1	1	1	1	1	1			1
571040004_1	571040004	1								1	1	1	1	1	1	1			1
511040003_1	511040003	1								1	1	1	1	1	1	1			1
521040003_1	521040003	1								1	1	1	1	1	1	1			1
571040003_1	571040003	1								1	1	1	1	1	1	1			1
521040004_1	521040004	1								1	1	1	1	1	1	1			1
521040005_1	521040005	1								1	1	1	1	1	1	1			1
511041001_1	511041001	1								1	1	1	1	1	1	1			1
521041001_1	521041001	1								1	1	1	1	1	1	1			1
571041001_1	571041001	1								1	1	1	1	1	1	1			1
511041002_1	511041002	1								1	1	1	1	1	1	1			1
521041002_1	521041002	1								1	1	1	1	1	1	1			1
571041002_1	571041002	1								1	1	1	1	1	1	1			1
511041003_1	511041003	1								1	1	1	1	1	1	1			1
521041003_1	521041003	1								1	1	1	1	1	1	1			1
571041003_1	571041003	1								1	1	1	1	1	1	1			1
571041004_1	571041004	1								1	1	1	1	1	1	1			1
511042001_1	511042001	1								1	1	1	1	1	1	1			1
521042001_1	521042001	1								1	1	1	1	1	1	1			1
571042001_1	571042001	1								1	1	1	1	1	1	1			1
511042002_1	511042002	1								1	1	1	1	1	1	1			1
521042002_1	521042002	1								1	1	1	1	1	1	1			1
571042002_1	571042002	1								1	1	1	1	1	1	1			1
571042003_1	571042003	1								1	1	1	1	1	1	1			1
511043001_1	511043001	1								1	1	1	1	1	1	1			1
521043001_1	521043001	1								1	1	1	1	1	1	1			1
571043001_1	571043001	1								1	1	1	1	1	1	1			1
511043002_1	511043002	1								1	1	1	1	1	1	1			1
521043002_1	521043002	1								1	1	1	1	1	1	1			1
571043002_1	571043002	1								1	1	1	1	1	1	1			1
521043003_1	521043003	1								1	1	1	1	1	1	1			1
511044001_1	511044001	1								1	1	1	1	1	1	1			1
521044001_1	521044001	1								1	1	1	1	1	1	1			1
571044001_1	571044001	1								1	1	1	1	1	1	1			1
511045001_1	511045001	1								1	1	1	1	1	1	1			1
521045001_1	521045001	1								1	1	1	1	1	1	1			1
571045001_1	571045001	1								1	1	1	1	1	1	1			1
511045002_1	511045002	1								1	1	1	1	1	1	1			1
521045002_1	521045002	1								1	1	1	1	1	1	1			1
571045002_1	571045002	1								1	1	1	1	1	1	1			1
521045003_1	521045003	1								1	1	1	1	1	1	1			1
511046001_1	511046001	1								1	1	1	1	1	1	1			1
521046001_1	521046001	1								1	1	1	1	1	1	1			1
