Id	remark	catalogue	voiceId	type	voiceTime	voiceTime_zh_CN	status
int	int	int	int	int	int	int	int
bgm_action	bgm_action	Audio/bgm_action	bgm_action	2	-1	-1	1
bgm_battle_01	bgm_battle_01	Audio/bgm_battle_01	bgm_battle_01	2	-1	-1	1
bgm_battle_02	bgm_battle_02	Audio/bgm_battle_02	bgm_battle_02	2	-1	-1	1
bgm_battle_03	bgm_battle_03	Audio/bgm_battle_03	bgm_battle_03	2	-1	-1	1
bgm_battle_04	bgm_battle_04	Audio/bgm_battle_04	bgm_battle_04	2	-1	-1	1
bgm_battle_05	bgm_battle_05	Audio/bgm_battle_05	bgm_battle_05	2	-1	-1	1
bgm_battle_07	bgm_battle_07	Audio/bgm_battle_07	bgm_battle_07	2	-1	-1	1
bgm_battle_08	bgm_battle_08	Audio/bgm_battle_08	bgm_battle_08	2	-1	-1	1
bgm_battle_09	bgm_battle_09	Audio/bgm_battle_09	bgm_battle_09	2	-1	-1	1
bgm_battle_10	bgm_battle_10	Audio/bgm_battle_10	bgm_battle_10	2	-1	-1	1
bgm_battle_BF03	bgm_battle_BF03	Audio/bgm_battle_BF03	bgm_battle_BF03	2	-1	-1	1
bgm_battle_BF04	bgm_battle_BF04	Audio/bgm_battle_BF04	bgm_battle_BF04	2	-1	-1	1
bgm_battle_BF05	bgm_battle_BF05	Audio/bgm_battle_BF05	bgm_battle_BF05	2	-1	-1	1
bgm_battle_nafret	bgm_battle_nafret	Audio/bgm_battle_nafret	bgm_battle_nafret	2	-1	-1	1
bgm_battle_nightcat	bgm_battle_nightcat	Audio/bgm_battle_nightcat	bgm_battle_nightcat	2	-1	-1	1
bgm_battle_VR01	bgm_battle_VR01	Audio/bgm_battle_VR01	bgm_battle_VR01	2	-1	-1	1
bgm_bg_gx_tower01	bgm_bg_gx_tower01	Audio/bgm_bg_gx_tower01	bgm_bg_gx_tower01	2	-1	-1	1
bgm_chapter03_bewitch	bgm_chapter03_bewitch	Audio/bgm_chapter03_bewitch	bgm_chapter03_bewitch	2	-1	-1	1
bgm_chapter03_Livehouse	bgm_chapter03_Livehouse	Audio/bgm_chapter03_Livehouse	bgm_chapter03_Livehouse	2	-1	-1	1
bgm_chapter03_telangtheme	bgm_chapter03_telangtheme	Audio/bgm_chapter03_telangtheme	bgm_chapter03_telangtheme	2	-1	-1	1
bgm_chouka_bgm01	bgm_chouka_bgm01	Audio/bgm_chouka_bgm01	bgm_chouka_bgm01	2	-1	-1	1
bgm_city	bgm_city	Audio/bgm_city	bgm_city	2	-1	-1	1
bgm_winter_trissirina_song	bgm_winter_trissirina_song	Audio/bgm_icelike_climax_cut	bgm_winter_trissirina_song	2	-1	-1	1
bgm_instance_bamboo_inter	bgm_instance_bamboo_inter	Audio/bgm_regional_yaozhou	bgm_instance_bamboo_inter	2	-1	-1	1
bgm_instance_nightcat	bgm_instance_nightcat	Audio/bgm_instance_nightcat	bgm_instance_nightcat	2	-1	-1	1
bgm_interaction_trisstelang	bgm_interaction_trisstelang	Audio/bgm_interaction_trisstelang	bgm_interaction_trisstelang	2	-1	-1	1
bgm_jackroy_justlikeme	bgm_jackroy_justlikeme	Audio/bgm_jackroy_justlikeme	bgm_jackroy_justlikeme	2	-1	-1	1
bgm_misssolar_inter_cut	bgm_misssolar_inter_cut	Audio/bgm_misssolar_inter_cut	bgm_misssolar_inter_cut	2	-1	-1	1
bgm_op_disorder	bgm_op_disorder	Audio/bgm_op_disorder	bgm_op_disorder	2	-1	-1	1
bgm_op_dream	bgm_op_dream	Audio/bgm_op_dream	bgm_op_dream	2	-1	-1	1
bgm_op_strange	bgm_op_strange	Audio/bgm_op_strange	bgm_op_strange	2	-1	-1	1
bgm_plot_evil01	bgm_plot_evil01	Audio/bgm_plot_evil01	bgm_plot_evil01	2	-1	-1	1
bgm_plot_happy01	bgm_plot_happy01	Audio/bgm_plot_happy01	bgm_plot_happy01	2	-1	-1	1
bgm_plot_reasoning01	bgm_plot_reasoning01	Audio/bgm_plot_reasoning01	bgm_plot_reasoning01	2	-1	-1	1
bgm_plot_reverse01	bgm_plot_reverse01	Audio/bgm_plot_reverse01	bgm_plot_reverse01	2	-1	-1	1
bgm_plot_taskstar01	bgm_plot_taskstar01	Audio/bgm_plot_taskstar01	bgm_plot_taskstar01	2	-1	-1	1
bgm_plot_trust01	bgm_plot_trust01	Audio/bgm_plot_trust01	bgm_plot_trust01	2	-1	-1	1
bgm_regional_jiuchengqu	bgm_regional_jiuchengqu	Audio/bgm_regional_jiucheng	bgm_regional_jiuchengqu	2	-1	-1	1
bgm_regional_kunshi	bgm_regional_kunshi	Audio/bgm_regional_kunshi	bgm_regional_kunshi	2	-1	-1	1
bgm_regional_linbei（Loop)	bgm_regional_linbei（Loop)	Audio/bgm_regional_linbei	bgm_regional_linbei（Loop)	2	-1	-1	1
bgm_regional_nangang	bgm_regional_nangang	Audio/bgm_regional_nangang	bgm_regional_nangang	2	-1	-1	1
bgm_regional_zhongxin	bgm_regional_zhongxin	Audio/bgm_regional_zhongxin	bgm_regional_zhongxin	2	-1	-1	1
bgm_role_asura_explorer	bgm_role_asura_explorer	Audio/bgm_role_asura_explorer	bgm_role_asura_explorer	2	-1	-1	1
bgm_role_doctor_dark	bgm_role_doctor_dark	Audio/bgm_role_doctor_dark	bgm_role_doctor_dark	2	-1	-1	1
bgm_role_echo_troublemaker	bgm_role_echo_troublemaker	Audio/bgm_role_echo_troublemaker	bgm_role_echo_troublemaker	2	-1	-1	1
bgm_role_minami_charm	bgm_role_minami_charm	Audio/bgm_role_minami_charm	bgm_role_minami_charm	2	-1	-1	1
bgm_role_qi	bgm_role_qi	Audio/bgm_role_qi	bgm_role_qi	2	-1	-1	1
bgm_role_telang_blood	bgm_role_telang_blood	Audio/bgm_role_telang_blood	bgm_role_telang_blood	2	-1	-1	1
bgm_shop	bgm_shop	Audio/bgm_shop	bgm_shop	2	-1	-1	1
bgm_story01_inter	bgm_story01_inter	Audio/bgm_story01_inter	bgm_story01_inter	2	-1	-1	1
bgm_universal_confess	bgm_universal_confess	Audio/bgm_universal_confess	bgm_universal_confess	2	-1	-1	1
bgm_universal_sexy	bgm_universal_sexy	Audio/bgm_universal_sexy	bgm_universal_sexy	2	-1	-1	1
