id	type	desc	mainType	condition1	condition1IsTure	condition2	condition2IsTure	condition3	condition3IsTure	condition4	condition4IsTure	condition5	condition5IsTure	isFinal	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2	直接生效	10	0	0	0	0	0	0	0	0	0	0		1
1001	1	技能命中时	10	81	1	0	0	0	0	0	0	0	0		1
1002	1	技能结束时	11	0	0	0	0	0	0	0	0	0	0		1
1003	1	技能开始释放时	12	0	0	0	0	0	0	0	0	0	0		1
1004	1	被攻击时	20	81	1	0	0	0	0	0	0	0	0		1
1005	1	己方轮次开始时（己方出牌之前）	30	0	0	0	0	0	0	0	0	0	0		1
1006	1	己方轮次结束时（全体无须填写0）	31	0	0	0	0	0	0	0	0	0	0		1
1007	1	角色自身死亡时（全体无须填写0）	40	0	0	0	0	0	0	0	0	0	0		1
1008	1	开始释放某个特定的技能时（条件为特定的技能ID）	12	76	1	0	0	0	0	0	0	0	0		1
1009	1	角色攻击时	11	75	0	0	0	0	0	0	0	0	0		1
1010	1	行动开始时，角色身上某个BUFF（id=条件参数1_1）的叠加层数>条件参数1_2	30	40	1	0	0	0	0	0	0	0	0		1
1011	1	行动开始时，生命值<NUM1	30	12	0	0	0	0	0	0	0	0	0		1
1012	1	行动开始时，生命值>NUM1	30	12	1	0	0	0	0	0	0	0	0		1
1013	1	行动开始时（全体无须填写0）,增益数量>NUM1	30	20	1	0	0	0	0	0	0	0	0		1
1014	1	行动开始时（全体无须填写0）,增益数量<NUM1	30	20	0	0	0	0	0	0	0	0	0		1
1015	1	被攻击时生命值<NUM1	20	12	0	0	0	0	0	0	0	0	0		1
1018	1	行动开始时，角色身上某个BUFF（id=条件参数1_1）的叠加层数<=条件参数1_2	30	40	0	0	0	0	0	0	0	0	0		1
1019	1	如果被施加的BUFF为增益或减益，则触发（填1判定增益，填2判定减益）	51	43	1	0	0	0	0	0	0	0	0		1
1100	1	行动开始时，角色身上某个BUFF（id=条件参数1_1）的叠加层数<=条件参数1_2，减益BUFF数量<=条件参数2_1	30	40	0	31	0	0	0	0	0	0	0		1
1101	1	携带者使用必杀技时触发	12	86	1	0	0	0	0	0	0	0	0		1
1102	1	大回合开始时	32	0	0	0	0	0	0	0	0	0	0		1
1103	1	大回合结束时	33	0	0	0	0	0	0	0	0	0	0		1
1104	1	轮次结束时，如果身上某个BUFF层数>num1	33	40	1	0	0	0	0	0	0	0	0		1
1105	1	携带者必杀技完全结算结束时触发（只会发动一次）	11	86	1	0	0	0	0	0	0	0	0		1
1106	1	角色失去BUFF时，num1 ID的BUFF层数<num2层	50	40	0	0	0	0	0	0	0	0	0		1
1107	1	角色出牌操作完成后，优先于其他目标出牌前触发	34	0	0	0	0	0	0	0	0	0	0		1
1108	1	角色失去BUFF时，num1 ID的BUFF层数<num2层	50	42	1	0	0	0	0	0	0	0	0		1
1201	1	获得效果时，判断buff的大类型	51	83	1	0	0	0	0	0	0	0	0		1
1202	1	解体用触发器-解体循环用-休眠-自解体-虚弱	52	42	1	0	0	0	0	0	0	0	0		1
1203	1	护盾破灭时	53	0	0	0	0	0	0	0	0	0	0		1
1204	1	特殊解体用-休眠期必须	52	42	1	41	1	0	0	0	0	0	0		1
1205	1	特殊解体用-结束掉解体	50	40	0	0	0	0	0	0	0	0	0		1
1206	1	受到敌方的伤害而损失血量时触发（和1004区分开）	71	81	1	0	0	0	0	0	0	0	0		1
2001	2	概率生效	1	1	1	0	0	0	0	0	0	0	0		1
2002	2	目标的条件参数1_1属性>条件参数1_2	1	10	1	0	0	0	0	0	0	0	0		1
2003	2	目标的条件参数1_1属性<=条件参数1_2	1	10	0	0	0	0	0	0	0	0	0		1
2004	2	目标的血量>NUM%	1	11	1	0	0	0	0	0	0	0	0		1
2005	2	目标的血量<=NUM%	1	11	0	0	0	0	0	0	0	0	0		1
2006	2	自己身上的增益BUFF数量>条件参数1_1	1	20	1	0	0	0	0	0	0	0	0		1
2007	2	自己身上的增益BUFF数量<=条件参数1_1	1	20	0	0	0	0	0	0	0	0	0		1
2008	2	自己身上的减益BUFF数量>条件参数1_1	1	31	1	0	0	0	0	0	0	0	0		1
2009	2	自己身上的减益BUFF数量<=条件参数1_1	1	20	0	0	0	0	0	0	0	0	0		1
2010	2	（弃用，用2018替代）携带者身上有某个ID的BUFF	1	40	1	0	0	0	0	0	0	0	0		1
2011	2	该攻击是否暴击	1	72	1	0	0	0	0	0	0	0	0		1
2012	2	目标身上sp>条件参数1则触发	1	34	1	0	0	0	0	0	0	0	0		1
2013	2	目标身上的负面BUFF数量>条件参数1_1个	1	33	1	0	0	0	0	0	0	0	0		1
2014	2	自身的血量>条件参数1_1*100%	1	12	1	0	0	0	0	0	0	0	0		1
2015	2	自身的血量<=条件参数1_1*100%	1	12	0	0	0	0	0	0	0	0	0		1
2016	2	目标身上的增益BUFF数量>条件参数1_1	1	32	1	0	0	0	0	0	0	0	0		1
2017	2	目标身上的增益BUFF数量<=条件参数1_1	1	32	0	0	0	0	0	0	0	0	0		1
2018	2	自己身上有某个id=条件参数1的buff的层数>条件参数2	1	40	1	0	0	0	0	0	0	0	0		1
2019	2	自己身上有某个id=条件参数1的buff的层数<=条件参数2	1	40	0	0	0	0	0	0	0	0	0		1
2020	2	（怪用）自己身上剩余解体次数>条件参数1_1则发动	1	84	1	0	0	0	0	0	0	0	0		1
2021	2	（怪用）自己身上剩余解体次数<=条件参数1_1则发动	1	84	0	0	0	0	0	0	0	0	0		1
2022	2	目标身上有某个id=条件参数1的buff的层数>条件参数2	1	87	1	0	0	0	0	0	0	0	0		1
2023	2	目标身上有某个id=条件参数1的buff的层数<=条件参数2	1	87	0	0	0	0	0	0	0	0	0		1
2024	2	判断某个ID的BUFF和概率	1	40	1	1	1	0	0	0	0	0	0		1
2025	2	目标身上某种类型（大类、二类、三类、增减益）的buff数量>Num5（叠层的BUFF算作1个数量单位），则触发	1	35	1	0	0	0	0	0	0	0	0		1
2026	2	条件1：判断目标身上 num1的BUFF>NUM2层。条件2：判断概率	1	40	1	1	1	0	0	0	0	0	0		1
2027	2	目标有死亡则触发（针对技能的主目标，多人死亡则多次判定）	1	60	1	0	0	0	0	0	0	0	0		1
2028	2	判断目标血量，及BUFFid	1	11	0	40	1	0	0	0	0	0	0		1
2029	2	判断携带者的2个ID 的BUFF层数	1	40	1	40	0	0	0	0	0	0	0		1
2030	2	判断携带者的2个ID 的BUFF层数	1	40	1	40	1	0	0	0	0	0	0		1
2031	2	如果携带者身上某个id=条件参数1_1的buff<=条件参数1_2层，则有条件参数2_1*100%的概率触发	1	40	0	1	1	0	0	0	0	0	0		1
2032	2	目标身上sp>条件参数1则触发	1	34	0	0	0	0	0	0	0	0	0		1
2033	2	如果目标的职业为条件参数1则触发（1、壁垒；2、秘术；3、战士；4、支援）	1	94	1	0	0	0	0	0	0	0	0		1
2034	2	当目标存在目标身上大类=Num1，二类=Num2，三类=Num3，增减益=Num4（填0表示增减益都算入）的buff数量>Num5时触发	1	35	1	0	0	0	0	0	0	0	0		1
2035	2	如果目标在关卡表内的类型为num1	1	104	1	0	0	0	0	0	0	0	0		1
2036	2	如果敌方人数>条件参数1则触发	1	73	1	0	0	0	0	0	0	0	0		1
2037	2	如果敌方人数<=条件参数1则触发	1	73	0	0	0	0	0	0	0	0	0		1
2038	2	如果自己身上某个id的buff>条件参数1_2，并且目标身上大类=Num1，二类=Num2，三类=Num3，增减益=Num4（填0表示增减益都算入）的buff数量>Num5则触发	1	40	1	35	1	0	0	0	0	0	0		1
2039	2	目标身上某种类型（大类、二类、三类、增减益）的buff数量小于等于num5（叠层的BUFF算作1个数量单位），则触发	1	35	0	0	0	0	0	0	0	0	0		1
2040	2	攻击没有暴击	1	72	0	0	0	0	0	0	0	0	0		1
2041	2	当前技能是否为主动释放	1	77	0	0	0	0	0	0	0	0	0		1
2042	2	携带者身上id=参数1_1，的buff层数>参数1_2，并且目标身上的负面BUFF数量>条件参数2_1个	1	40	1	33	1	0	0	0	0	0	0		1
2043	2	造成伤害时，如果目标身上条件参数1_1的buff>条件参数1_2层，条件参数2_1概率触发	11	87	1	1	1	0	0	0	0	0	0		1
3005	1	失去buff时，如果buff的二类=条件1，三类=条件2则触发	50	83	1	0	0	0	0	0	0	0	0		1
3006	1	填入条件参数“2X”，会在X回合后的行动开始时触发	30	75	1	0	0	0	0	0	0	0	0		1
3007	1	填入条件参数“2X-2”，会在X回合后的回合结束时触发	31	75	1	0	0	0	0	0	0	0	0		1
3008	1	行动开始时，如果解体数量<=【参数1】则触发	30	84	0	0	0	0	0	0	0	0	0		1
3012	1	自获得此触发器起计时，每有一方回合结束，计时+1，计时>条件参数1则触发	33	75	1	0	0	0	0	0	0	0	0		1
3013	1	目标身上的DEBUFF超过NUM1个	12	33	1	0	0	0	0	0	0	0	0		1
3015	1	目标的生命大于NUM1	12	11	1	0	0	0	0	0	0	0	0		1
3016	1	目标的生命小于NUM1	12	11	0	0	0	0	0	0	0	0	0		1
3017	1	使用NUM1类型的技能结束时，敌方目标死亡	11	88	1	81	1	60	1	0	0	0	0		1
4001	1	回合结束时，自身sp点小于等于NUM点时	31	85	0	0	0	0	0	0	0	0	0		1
4002	1	回合结束时，自身sp点大于NUM点时	31	85	1	0	0	0	0	0	0	0	0		1
4003	1	暴击时	10	72	1	81	1	0	0	0	0	0	0		1
7001	1	技能结束时，如果技能ID=条件参数1则触发	11	76	1	0	0	0	0	0	0	0	0		1
7002	1	获得某个buff时，如果这个buff的id=条件1则触发	51	42	1	0	0	0	0	0	0	0	0		1
7003	1	获得某个buff时，如果这个buff的id=条件1，跑个概率触发	51	42	1	1	1	0	0	0	0	0	0		1
7004	1	轮次结束时，如果自己身上有某个buff的层数>条件参数1则触发	31	40	1	0	0	0	0	0	0	0	0		1
7005	1	失去某个buff时，如果这个buff的id=条件1则触发	50	42	1	0	0	0	0	0	0	0	0		1
7011	1	通用解体效果触发器（失去某个buff时，如果此buff的二类=条件参数1_1，三类=条件参数1_2，同时触发器携带者身上的剩余解体次数>条件参数2_1，则触发效果）	50	83	1	84	1	0	0	0	0	0	0		1
7012	1	大回合开始时,如果自己的生命值>条件参数1_1则触发	32	12	1	0	0	0	0	0	0	0	0		1
7013	1	大回合开始时，如果自己的解体次数<=x则触发	32	84	0	0	0	0	0	0	0	0	0		1
7014	1	获得BUFF后，如果这个BUFF的ID=条件参数1_1，并且自己身上某个id=条件参数2_1的BUFF的层数>条件参数2_2则触发	51	42	1	40	1	0	0	0	0	0	0		1
7015	1	开始释放技能时，如果此技能id=条件参数1，并且携带者身上某个id=条件2_1的技能的层数>条件参数2_2，则触发	12	76	1	40	1	0	0	0	0	0	0		1
7019	1	轮次结束时，如果自己身上的sp<=条件参数1_1，并且身上id=条件参数2_1的buff层数<=条件参数2_2，则触发	31	85	0	40	0	0	0	0	0	0	0		1
7020	1	开始释放技能时，判断自身num1BUFF<num2层	12	40	0	0	0	0	0	0	0	0	0		1
7021	1	开始释放技能时，判断自身num1BUFF>num2层	12	40	1	0	0	0	0	0	0	0	0		1
7024	1	某指定固定ID的BUFF自然消失时，1.判断BUFFID 2.判断是否自然消失。	50	42	1	41	1	0	0	0	0	0	0		1
7029	1	技能命中时，判断自身身上的BUFF（NUM1）>num2层	10	40	0	0	0	0	0	0	0	0	0		1
7030	1	技能释放开始时，如果技能的id不等于条件参数1_1	12	76	0	0	0	0	0	0	0	0	0		1
7031	1	受到技能hit或治疗效果时如果为进攻技能卡（条件参数1_1）则概率（条件参数2_1）发动	20	88	1	1	0	0	0	0	0	0	0		1
7032	1	失去BUFF时，判断自身是否有某种类型的BUFF是否<X层	50	35	0	0	0	0	0	0	0	0	0		1
7033	1	己方阵营（除开自己）释放sp技能结束时触发	59	86	1	80	1	82	0	0	0	0	0		1
7034	1	技能结束时，如果技能ID=条件参数1，并且目标的血量>条件参数2则触发	11	76	1	0	0	0	0	0	0	0	0		1
7035	1	携带者的护盾被击破时，如果buff的id=条件参数1，则触发	53	42	1	0	0	0	0	0	0	0	0		1
7036	1	释放技能结束时，如果技能类型=条件参数1（1、buff 2、进攻3、DEBUFF4、恢复），并且目标的生命值>条件参数2则触发	11	88	1	11	1	0	0	0	0	0	0		1
7037	1	其他人的技能释放开始时，如果客体阵营=我方，技能类型label=条件参数2，目标的生命值<=num1	56	80	1	88	1	11	0	0	0	0	0		1
7038	1	有角色死亡时，死者阵营=敌方，有60%概率触发	41	81	1	1	1	0	0	0	0	0	0		1
7039	1	技能结束时，如果技能ID=条件参数1，并且目标的血量<=条件参数2则触发	11	76	1	11	0	0	0	0	0	0	0		1
7040	1	大回合开始时，如果自身sp>条件参数1则触发	32	85	1	0	0	0	0	0	0	0	0		1
7041	1	释放技能开始时，如果此技能为sp且自己身上的id=条件参数2_1的buff的叠加层数>条件参数2_2则触发	12	86	1	40	1	0	0	0	0	0	0		1
7042	1	释放技能开始时，如果此技能=sp技，并且目标的生命值<=条件参数2，则触发	12	86	1	11	0	0	0	0	0	0	0		1
7043	1	释放技能开始时，如果目标身上某个id=条件参数1_1的BUFF的层数>条件参数1_2，则触发	12	87	1	0	0	0	0	0	0	0	0		1
7044	1	自己的轮次开始时，如果自己的sp>条件参数1则触发	30	85	1	0	0	0	0	0	0	0	0		1
7045	1	己方阵营（除开自己）释放sp技能结束时触发	59	86	1	80	1	0	0	0	0	0	0		1
7046	1	技能结束后，如果目标身上有某种大类；二类；三类的增减益效果层数>条件参数1_4则概率触发	11	35	1	1	1	0	0	0	0	0	0		1
7047	1	释放技能后，如果技能的id不为条件参数1则触发	11	76	0	0	0	0	0	0	0	0	0		1
7049	1	己方轮次开始时，如果携带者身上有某个类型的效果，并且sp<=条件参数2，概率发动	30	36	1	85	0	1	1	0	0	0	0		1
7050	1	己方轮次开始时，如果携带者身上有某个类型的效果，并且sp>条件参数2，则发动	30	36	1	85	1	0	0	0	0	0	0		1
7051	1	其他人释放技能结束后，技能位置=sp则触发	55	86	1	0	0	0	0	0	0	0	0		1
7052	1	自己的技能释放结束后，概率发动	11	1	1	0	0	0	0	0	0	0	0		1
7053	1	造成hit时，如果技能的id=条件参数1，并且目标身上buff=190000001的层数>0，则触发	10	76	1	87	1	0	0	0	0	0	0		1
7054	1	技能释放开始时，如果技能的id不等于条件参数1_1，并且自己身上携带有某个条件参数2的buff则触发	12	76	0	40	1	0	0	0	0	0	0		1
7055	1	其他人造成hit时（客体施法者）	58	80	1	72	1	0	0	0	0	0	0		1
7056	1	技能开始释放时，如果目标的生命值<=num_1_1，并且技能技能id=num_2_1	12	11	0	76	1	0	0	0	0	0	0		1
7057	1	技能命中时，判断自身的num1id的buff层数	10	40	1	0	0	0	0	0	0	0	0		1
7058	1	任意角色死亡则触发	41	82	0	0	0	0	0	0	0	0	0		1
7059	1	受到技能hit或治疗效果时如果为进攻技能卡（条件参数1_1）则概率（条件参数2_1）发动	20	88	1	1	1	87	1	0	0	0	0		1
7060	1	轮次结束时，如果携带者身上存在【大类=参数1_1，二类=参数1_2，三类=参数1_3，增减益=参数1_4】的Buff数量>参数1_5则触发	31	36	1	0	0	0	0	0	0	0	0		1
7061	1	其他人释放技能结束时，如果技能类型为进攻技能，客体目标为自己则触发	55	88	1	82	1	0	0	0	0	0	0		1
7062	1	技能开始时，如果携带者身上存在【大类=参数1_1，二类=参数1_2，三类=参数1_3，增减益=参数1_4】的Buff数量>参数1_5则触发	12	36	1	0	0	0	0	0	0	0	0		1
7063	1	大回合开始时，跑概率条件参数1_1则触发	32	1	1	0	0	0	0	0	0	0	0		1
7065	1	大回合结束时，如果携带者身上的sp点<=条件参数1_1则触发	33	85	0	0	0	0	0	0	0	0	0		1
7070	1	己方轮次结束时，如果自己的hp>条件参数1_1则触发	31	12	1	0	0	0	0	0	0	0	0		1
7072	1	释放技能结束时，如果目标身上某个id=条件参数1_1的BUFF的层数>条件参数1_2，并且技能是sp则触发	11	87	1	86	1	0	0	0	0	0	0		1
7073	1	大回合结束时，如果携带者身上不存在【大类=参数1_1，二类=参数1_2，三类=参数1_3，增减益=参数1_4】的Buff数量>参数1_5则触发	33	36	0	0	0	0	0	0	0	0	0		1
