id	chapterId	monsteType	type	unlockNum	level	exp	cardExp	plotId	opportunity	proposalLevel	SceneId	rounds	petLineup	roleNun	battleRules	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12150101	101	0	1	0	0	0	0	3006000	0							1	序章	序章	Prologue	Chapter 0	프롤로그	บทนำ	冬日之歌	冬日之歌	Winter's Song	冬の唄	겨울의 노래	บทเพลงฤดูหนาว
12150102	101	0	1	12150101	0	0	0	3006010	0							1	1	1	1	1	1	1	冰雪的邂逅	冰雪的邂逅	A Frozen Encounter	氷雪との邂逅	눈얼음의 만남	พบพานกลางน้ำแข็งและหิมะ
12150103	101	0	1	12150102	0	0	0	3006020	0							1	2	2	2	2	2	2	追踪进行中！	追蹤進行中！	Chase On!	追跡中！	추적 진행 중!	กำลังตามรอย!
12150104	101	1	2	12150103	0	0	0	3006030	1	80000	15001	10	12150103	4	1	1	3	3	3	3	3	3	少女与野兽	少女與野獸	The Girl and the Beast	少女と野獣	소녀와 야수	สาวน้อยกับสัตว์ป่า
12150105	101	0	1	12150104	0	0	0	3006040	0							1	4	4	4	4	4	4	手中失落之物	手中失落之物	The Lost Thing	掌からこぼれ落ちる物	잃어버린 물건	สูญหายไปจากมือ
12150106	101	1	2	12150105	0	0	0	3006050	1	80000	15001	10	12150103	4	1	1	5	5	5	5	5	5	危机初现	危機初現	Danger Emerges	危機の暗流	위기와 첫대면	วิกฤตแรกปรากฏ
12150107	101	0	1	12150106	0	0	0	3006060	0							1	6	6	6	6	6	6	陷入黑暗	陷入黑暗	Shrouded in Darkness	暗闇	어둠 속으로	จมสู่ความมืด
12150108	101	1	2	12150107	0	0	0	3006071;3006073	1	80000	15001	10	12150103	4	1	1	7	7	7	7	7	7	彷徨的心结	彷徨的心結	A Troubled Heart	彷徨う心	방황하는 마음	ปมในใจที่สับสน
12150109	101	0	1	12150108	0	0	0	3006080	0							1	8	8	8	8	8	8	另一种选择	另一種選擇	Another Choice	もう一つの選択	또 하나의 선택	อีกทางเลือกหนึ่ง
12150110	101	0	1	12150109	0	0	0	3006090	0							1	9	9	9	9	9	9	手心的融雪	手心的融雪	Snowmelt in the Hand	融雪	손바닥 위의 눈	หิมะละลายกลางฝ่ามือ
12150111	101	0	1	12150110	0	0	0	3006100	0							1	10	10	10	10	10	10	一瞬之美	一瞬之美	An Ephemeral Beauty	刹那の美	아름다운 순간	ความงามชั่วขณะ
