id	type	fight	regionLevel	unlockNum	baseReward	condition1	condition2	condition3	status
int	int	int	int	int	int	int	int	int	int
101	1	19000	1	0	50	22003;22013;22023;22033;22043;22053;22063;22073;22083;22093;22103;22113;22123;22133;22143;22153;22163;22173;22183;22193;22203;22213;22233;22243;22253;22263;22273;22283;22313;22323;22343;22353	22002;22012;22022;22032;22042;22052;22062;22072;22082;22092;22102;22112;22122;22132;22142;22152;22162;22172;22182;22192;22202;22212;22222;22232;22242;22252;22262;22272;22282;22292;22312;22322;22342;22352	22001;22011;22021;22031;22041;22051;22061;22071;22081;22091;22101;22111;22121;22131;22141;22151;22161;22171;22181;22191;22201;22211;22221;22231;22251;22261;22271;22281;22311;22321;22341;22351	1
102	1	36000	2	1	100	22003;22013;22023;22033;22053;22063;22073;22083;22093;22103;22113;22123;22133;22143;22153;22163;22173;22183;22193;22203;22213;22233;22243;22253;22263;22273;22283;22303;22313;22323;22343;22353	22002;22012;22022;22032;22052;22062;22072;22082;22092;22102;22112;22122;22132;22142;22152;22162;22172;22182;22192;22202;22212;22222;22232;22242;22252;22262;22272;22282;22292;22302;22312;22322;22342;22352	22001;22011;22021;22031;22051;22061;22071;22081;22091;22101;22111;22121;22131;22141;22151;22161;22171;22181;22191;22201;22211;22221;22231;22251;22261;22271;22281;22301;22311;22321;22341;22351	1
103	1	59000	3	2	200	22003;22013;22023;22033;22043;22053;22063;22073;22083;22093;22103;22113;22123;22133;22143;22153;22163;22173;22183;22193;22203;22213;22233;22243;22253;22263;22273;22283;22313;22323;22343;22353	22002;22012;22022;22032;22042;22052;22062;22072;22082;22092;22102;22112;22122;22132;22142;22152;22162;22172;22182;22192;22202;22212;22222;22232;22242;22252;22262;22272;22282;22292;22312;22322;22342;22352	22001;22011;22021;22031;22041;22051;22061;22071;22081;22091;22101;22111;22121;22131;22141;22151;22161;22171;22181;22191;22201;22211;22221;22231;22251;22261;22271;22281;22311;22321;22341;22351	1
104	1	90000	4	3	400	22003;22013;22023;22033;22043;22053;22063;22073;22083;22093;22103;22113;22123;22133;22143;22153;22163;22173;22183;22193;22203;22213;22233;22243;22253;22263;22273;22283;22313;22323;22343;22353	22002;22012;22022;22032;22042;22052;22062;22072;22082;22092;22102;22112;22122;22132;22142;22152;22162;22172;22182;22192;22202;22212;22222;22232;22242;22252;22262;22272;22282;22292;22312;22322;22342;22352	22001;22011;22021;22031;22041;22051;22061;22071;22081;22091;22101;22111;22121;22131;22141;22151;22161;22171;22181;22191;22201;22211;22221;22231;22251;22261;22271;22281;22311;22321;22341;22351	1
105	1	136000	5	4	800	22003;22013;22023;22033;22043;22053;22063;22073;22083;22093;22103;22113;22123;22133;22143;22153;22163;22173;22183;22193;22203;22213;22233;22243;22253;22263;22273;22283;22313;22323;22343;22354	22002;22012;22022;22032;22042;22052;22062;22072;22082;22092;22102;22112;22122;22132;22142;22152;22162;22172;22182;22192;22202;22212;22222;22232;22242;22252;22262;22272;22282;22292;22312;22322;22342;22355	22001;22011;22021;22031;22041;22051;22061;22071;22081;22091;22101;22111;22121;22131;22141;22151;22161;22171;22181;22191;22201;22211;22221;22231;22251;22261;22271;22281;22311;22321;22341	1
106	1	211000	6	5	1600	22003;22013;22023;22033;22043;22053;22063;22073;22083;22093;22103;22113;22123;22133;22143;22153;22163;22173;22183;22193;22203;22213;22233;22243;22253;22263;22273;22283;22313;22323;22343;22353	22002;22012;22022;22032;22042;22052;22062;22072;22082;22092;22102;22112;22122;22132;22142;22152;22162;22172;22182;22192;22202;22212;22222;22232;22242;22252;22262;22272;22282;22292;22312;22322;22342;22352	22001;22011;22021;22031;22041;22051;22061;22071;22081;22091;22101;22111;22121;22131;22141;22151;22161;22171;22181;22191;22201;22211;22221;22231;22251;22261;22271;22281;22311;22321;22341;22351	1
201	2	19000	1	0	50	22003;22013;22023;22033;22043;22053;22063;22073;22083;22093;22103;22113;22123;22133;22143;22153;22163;22173;22183;22193;22203;22213;22233;22243;22253;22263;22273;22283;22313;22323;22343;22353	22002;22012;22022;22032;22042;22052;22062;22072;22082;22092;22102;22112;22122;22132;22142;22152;22162;22172;22182;22192;22202;22212;22222;22232;22242;22252;22262;22272;22282;22292;22312;22322;22342;22352	22001;22011;22021;22031;22041;22051;22061;22071;22081;22091;22101;22111;22121;22131;22141;22151;22161;22171;22181;22191;22201;22211;22221;22231;22251;22261;22271;22281;22311;22321;22341;22351	1
202	2	35000	2	1	100	22003;22013;22023;22033;22043;22053;22063;22073;22083;22093;22103;22113;22123;22133;22143;22153;22163;22173;22183;22193;22203;22213;22233;22243;22253;22263;22273;22283;22313;22323;22343;22353	22002;22012;22022;22032;22042;22052;22062;22072;22082;22092;22102;22112;22122;22132;22142;22152;22162;22172;22182;22192;22202;22212;22222;22232;22242;22252;22262;22272;22282;22292;22312;22322;22342;22352	22001;22011;22021;22031;22041;22051;22061;22071;22081;22091;22101;22111;22121;22131;22141;22151;22161;22171;22181;22191;22201;22211;22221;22231;22251;22261;22271;22281;22311;22321;22341;22351	1
203	2	60000	3	2	200	22003;22013;22023;22033;22053;22063;22073;22083;22093;22103;22113;22123;22133;22143;22153;22163;22173;22183;22193;22203;22213;22233;22243;22253;22263;22273;22283;22303;22313;22323;22343;22353	22002;22012;22022;22032;22052;22062;22072;22082;22092;22102;22112;22122;22132;22142;22152;22162;22172;22182;22192;22202;22212;22222;22232;22242;22252;22262;22272;22282;22292;22302;22312;22322;22342;22352	22001;22011;22021;22031;22051;22061;22071;22081;22091;22101;22111;22121;22131;22141;22151;22161;22171;22181;22191;22201;22211;22221;22231;22251;22261;22271;22281;22301;22311;22321;22341;22351	1
