id	group	pos	pointType	Exp	cardExp	unlockNum	proposalLevel	frequency	costItem	costNum	costNumLose	SceneId	rounds	showMonster	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
221111	101	1	1	0	0	0	0		0	0	0	11401	16	31110021	1
221112	101	2	1	0	0	221111	0		0	0	0	11401	16	31110031	1
221113	101	3	1	0	0	221112	0		0	0	0	11401	16	31110041	1
221114	101	4	1	0	0	221113	0		0	0	0	11401	16	31110021	1
221115	101	5	2	0	0	221114	0		0	0	0	11401	16	31110031	1
221121	102	1	1	0	0	0	0		0	0	0	11401	16	31210061	1
221122	102	2	1	0	0	221121	0		0	0	0	11401	16	31210071	1
221123	102	3	1	0	0	221122	0		0	0	0	11401	16	31210061	1
221124	102	4	1	0	0	221123	0		0	0	0	11401	16	31210071	1
221125	102	5	2	0	0	221124	0		0	0	0	11401	16	31210061	1
221131	103	1	1	0	0	0	0		0	0	0	11401	16	31310231	1
221132	103	2	1	0	0	221131	0		0	0	0	11401	16	31310241	1
221133	103	3	1	0	0	221132	0		0	0	0	11401	16	31310231	1
221134	103	4	1	0	0	221133	0		0	0	0	11401	16	31310241	1
221135	103	5	2	0	0	221134	0		0	0	0	11401	16	31340071	1
221141	104	1	1	0	0	0	0		0	0	0	11401	16	31410101	1
221142	104	2	1	0	0	221141	0		0	0	0	11401	16	31410221	1
221143	104	3	1	0	0	221142	0		0	0	0	11401	16	31410101	1
221144	104	4	1	0	0	221143	0		0	0	0	11401	16	31410221	1
221145	104	5	2	0	0	221144	0		0	0	0	11401	16	31440051	1
221151	105	1	1	0	0	0	0		0	0	0	11401	16	31510051	1
221152	105	2	1	0	0	221151	0		0	0	0	11401	16	31510061	1
221153	105	3	1	0	0	221152	0		0	0	0	11401	16	31510071	1
221154	105	4	1	0	0	221153	0		0	0	0	11401	16	31510091	1
221155	105	5	2	0	0	221154	0		0	0	0	11401	16	31510131	1
221161	106	1	1	0	0	0	0		0	0	0	11401	16	31610171	1
221162	106	2	1	0	0	221161	0		0	0	0	11401	16	31610181	1
221163	106	3	1	0	0	221162	0		0	0	0	11401	16	31610171	1
221164	106	4	1	0	0	221163	0		0	0	0	11401	16	31610181	1
221165	106	5	2	0	0	221164	0		0	0	0	11401	16	31640011	1
221211	201	1	1	0	0	0	0		0	0	0	11401	16	32110061	1
221212	201	2	1	0	0	221211	0		0	0	0	11401	16	32110261	1
221213	201	3	1	0	0	221212	0		0	0	0	11401	16	32110061	1
221214	201	4	1	0	0	221213	0		0	0	0	11401	16	32110261	1
221215	201	5	2	0	0	221214	0		0	0	0	11401	16	32110061	1
221221	202	1	1	0	0	0	0		0	0	0	11401	16	32210111	1
221222	202	2	1	0	0	221221	0		0	0	0	11401	16	32210121	1
221223	202	3	1	0	0	221222	0		0	0	0	11401	16	32210111	1
221224	202	4	1	0	0	221223	0		0	0	0	11401	16	32210121	1
221225	202	5	2	0	0	221224	0		0	0	0	11401	16	32210111	1
221231	203	1	1	0	0	0	0		0	0	0	11401	16	32310101	1
221232	203	2	1	0	0	221231	0		0	0	0	11401	16	32310221	1
221233	203	3	1	0	0	221232	0		0	0	0	11401	16	32310101	1
221234	203	4	1	0	0	221233	0		0	0	0	11401	16	32310221	1
221235	203	5	2	0	0	221234	0		0	0	0	11401	16	32340161	1
221241	204	1	1	0	0	0	0		0	0	0	11401	16	32410071	1
221242	204	2	1	0	0	221241	0		0	0	0	11401	16	32410151	1
221243	204	3	1	0	0	221242	0		0	0	0	11401	16	32410071	1
221244	204	4	1	0	0	221243	0		0	0	0	11401	16	32410151	1
