id	type	unlockPoint	rewardId	rewardNum	exp	status
int	int	int	int	int	int	int
1	3	150	3000002	30		1
2	3	300	3000002	30		1
3	3	450	3000002	30		1
4	3	600	3000002	30		1
5	3	750	3000002	30		1
6	3	900	3000002	30		1
7	3	1050	3000002	30		1
8	3	1200	3000002	30		1
9	3	1350	3000002	30		1
10	3	1500	3000002	30		1
11	3	1650	3000002	50		1
12	3	1800	3000002	50		1
13	3	1950	3000002	50		1
14	3	2100	3000002	50		1
15	3	2250	3000002	50		1
16	3	2400	3000002	50		1
17	3	2550	3000002	50		1
18	3	2700	3000002	50		1
19	3	2850	3000002	50		1
20	3	3000	3000002	50		1
21	3	3150	3000002	50		1
22	3	3300	3000002	50		1
23	3	3450	3000002	50		1
24	3	3600	3000002	50		1
25	3	3750	3000002	50		1
26	3	3900	3000002	50		1
27	3	4050	3000002	50		1
28	3	4200	3000002	50		1
29	3	4350	3000002	50		1
30	3	4500	3000002	50		1
31	3	4650	3000002	50		1
37	1	20	4110001;3000003	5;30000		1
38	1	50	4110001;3000003;4199002	5;100000;5		1
39	1	100	4110001;3000003;4190001	5;50000;100		1
40	1	150	4110001;3000003;4100032	5;150000;1		1
41	1	200	4110001;3000003;3000002	5;200000;50		1
