taskAchId	taskIcon	unlock	unlockParameter	isToday	taskGroup	before	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	point	openType	status	taskTitle	taskTitle_zh_TW	taskTitle_en_UK	taskTitle_ja_JP	taskTitle_ko_KR	taskTitle_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10501	104:task_overview_img_daily_5	4	101110	1	105	0	1403	0	3			40	517	1	完成3个外卖订单	完成3個外賣訂單	Complete 3 delivery orders.	出前を3回完了する	배달 주문 3건 완료	ส่งอาหาร 3 ออเดอร์
10601	104:task_overview_img_daily_6	4	104020	1	106	0	1405	0	1			60	518	1	完成1个离岛空运	完成1個離島空運	Complete 1 Air Express delivery.	離島空便を1回完了する	항공 운송 1건 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
10701	104:task_overview_img_daily_7	4	103110	1	107	0	1101	1	3			60	288	1	通关任意装备副本3次	通關任意裝備副本3次	Complete any Equipment Stage 3 times.	任意の装備ステージを3回クリアする	장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ใด​ก็ได้​ 3​ ครั้ง​
10801	104:task_overview_img_daily_8	4	104110	1	108	0	1103	0	1			60	236	1	通关任意协力战1次	通關任意協力戰1次	Complete any Invasion 1 time.	任意の協同作戦を1回クリアする	협력전 1회 클리어	ผ่าน​ด่าน​ผนึก​กำลัง​ใด​ก็ได้​ 1​ ครั้ง​
10901	104:task_overview_img_daily_10	4	107120	1	109	0	274	0	1			40	212	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
11001	104:task_overview_img_daily_11	4	106070	1	110	0	252	0	3			60	721	1	在天梯竞技场中战斗3场	在天梯競技場中戰鬥3場	Complete 3 battles in the Arena.	アリーナランク戦に3回出場する	래더 아레나에서 전투 3회	ต่อสู้​ใน​สกาย​อารี​น่า​ 3​ ครั้ง​
11101	104:task_overview_img_daily_9	4	109210	1	111	0	1106	0	3			60	722	1	在幻影斗技场中战斗3场	在幻影鬥技場中戰鬥3場	Complete 3 battles in Phantom Clash.	ファントム闘技場に3回出場する	팬텀 투기장에서 전투 3회	ต่อสู้​ใน​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
11201	104:task_overview_img_daily_6	4	101030	1	112	0	7	4199001	1			20	515	1	在餐厅-套餐设置中进行一次快速售卖	在餐廳-套餐設定中進行一次快速售賣	Use the Quick Sell feature via Cafe - Settings.	レストラン＞メニュー設定で即時販売を1回行う	카페테리아-세트 설정에서 빠른 판매 1회 진행	ทำการ​ขาย​ด่วน​หนึ่ง​ครั้ง​ใน​คาเฟ่​-​การ​ตั้งค่า​เซต​เมนู​
11301	104:task_overview_img_daily_1	4	100010	1	113	0	1802	0	1			60	9001	1	用猫眼石兑换一次情绪值	用貓眼石兌換一次情緒值	Exchange Opals for Pathos 1 time.	キャッツアイでエモーションを１回交換する	캣츠아이로 이모션 1회 교환	ใช้​โอ​ปอ​ล​แลก​พา​โธส​ 1​ ครั้ง​
11401	104:task_overview_img_daily_9	4	105030	1	114	0	1118	0	1			40	723	1	参与1次幻影特训场	參與1次幻影特訓場	Battle in Master Duel 1 time.	ファントム特訓に1回参加する	팬텀 특훈장 1회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 1​ ครั้ง​
11501	104:task_overview_img_daily_6	4	101120	1	115	0	1425	0	3			20	515	1	<餐厅>在餐厅接待3名客人	<餐廳>在餐廳接待3名客人	[Cafe] Serve 3 customers in the Cafe.	レストランで顧客を3名接客する	카페테리아에서 손님 3명 접대	[​คาเฟ่​]​ รับ​ลูกค้า​ใน​คาเฟ่​ 3​ คน​
11601	104:task_overview_img_daily_3	4	103110	1	103	0	102	0	1			40	701	1	升级1次装备	升級1次裝備	Upgrade any equipment once.	装備を1回レベルアップする	장비 레벨업 1회	อัปเกรดอุปกรณ์ 1 ครั้ง
