taskAchId	id	taskGroup	after	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
31101	1	311	31102	1201	108008	20	5020211	1	792	108008	1	战斗员升至20级	戰鬥員升至20級	Upgrade this Combatant to Lv. 20.	戦闘員をLv.20にレベルアップする	전투원 20레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 20​
31102	1	311	31103	1201	108008	40	5020212	1	792	108008	1	战斗员升至40级	戰鬥員升至40級	Upgrade this Combatant to Lv. 40.	戦闘員をLv.40にレベルアップする	전투원 40레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 40​
31103	1	311	31104	111	108008	3	5020214	1	794	108008	1	战斗员被动升至3级	戰鬥員被動升至3級	Upgrade this Combatant's Passive to Lv. 3.	戦闘員のパッシブスキルをLv.3にレベルアップする	전투원 패시브 3레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 3​
31104	1	311	31105	1216	108008	5	5020216	1	794	108008	1	战斗员SP技能升至5级	戰鬥員SP技能升至5級	Upgrade this Combatant's Ultimate to Lv.5.	戦闘員のSP技をLv.5にレベルアップする	전투원 SP스킬 5레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 5​
31105	1	311	31106	1201	108008	60	5020213	1	792	108008	1	战斗员升至60级	戰鬥員升至60級	Upgrade this Combatant to Lv. 60.	戦闘員をLv.60にレベルアップする	전투원 60레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 60​
31106	1	311	31107	111	108008	7	5020215	1	794	108008	1	战斗员被动升至7级	戰鬥員被動升至7級	Upgrade this Combatant's Passive to Lv. 7.	戦闘員のパッシブスキルをLv.7にレベルアップする	전투원 패시브 7레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 7​
31107	1	311	31108	1216	108008	10	5020217	1	794	108008	1	战斗员SP技能升至10级	戰鬥員SP技能升至10級	Upgrade this Combatant's Ultimate to Lv. 10.	戦闘員のSP技をLv.10にレベルアップする	전투원 SP스킬 10레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 10​
31108	1	311	31109	110	108008	1	4103001;3000003	20;10000	793	108008	1	战斗员觉醒至1星	戰鬥員覺醒至1星	Awaken this Combatants to 1★.	/	전투원 1★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 1★​
31109	1	311	31110	110	108008	2	4103001;3000003	20;10000	793	108008	1	战斗员觉醒至2星	戰鬥員覺醒至2星	Awaken this Combatants to 2★.	/	전투원 2★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 2★​
31110	1	311	31111	110	108008	3	4103001;3000003	40;20000	793	108008	1	战斗员觉醒至3星	戰鬥員覺醒至3星	Awaken this Combatants to 3★.	/	전투원 3★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 3★​
31111	1	311	31112	110	108008	4	4103001;3000003	40;20000	793	108008	1	战斗员觉醒至4星	戰鬥員覺醒至4星	Awaken this Combatants to 4★.	/	전투원 4★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 4★​
31112	1	311	31113	110	108008	5	4103001;3000003	60;30000	793	108008	1	战斗员觉醒至5星	戰鬥員覺醒至5星	Awaken this Combatants to 5★.	/	전투원 5★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 5★​
