id	type	exp	fristRewards	fristRewardsNum	showItem	showItemNum	revenueRewardsTime	revenueRewardsNum	status
int	int	int	int	int	int	int	int	int	int
610001	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	30;1;60	1;50;1	1
610002	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	29;1;60	0;3;0	1
610003	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	27;1;60	0;3;0	1
610004	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	26;1;60	0;3;0	1
610005	1	0	4190001;4100011;3000019	300;5;2	4190001;4100011;3000019	300;5;2	25;1;60	0;3;0	1
610006	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	24;1;60	0;3;0	1
610007	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	23;1;60	0;3;0	1
610008	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	22;1;60	0;3;0	1
610009	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	21;1;60	0;3;0	1
610010	1	0	4190001;4100011;3000019	300;5;2	4190001;4100011;3000019	300;5;2	21;1;60	0;3;0	1
610011	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	20;1;60	0;3;0	1
610012	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	19;1;60	0;3;0	1
610013	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	19;1;60	0;3;0	1
610014	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	18;1;60	0;3;0	1
610015	1	0	4190001;4100011;3000019	300;5;2	4190001;4100011;3000019	300;5;2	18;1;60	0;3;0	1
610016	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	17;1;60	0;3;0	1
610017	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	17;1;60	0;3;0	1
610018	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	16;1;60	0;3;0	1
610019	1	0	4190001;4100011;3000019	50;5;2	4190001;4100011;3000019	50;5;2	16;1;60	0;3;0	1
610020	1	0	4190001;4100011;3000019	300;5;2	4190001;4100011;3000019	300;5;2	15;1;60	0;3;0	1
610021	1	0	4190001;4100011;3000019	50;15;2	4190001;4100011;3000019	50;15;2	15;1;60	0;3;0	1
610022	1	0	4190001;4100011;3000019	50;15;2	4190001;4100011;3000019	50;15;2	15;1;60	0;3;0	1
610023	1	0	4190001;4100011;3000019	50;15;2	4190001;4100011;3000019	50;15;2	14;1;60	0;3;0	1
610024	1	0	4190001;4100011;3000019	50;15;2	4190001;4100011;3000019	50;15;2	14;1;60	0;3;0	1
610025	1	0	4190001;4100011;3000019	300;15;2	4190001;4100011;3000019	300;15;2	14;1;60	0;3;0	1
610026	1	0	4190001;4100011;3000019	50;15;2	4190001;4100011;3000019	50;15;2	13;1;60	0;3;0	1
610027	1	0	4190001;4100011;3000019	50;15;2	4190001;4100011;3000019	50;15;2	13;1;60	0;3;0	1
610028	1	0	4190001;4100011;3000019	50;15;2	4190001;4100011;3000019	50;15;2	13;1;60	0;3;0	1
610029	1	0	4190001;4100011;3000019	50;15;2	4190001;4100011;3000019	50;15;2	13;1;60	0;3;0	1
610030	1	0	4190001;4100011;3000019	300;15;2	4190001;4100011;3000019	300;15;2	12;1;60	0;3;0	1
610031	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610032	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610033	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610034	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610035	1	0	4190001;4100011;3000019	300;20;2	4190001;4100011;3000019	300;20;2	12;1;60	0;3;0	1
610036	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610037	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610038	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610039	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610040	1	0	4190001;4100011;3000019	300;20;2	4190001;4100011;3000019	300;20;2	12;1;60	0;3;0	1
610041	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610042	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610043	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610044	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610045	1	0	4190001;4100011;3000019	300;20;2	4190001;4100011;3000019	300;20;2	12;1;60	0;3;0	1
610046	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610047	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610048	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610049	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610050	1	0	4190001;4100011;3000019	300;20;2	4190001;4100011;3000019	300;20;2	12;1;60	0;3;0	1
610051	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610052	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610053	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610054	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610055	1	0	4190001;4100011;3000019	300;20;2	4190001;4100011;3000019	300;20;2	12;1;60	0;3;0	1
610056	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610057	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610058	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610059	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;3;0	1
610060	1	0	4190001;4100011;3000019	300;20;2	4190001;4100011;3000019	300;20;2	12;1;60	0;3;0	1
610061	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;1;0	1
610062	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;2;0	1
610063	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;1;0	1
610064	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;2;0	1
610065	1	0	4190001;4100011;3000019	300;20;2	4190001;4100011;3000019	300;20;2	12;1;60	0;1;0	1
610066	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;2;0	1
610067	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;1;0	1
610068	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;2;0	1
610069	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;1;0	1
610070	1	0	4190001;4100011;3000019	300;20;2	4190001;4100011;3000019	300;20;2	12;1;60	0;2;0	1
610071	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;1;0	1
610072	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;2;0	1
610073	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;1;0	1
610074	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;2;0	1
610075	1	0	4190001;4100011;3000019	300;20;2	4190001;4100011;3000019	300;20;2	12;1;60	0;1;0	1
610076	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;2;0	1
610077	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;1;0	1
610078	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;2;0	1
610079	1	0	4190001;4100011;3000019	50;20;2	4190001;4100011;3000019	50;20;2	12;1;60	0;1;0	1
610080	1	0	4190001;4100011;3000019	300;20;2	4190001;4100011;3000019	300;20;2	12;1;60	0;2;0	1
610081	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610082	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610083	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610084	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610085	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610086	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
