id	itemID	rewardNum	stock	weight	groupId	unlockType	unlockId	unlockNum	status
int	int	int	int	int	int	int	int	int	int
101	4102011	1	999	6000	101	1		1	1
102	4102011	2	999	4000	101	1		1	1
103	4102011	3	999	2000	101	1		1	1
104	4102101	3	999	2000	101	1		1	1
105	4102101	4	999	1000	101	1		1	1
106	4102101	5	999	500	101	1		1	1
107	4102102	3	999	1500	101	1		1	1
108	4102201	3	999	2000	101	1		1	1
109	4102201	4	999	1000	101	1		1	1
110	4102201	5	999	500	101	1		1	1
111	4102202	3	999	1500	101	1		1	1
112	4102301	3	999	2000	101	1		1	1
113	4102301	4	999	1000	101	1		1	1
114	4102301	5	999	500	101	1		1	1
115	4102302	3	999	1500	101	1		1	1
116	3000002	10	999	3000	101	1		1	1
201	4102011	1	999	1000	201	1		1	1
202	4102011	2	999	1000	201	1		1	1
203	4102011	3	999	1000	201	1		1	1
204	4102021	1	999	3000	201	1		1	1
205	4102021	2	999	3000	201	1		1	1
206	4102101	3	999	500	201	1		1	1
207	4102101	4	999	300	201	1		1	1
208	4102101	5	999	200	201	1		1	1
209	4102102	1	999	1000	201	1		1	1
210	4102102	2	999	500	201	1		1	1
211	4102103	1	999	2000	201	1		1	1
212	4102104	1	999	500	201	1		1	1
213	4102201	3	999	500	201	1		1	1
214	4102201	4	999	300	201	1		1	1
215	4102201	5	999	200	201	1		1	1
216	4102202	1	999	1000	201	1		1	1
217	4102202	2	999	500	201	1		1	1
218	4102203	1	999	2000	201	1		1	1
219	4102204	1	999	500	201	1		1	1
220	4102301	3	999	500	201	1		1	1
221	4102301	4	999	300	201	1		1	1
222	4102301	5	999	200	201	1		1	1
223	4102302	1	999	1000	201	1		1	1
224	4102302	2	999	500	201	1		1	1
225	4102303	1	999	2000	201	1		1	1
226	4102304	1	999	500	201	1		1	1
227	4100032	1	999	3000	201	1		1	1
228	3000002	10	999	3000	201	1		1	1
301	4102011	1	999	1000	301	1		1	1
302	4102011	2	999	1000	301	1		1	1
303	4102011	3	999	1000	301	1		1	1
304	4102021	1	999	1500	301	1		1	1
305	4102021	2	999	1500	301	1		1	1
306	4102031	1	999	3000	301	1		1	1
307	4102101	3	999	500	301	1		1	1
308	4102101	4	999	300	301	1		1	1
309	4102101	5	999	200	301	1		1	1
310	4102102	1	999	1000	301	1		1	1
311	4102102	2	999	500	301	1		1	1
312	4102103	1	999	1000	301	1		1	1
313	4102104	1	999	1000	301	1		1	1
314	4102105	1	999	500	301	1		1	1
315	4102201	3	999	500	301	1		1	1
316	4102201	4	999	300	301	1		1	1
317	4102201	5	999	200	301	1		1	1
318	4102202	1	999	1000	301	1		1	1
319	4102202	2	999	500	301	1		1	1
320	4102203	1	999	1000	301	1		1	1
321	4102204	1	999	1000	301	1		1	1
322	4102205	1	999	500	301	1		1	1
323	4102301	3	999	500	301	1		1	1
324	4102301	4	999	300	301	1		1	1
325	4102301	5	999	200	301	1		1	1
326	4102302	1	999	1000	301	1		1	1
327	4102302	2	999	500	301	1		1	1
328	4102303	1	999	1000	301	1		1	1
329	4102304	1	999	1000	301	1		1	1
330	4102305	1	999	500	301	1		1	1
331	4100032	1	999	3000	301	1		1	1
332	3000002	10	999	3000	301	1		1	1
