id	group	reward	rewardNum	number	weight	type	status
int	int	int	int	int	int	int	int
101	1	4190001	1000		100	1	1
102	1	4190001	500		100	2	1
103	1	3000002	500		100	3	1
104	1	4190001	100		100	4	1
105	1	3000002	50		100	4	1
106	1	4100011	20		100	4	1
107	1	5100001	2		100	4	1
108	1	4100032	10		100	4	1
109	1	4102031	1		100	4	1
110	1	3000018	60		100	4	1
111	1	4199001	5		100	5	1
112	1	3000002	20		100	5	1
113	1	4100023	2		100	5	1
114	1	4102021	2		100	5	1
115	1	3000003	30000		100	5	1
116	1	4101002	10		100	5	1
201	2	4190001	1000		100	1	1
202	2	4190001	500		100	2	1
203	2	3000002	500		100	3	1
204	2	4190001	100		100	4	1
205	2	3000002	50		100	4	1
206	2	4100011	20		100	4	1
207	2	5100001	2		100	4	1
208	2	4100032	10		100	4	1
209	2	4102031	1		100	4	1
210	2	3000018	60		100	4	1
211	2	4199001	5		100	5	1
212	2	3000002	20		100	5	1
213	2	4100023	2		100	5	1
214	2	4102021	2		100	5	1
215	2	3000003	30000		100	5	1
216	2	4101002	10		100	5	1
