id	SceneId	rounds	roleNun	proposalLevel	powerRatioTeamID	damageTotal	status
int	int	int	int	int	int	int	int
50001	15801	10	5	21000	11	1	1
50011	13301	10	5	21000	11	1	1
50031	10901	10	5	21000	11	1	1
50002	17002	10	5	21000	11	1	1
50041	20502	10	5	21000	11	1	1
50051	14001	10	5	21000	11	1	1
50061	18501	10	5	21000	11	1	1
51001	15801	10	5	21000	11	1	1
51011	13301	10	5	21000	11	1	1
51031	10901	10	5	21000	11	1	1
51002	17002	10	5	21000	11	1	1
51041	20502	10	5	21000	11	1	1
51051	14001	10	5	21000	11	1	1
52001	15801	10	5	21000	11	1	1
52011	13301	10	5	21000	11	1	1
52031	10901	10	5	21000	11	1	1
52002	17002	10	5	21000	11	1	1
52041	20502	10	5	21000	11	1	1
52051	14001	10	5	21000	11	1	1
50099	14805	10	5	21000	11	1	1
