Id	Value
int	int
1afcbd0c9a6f146a	이벤트 화폐가 충분하여 교환할 필요 없습니다
fea906f6afdd283c	방향이 변경되었습니다
4692484061368efb	상품이 품절되었습니다
00d9c1574ca5a1cd	현 단계의 블라인드 박스 내 한정 보상 수령 후 해제
c4496bf4dc6d09ac	해당 소환 미해제
c5bdbf338bfc4c26	_name_ 부족
cc97b08c5829e89e	현 단계의 블라인드 박스 내 남은 보상 수량 부족
5a4f10c2b30de818	잔여: _num_
db66ef711f72f234	재고 무한
5ba75d3855a174e0	이벤트 종료
5e232a858bbef113	종료
6bfd314a3cb8ebff	보상 수령 완료
7d9a0c399fd34ba5	수령 시간 미도달
94f0299e1ec1d332	활약도 부족
4bf36b1237dad17b	임의 금액 충전 1회 후, 일반 선물상자가 <color=#e71f55>_name_</color>로 업그레이드됩니다. 충전하시겠습니까?
54fff1ddf58c40d4	프리미엄 선물상자
b1aed6448739f0b6	수령 완료
e00e5870fae66ac2	수령
ff6a1bc1a261b7a6	_time_ 후 수령
236780ce7a19f207	_time_ 수령
c8780cdc5d2be223	입사 미션
d68067ad40041133	입사 도전
00103633030cdd78	입사 패키지
a83aec9dcef392dc	초보자 혜택
c276dcbe634741dd	더 많은 혜택
869b62aa702aecca	임관 성취
64bcee142cdbf677	/
563c8caab4b26b50	동메달 랭킹
dc0bec84f5ecb159	은메달 랭킹
0dd34aeb2f2ee65a	금메달 랭킹
c7c65e2ecdc0b5fb	오픈하지 않았습니다
c0c977afa457972a	보상 수령 완료
1531bbdb028b4cbe	수령 조건 미도달
04bb7b7f2892ea6f	우측 미션을 완료하면, 비밀 사진이 해제됩니다
939e8a3cd460bfc7	매일 5:00 초기화
65fc3b899ea8747f	상품 미해제
2aa3299c08a2765e	현재 수령 불가
a1f5acc2fac74a13	이동
037794e0bb6bac3c	금일 재고:
890c6c6e27b68c25	재고:
f7d3881924a99546	도전 완료
819d7f58c5d0e19b	도전 미오픈
4f56d23fe4ac28e6	종료까지 남은 시간 _num_
d608bcabf2416833	포인트 부족
c2d7b6a7dd23d1d4	도전 횟수 부족
8117e0e3786b414b	포인트_num_달성
a4b39e42943ceba9	_name_해제
b9540d6b2252a177	이벤트가 없습니다
5db4a8381af27ac5	_card_name_ 카드를 응원하시겠습니까? 확인하시면 이벤트 기간 내에 변경할 수 없습니다
1aa50aa0246839f8	랭킹%s 보상
b7e69ac635034754	최종 승리 보상
3769be899f3e7ad1	이미 원하시는 캐릭터를 선택하셨습니다.
49a5899e4a25a532	아이템 없음
0fe9b96a9b62a84b	수령 가능한 보상 없음
00a873cf1db70744	수령 불가
6996d9b5e46d3d3f	해당 조합에 충돌하는 [제한]이 존재합니다
726757eee1701026	[제한]을 최소 1개 선택해주세요
8ed4ac0470d5e567	현재 조합에 해제되지 않은 [제한]이 존재하여, 선택할 수 없습니다
c85be1d1798f1c7c	현재까지 최고 기록 _num_
e974b255da47d1f9	일반 괴담
ff80ae864034f722	전설급 괴담
f5771d1e19ebfae8	사건 시작 시간이
7f9fe599c5bc993b	괴담 사건 <color=#ff1baf>[_levelName_]</color>에서 완료한 괴담 프로파일: <color=#ff1baf>_desc_</color>
d6c9ef4a6cf0c0e4	목표한 사건 오픈 시간이 되지 않았습니다
48aa74e47138285c	사전에 지정된 [제한]을 선택하지 않았습니다
071a29620787c43c	해당 사건은 아직 시작할 시간이 아닙니다
eeb6c2b1235d298c	_num_ 후 시작
e7170fb195908932	이벤트 스토리 _name_완료 후 해제
90b081f46864637d	<size=30><color=#545454>_num1_</color></size>/_num2_
8acc381fcdcd79b2	현재 이벤트 기간이 아닙니다
bd05df11974f1dbf	이벤트 시작까지 남은 시간: _time_
9bd2512938646449	현재_name_도전 없음
2fd27bf6d1cfa03e	선택한 지역 <color=#e71f55>name</color>에서 기록된 <color=#e71f55>text</color>을 기준으로
feb53a2171098373	최고 피해 기준으로 보상 수령
81f433a96a9d2b81	보상 수령 후 초기화 전까지 다른 지역 보상은 획득할 수 없습니다
5e7cffc7ba5a1d2d	이미 보상을 수령하여 더 이상 도전할 수 없습니다
3394cd672d87cdc5	이벤트 종료됨
3eaddf6b1d1f249d	보유:
c5ca98b711e44ecd	사전 실행 스테이지 _name_를 먼저 클리어하셔야 합니다
c371c455f8603b95	오픈까지: _num_
