id	name	var	cameraState	path	moduleTag	back	home	resources	bgm	backAni	goods	status	descr	descr_zh_TW	descr_en_UK	descr_ja_JP	descr_ko_KR	descr_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	debugger	Debugger		Prefabs/DebuggerWindow.prefab		0	0	0	0	1		1						
2	开发启动器	OpenWaitingUI		Prefabs/DevLaunchPad.prefab		0	0	0	0	1		1						
4	章节城市选择页面对话框	CityChapterUI		Prefabs/BattleUI/Chapter/UIBattleChapter.prefab		1	1	0	0	1		1						
5	战斗前的区域选择页面对话框	UIBattlePrepare		Prefabs/BattleUI/Chapter/UIBattleQuestPrepare.prefab		1	1	0	0	1		1						
6	主界面对应的场景	UISceneHome		Scenes/HomeScene.unity		1	1	0	0	1		2						
7	战前选择界面	UISceneBattleMapPrepare		Prefabs/BattleUI/BattleEntryRoot.prefab		1	1	1	0	1		1						
8	编队界面	TeamDialog	2	Prefabs/BattleUI/TeamDialog.prefab		1	1	1	0	1		1						
13	游戏更新检测的逻页面	LoginDialog	2	Prefabs/GameInit.prefab		0	0	0	0	1		1						
12	游戏分包更新界面	QuestTaskDetailDialog	2	Prefabs/GameStart/GameStart.prefab		0	0	0	0	0		1						
15	登录注册页面	PassportDialog	2	Prefabs/PassportDialog.prefab		0	0	0	0	1		1						
16	进入游建立角色弹出框	GameCreateRole	1	Prefabs/CreateRoleNew/CreateRoleNew.prefab		0	0	0	0	1		1						
17	章节结算	ChapterResultDialog	1	Prefabs/BattleUI/ChapterResultDialog.prefab		0	0	0	0	1		1						
19	战斗中界面	BattleDialog	1	Prefabs/BattleUI/BattleDialog.prefab		0	0	0	0	1		1						
20	编队角色选择界面	ChoiceCards	2	Prefabs/BattleUI/ChoiceCards.prefab		1	1	0	0	1		1						
21	战斗编队选择界面	UIBattleTeamDialog	2	Prefabs/BattleUI/UIBattleTeamDialog.prefab		1	1	1	0	1		1						
23	商城界面	ShopDialog	2	Prefabs/Shops/ShopDiaLog.prefab		1	1	1	0	1		1						
24	筛选界面	ScreenPanel	2	Prefabs/BattleUI/ScreenPanel.prefab		1	1	0	0	1		1						
25	邮箱界面	MailBox	2	Prefabs/MailBox/MailBox.prefab	邮件	1	1	0	0	1		1	邮件	郵件	Mail	メール	우편	อีเมล
27	队伍占领界面	CapturePanel		Prefabs/BattleUI/CapturePanel.prefab		0	0	0	0	1		1						
28	抽卡界面	DrawCard		Prefabs/Draw/DrawCardDialog.prefab		1	1	1	0	1		1						
29	卡牌详情界面	CardDetails		Prefabs/Draw/CardDetailsDialog.prefab		1	1	0	0	1		1						
30	卡牌展示界面	CardShow		Prefabs/Draw/CardShowDialog.prefab		1	1	0	0	1		1						
32	公告页面	UINoticeDialog	3	Prefabs/Notice/NoticeDialog.prefab		0	0	0	0	1		3						
33	社区窗口页面	CommunityDialog		Prefabs/Notice/CommunityDialog.prefab		0	0	0	0	1		3						
100	通用道具不足界面	CommonLackMaterialDialog	3	Prefabs/Common/CommonLackMaterial.prefab		0	0	0	0	1		1						
99	养成2d立绘	Cultivate2dDrawingDialog	2	Prefabs/Cultivate/CultivatePreviewDialog.prefab		0	0	0	0	1		1						
101	养成入口对话框	CultivateEntry	1	Prefabs/CultivateOversea/CultivateOverseaCardsEntry.prefab	战斗员	1	1	0	0	0		1	战斗员	戰鬥員	Combatant	戦闘員	전투원	ตัวละคร
102	养成人物页面	CultivateMain	1	Prefabs/CultivateOversea/CultivateOverseaMainDialog.prefab	培养	1	1	0	0	0		1	培养	培養	Combatant	強化	육성	พัฒนา
103	主界面对应的第一层ui界面	UIHomeView	1	Prefabs/Cultivate/UIHomeView.prefab		0	0	1	0	1		1						
104	第三方卡牌展示界面	CardPreviewThirdPartyDialog	1	Prefabs/CultivateOversea/CultivateOverseaPreviewThirdParty.prefab		1	1	0	0	1		1						
105	卡牌猫种介绍界面	CardCatTypePreviewDialog	1	Prefabs/IllustratedHandbook/IllustratedHandbookCatDetailsDialog.prefab		1	1	0	0	1		1						
108	猫球介绍界面	CatBallPreviewDialog	1	Prefabs/IllustratedHandbook/IllustbookCatballSkillDialog.prefab		1	1	0	0	1		1						
106	装备主界面容器	UICultivateEquipMainDialog		Prefabs/Cultivate/UICultivateEquipMainDialog.prefab		1	1	0	0	1		1						
107	装备主界面套装筛选弹出窗口	UICultivateEquipSuitFilterDialog		Prefabs/Cultivate/UICultivateEquipSuitFilterDialog.prefab		0	0	0	0	1		1						
109	装备自定义套装界面	UICultivateEquipDiySuitDialog		Prefabs/Cultivate/UICultivateEquipDiySuitDialog.prefab		1	1	0	0	1		1						
110	装备替换提示弹窗	UICultivateEquipReplaceTipDialog		Prefabs/Cultivate/UICultivateEquipReplaceTipDialog.prefab		0	0	0	0	1		1						
111	装备养成升级界面	UICultivateEquipUpgradeLevelDialog		Prefabs/Cultivate/UICultivateEquipUpgradeLevelDialog.prefab		1	1	1	0	1		1						
112	养成观察人物弹窗	UICultivateObserveDialog		Prefabs/CultivateOversea/CultivateOverseaObserveDialog.prefab		1	1	0	0	0		1						
113	养成卡牌列表	UICultivateArmedForcesListDialog		Prefabs/Cultivate/CultivateArmedForcesList.prefab		0	0	0	0	0		1						
114	装备养成套装编辑弹窗	UICultivateEquipDiySuitEditDialog		Prefabs/Cultivate/UICultivateEquipDiySuitEditDialog.prefab		0	0	0	0	1		1						
115	养成升级成功弹窗	UICultivateLevelUpFinishDialog		Prefabs/Cultivate/CultivateLevelUpSecondConfirmPanel.prefab		0	0	0	0	1		1						
116	升级打脸	UICultivatePlayerUpgradeDialog	2	Prefabs/Common/PlayerUpgradeDialog.prefab		0	0	0	0	1		1						
117	功能解锁页面	CommonFunctionUnlockDialog		Prefabs/Common/CommonFunctionUnlockDialog.prefab		0	0	0	0	1		1						
118	卡牌展示	CommonCardDisplayDialog		Prefabs/Share/Share.prefab		0	0	0	0	1		1						
119	共鸣节点编辑	UICultivateResonanceDialog		Prefabs/Cultivate/CultivateResonanceDialog.prefab		1	1	0	0	1		1						
120	背包	Backpack	2	Prefabs/Backpack/Backpack.prefab	仓库	1	1	0	bgm_city	1		1	仓库	倉庫	Inventory	倉庫	창고	โกดัง
131	出售面板	BackpackPopupDialog	3	Prefabs/Backpack/BackpackPropSalePopup.prefab		1	1	1	0	1		1						
