id	name	desc	path	atlasTag	status
int	int	int	int	int	int
1	FriendPromptDialog	好友PVP的提示	Prefabs/Friend/FriendPromptDialog.prefab	friend	1
2	FriendReadyDialog	好友PVP加载界面	Prefabs/Friend/FriendReadyDialog.prefab	congratulation;playerupgrade;friend	1
3	LoadingPanel	加载界面	Prefabs/Common/LoadingPanel.prefab	loading	1
4	LoginLoadingPanel	登录加载界面	Prefabs/LoginLoadingPanel.prefab	loading	1
5	CultivateIntelligence	养成情报	Prefabs/Cultivate/CultivateIntelligence.prefab	gachapon_entry;cultivate_main	1
6	CultivateAwakening	养成技能	Prefabs/Cultivate/CultivateAwakening.prefab	cultivate_main;cultivate_attributeicon	1
7	CultivateEquipInfoNode	养成涂鸦(装备)	Prefabs/Cultivate/CultivateEquipInfoNode.prefab	cultivate_equip;cultivate_main	1
8	CultivateResonance	养成共鸣(天赋)	Prefabs/Cultivate/CultivateResonance.prefab	cultivate_resonance;cultivate_equip;gachapon_entry	1
9	CultivateStyle	养成风格	Prefabs/Cultivate/CultivateStyle.prefab	cultivate_main	1
10	UICultivateStarTeamRatingDialog	团队评级提升	Prefabs/Cultivate/UICultivateStarTeamRatingDialog.prefab	cultivate_main	1
11	CultivateCardSkillUpgradeSuccessDialog	卡牌觉醒提升	Prefabs/Cultivate/CultivateCardSkillUpgradeSuccessDialog.prefab	cultivate_main;cultivate_attributeicon	1
12	UICultivateEquipLevelUpSuccessDialog	装备等级提升	Prefabs/Cultivate/UICultivateEquipLevelUpSuccessDialog.prefab	cultivate_main;cultivate_equip	1
13	UpgradeFinishDialog	卡牌星级提升	Prefabs/Cultivate/UpgradeFinishDialog.prefab	cultivate_main	1
14	UICultivateCookingGetDialog	料理恭喜获得	Prefabs/Cultivate/UICultivateCookingGetDialog.prefab	maininteraction	1
15	FishPoolLevelUpDialog	钓鱼等级提升	Prefabs/Cultivate/FishPoolLevelUpDialog.prefab	fishpool	1
16	CultivateTalentSmallNode1	卡牌天赋小节点1	Prefabs/Cultivate/CultivateTalentSmallNode1.prefab	cultivate_resonance	1
17	CultivateTalentSmallNode2	卡牌天赋小节点2	Prefabs/Cultivate/CultivateTalentSmallNode2.prefab	cultivate_resonance	1
18	CultivateTalentSmallNode3	卡牌天赋小节点3	Prefabs/Cultivate/CultivateTalentSmallNode3.prefab	cultivate_resonance	1
19	CultivateTalentSmallNode4	卡牌天赋小节点4	Prefabs/Cultivate/CultivateTalentSmallNode4.prefab	cultivate_resonance	1
20	CultivateTalentBigNode1	卡牌天赋大节点1	Prefabs/Cultivate/CultivateTalentBigNode1.prefab	cultivate_resonance	1
21	CultivateTalentBigNode2	卡牌天赋大节点2	Prefabs/Cultivate/CultivateTalentBigNode2.prefab	cultivate_resonance	1
22	CultivateTalentBigNode3	卡牌天赋大节点3	Prefabs/Cultivate/CultivateTalentBigNode3.prefab	cultivate_resonance	1
23	CultivateTalentBigNode4	卡牌天赋大节点4	Prefabs/Cultivate/CultivateTalentBigNode4.prefab	cultivate_resonance	1
24	CultivateResonancePanel	卡牌天赋面板	Prefabs/Cultivate/CultivateResonancePanel.prefab	cultivate_resonance;cultivate_equip;gachapon_entry	1
25	UISystemGuideDialog	系统引导界面	Prefabs/Guide/UISystemGuideDialog.prefab	gameplayguide	1
26	CommonCardSkillDesc	技能描述界面	Prefabs/Common/CommonCardSkillDesc.prefab	cultivate_main;cultivate_attributeicon	1
27	CatHouseTipsNode	猫屋 提示界面	Prefabs/CatHouse/CatHouseTipsNode.prefab	cathouse_common;cathouse_interaction;cathouse_cultivation	1
28	UICultivateEquipComparedView	养成装备对比界面	Prefabs/Cultivate/UICultivateEquipComparedView.prefab	cultivate_equip	1
29	EquipDiySuitTips	养成装备自定义套装提示界面	Prefabs/Cultivate/EquipDiySuitTips.prefab	cultivate_equip	1
30	UICultivateEquipIntroductionTipsBoard	养成装备简介提示界面	Prefabs/Cultivate/UICultivateEquipIntroductionTipsBoard.prefab	cultivate_equip	1
31	CardAwakeningDesc	养成技能详情界面	Prefabs/Cultivate/CardAwakeningDesc.prefab	cultivate_main;cultivate_attributeicon	1
32	UISystemGuideTipsBoard	系统引导对话提示界面	Prefabs/Guide/UISystemGuideTipsBoard.prefab	gameplayguide	1
33	QuestionnairePanel	问卷活动页	Prefabs/Activity/QuestionnairePanel.prefab	bamboo_bamboomain;gachapon_entry	1
34	SignPanel	签到活动页	Prefabs/Activity/SignPanel.prefab	activity;gachapon_entry	1
35	AccumulatedRechargePanel	累充活动页	Prefabs/Activity/AccumulatedRechargePanel.prefab	activity;gachapon_entry	1
36	TimeLimitedTaskPanel	限时任务页	Prefabs/Activity/LimitedTimeEventPanel.prefab	gachapon_entry	1
37	PVPPlayerReadyDialog	风暴巅峰战斗准备界面	Prefabs/PVP/PVPPlayerReadyDialog.prefab	pvp_pvpplayerready;pvp_pvpcommon	1
