Id,Name,Type,RecoverTime,Max,MaxLimit,BuyRefresh,BuyCounts,BuyQuantity,BuyCurrency,Price,ReserveTicket,ReserveTime,ReserveLimit
1001,ticket_name_1001,1,0,0,5,1,5,1,1000002,"10,15,20,25,30",0,0,0
1002,ticket_name_1002,4,0,5,5,3,5,1,2,"0,100,200,300,400",0,0,0
1003,ticket_name_1003,3,300,240,99999,1,10,100,1000002,"50,50,50,100,100,100,100,150,150,150",1000016,480,1000
1004,ticket_name_1004,1,0,5,5,1,5,1,1,"400,400,400",0,0,0
1005,ticket_name_1005,1,0,999,1,0,-1,0,2,100,0,0,0
1006,ticket_name_1006,1,0,3,3,0,-1,0,2,100,0,0,0
1007,ticket_name_1007,1,0,1,1,0,-1,0,2,100,0,0,0
1008,ticket_name_1008,3,7200,12,10,1,10,1,1000002,20,0,0,0
1009,ticket_name_1009,1,0,10,10,1,10,1,1000002,"10,10,10,20,20,20,50,50,50,50",0,0,0
1010,ticket_name_1010,1,0,2,1,0,-1,0,2,100,0,0,0
