Id,LevelUp,LevelupCost,AttrIndex
3,1,"1006250,7;1000003,3100","100001,67;100002,8;100003,4;100004,34"
3,2,"1006250,7;1000003,3150","100001,100;100002,13;100003,6;100004,50"
3,3,"1006250,7;1000003,3150","100001,133;100002,17;100003,8;100004,67"
3,4,"1006250,7;1000003,3200","100001,166;100002,21;100003,10;100004,83"
3,5,"1006250,7;1000003,3250","100001,199;100002,25;100003,12;100004,99"
3,6,"1006250,7;1000003,3300","100001,232;100002,29;100003,14;100004,116"
3,7,"1006250,8;1000003,3300","100001,265;100002,33;100003,17;100004,132"
3,8,"1006250,8;1000003,3350","100001,298;100002,37;100003,19;100004,149"
3,9,"1006250,8;1000003,3350","100001,331;100002,41;100003,21;100004,165"
3,10,"1006250,9;1000003,3800","100001,363;100002,45;100003,23;100004,182"
3,11,"1006250,9;1000003,3850","100001,396;100002,50;100003,25;100004,198"
3,12,"1006250,9;1000003,3950","100001,429;100002,54;100003,27;100004,215"
3,13,"1006250,9;1000003,4000","100001,462;100002,58;100003,29;100004,231"
3,14,"1006250,9;1000003,4050","100001,495;100002,62;100003,31;100004,248"
3,15,"1006250,9;1000003,4100","100001,528;100002,66;100003,33;100004,264"
3,16,"1006250,9;1000003,4150","100001,561;100002,70;100003,35;100004,280"
3,17,"1006250,10;1000003,4250","100001,594;100002,74;100003,37;100004,297"
3,18,"1006250,10;1000003,4300","100001,627;100002,78;100003,39;100004,313"
3,19,"1006250,10;1000003,4350","100001,660;100002,82;100003,41;100004,330"
3,20,"1006251,7;1006253,14;1000003,6600","100001,693;100002,87;100003,43;100004,346"
3,21,"1006251,8;1000003,6650","100001,725;100002,91;100003,45;100004,363"
3,22,"1006251,8;1000003,6750","100001,758;100002,95;100003,47;100004,379"
3,23,"1006251,8;1000003,6850","100001,791;100002,99;100003,49;100004,396"
3,24,"1006251,8;1000003,6950","100001,824;100002,103;100003,52;100004,412"
3,25,"1006251,8;1000003,7050","100001,857;100002,107;100003,54;100004,429"
3,26,"1006251,8;1000003,7100","100001,890;100002,111;100003,56;100004,445"
3,27,"1006251,8;1000003,7200","100001,923;100002,115;100003,58;100004,461"
3,28,"1006251,8;1000003,7300","100001,956;100002,119;100003,60;100004,478"
3,29,"1006251,8;1000003,7400","100001,989;100002,124;100003,62;100004,494"
3,30,"1006251,17;1006253,14;1000003,14550","100001,1022;100002,128;100003,64;100004,511"
3,31,"1006251,17;1000003,14700","100001,1055;100002,132;100003,66;100004,527"
3,32,"1006251,17;1000003,14800","100001,1088;100002,136;100003,68;100004,544"
3,33,"1006251,17;1000003,14950","100001,1120;100002,140;100003,70;100004,560"
3,34,"1006251,17;1000003,15050","100001,1153;100002,144;100003,72;100004,577"
3,35,"1006251,17;1000003,15200","100001,1186;100002,148;100003,74;100004,593"
3,36,"1006251,17;1000003,15300","100001,1219;100002,152;100003,76;100004,610"
3,37,"1006251,18;1000003,15400","100001,1252;100002,157;100003,78;100004,626"
3,38,"1006251,18;1000003,15550","100001,1285;100002,161;100003,80;100004,643"
3,39,"1006251,18;1000003,15650","100001,1318;100002,165;100003,82;100004,659"
3,40,"1006252,16;1006253,14;1000003,28350","100001,1351;100002,169;100003,84;100004,675"
3,41,"1006252,16;1000003,28500","100001,1384;100002,173;100003,86;100004,692"
3,42,"1006252,16;1000003,28650","100001,1417;100002,177;100003,89;100004,708"
3,43,"1006252,16;1000003,28800","100001,1450;100002,181;100003,91;100004,725"
3,44,"1006252,17;1000003,28950","100001,1483;100002,185;100003,93;100004,741"
3,45,"1006252,17;1000003,29100","100001,1515;100002,189;100003,95;100004,758"
3,46,"1006252,17;1000003,29250","100001,1548;100002,194;100003,97;100004,774"
3,47,"1006252,17;1000003,29450","100001,1581;100002,198;100003,99;100004,791"
3,48,"1006252,17;1000003,29550","100001,1614;100002,202;100003,101;100004,807"
3,49,"1006252,17;1000003,29700","100001,1647;100002,206;100003,103;100004,824"
3,50,"1006252,17;1000003,29700","100001,1680;100002,210;100003,105;100004,840"
4,1,"1006250,9;1000003,3750","100001,77;100002,10;100003,5;100004,38"
4,2,"1006250,9;1000003,3800","100001,114;100002,14;100003,7;100004,57"
4,3,"1006250,9;1000003,3800","100001,152;100002,19;100003,10;100004,76"
4,4,"1006250,9;1000003,3850","100001,190;100002,24;100003,12;100004,95"
4,5,"1006250,9;1000003,3900","100001,227;100002,28;100003,14;100004,114"
4,6,"1006250,9;1000003,3950","100001,265;100002,33;100003,17;100004,132"
4,7,"1006250,9;1000003,4000","100001,302;100002,38;100003,19;100004,151"
4,8,"1006250,9;1000003,4050","100001,340;100002,43;100003,21;100004,170"
4,9,"1006250,9;1000003,4050","100001,378;100002,47;100003,24;100004,189"
4,10,"1006250,10;1000003,4550","100001,415;100002,52;100003,26;100004,208"
4,11,"1006250,11;1000003,4650","100001,453;100002,57;100003,28;100004,226"
4,12,"1006250,11;1000003,4750","100001,491;100002,61;100003,31;100004,245"
4,13,"1006250,11;1000003,4800","100001,528;100002,66;100003,33;100004,264"
4,14,"1006250,11;1000003,4850","100001,566;100002,71;100003,35;100004,283"
4,15,"1006250,11;1000003,4950","100001,603;100002,75;100003,38;100004,302"
4,16,"1006250,11;1000003,5000","100001,641;100002,80;100003,40;100004,321"
4,17,"1006250,12;1000003,5100","100001,679;100002,85;100003,42;100004,339"
4,18,"1006250,12;1000003,5150","100001,716;100002,90;100003,45;100004,358"
4,19,"1006250,12;1000003,5250","100001,754;100002,94;100003,47;100004,377"
4,20,"1006251,9;1006253,17;1000003,7950","100001,792;100002,99;100003,49;100004,396"
4,21,"1006251,9;1000003,8000","100001,829;100002,104;100003,52;100004,415"
4,22,"1006251,9;1000003,8150","100001,867;100002,108;100003,54;100004,433"
4,23,"1006251,9;1000003,8200","100001,904;100002,113;100003,57;100004,452"
4,24,"1006251,10;1000003,8350","100001,942;100002,118;100003,59;100004,471"
4,25,"1006251,10;1000003,8450","100001,980;100002,122;100003,61;100004,490"
4,26,"1006251,10;1000003,8550","100001,1017;100002,127;100003,64;100004,509"
4,27,"1006251,10;1000003,8650","100001,1055;100002,132;100003,66;100004,527"
4,28,"1006251,10;1000003,8800","100001,1092;100002,137;100003,68;100004,546"
4,29,"1006251,10;1000003,8900","100001,1130;100002,141;100003,71;100004,565"
4,30,"1006251,20;1006253,17;1000003,17500","100001,1168;100002,146;100003,73;100004,584"
4,31,"1006251,20;1000003,17700","100001,1205;100002,151;100003,75;100004,603"
4,32,"1006251,20;1000003,17800","100001,1243;100002,155;100003,78;100004,621"
