ID,Path,,Text,Params,TextPivot,BackGround,MainRes,MainResPivot,TitleBg,TitleBgPivot,HelpText
1,UI/Prefab/Activity/SevenDaySubPannel/PermitSubPanel,星海纪闻,activityui_text_1_1,,,,,,,,
2,UI/Prefab/Activity/SevenDaySubPannel/GrowFoundPanel,成长基金,activityui_text_2_1,,,,,,,,
3,UI/Prefab/Activity/FirstChargeView,首充,"activityui_text_3_1,activityui_text_3_2",,,,,,,,
4,UI/Prefab/Activity/SevenDaySubPannel/SevendaySubPanel,新人累计登录,activityui_text_4_1,"bb698d,ffe3ef,920643,590137,cc0c4f;ui_xs_qd_liebiao1","-250,-20",ui_xs_qd_bg,,,,,
5,UI/Prefab/Activity/SevenDaySubPannel/ExperiencesSubPanel,等级奖励,"activity_text_2,activityui_text_5_1",,,ui_xs_fl_diban_bg_1,,,,,
6,UI/Prefab/Activity/SevenDaySubPannel/RookieQuestSubPanel,教学任务,activityui_text_6_1,,,ui_xs_jx_bg_ren,,,,,
8,UI/Prefab/Activity/ActivitySummary/TenDaySignin,十日签到,activityui_text_4_2,,,ui_hdyg_wa_di_1_1,,,,,
9,UI/Prefab/Activity/ActivitySummary/ActivityGroupTask,活跃-阶段任务,"activityui_text_9_1,activityui_text_9_2",,,,UI/Prefab/Activity/ActivitySummary/Con_group_wgyy,,,,activityui_text_8
10,UI/Prefab/Activity/Con_Gospel,开服五星3选1,activityui_text_10,,,,,,,,
11,UI/Prefab/Activity/Con_GaCha,开服送10连劵,activityui_text_11,,,,,,,,
12,UI/Prefab/Activity/ActivitySummary/SwitchActivity,日常任务,activityui_text_12_1,15ad87,,,UI/Prefab/Activity/ActivitySummary/Con_23050008,,,,
13,UI/Prefab/Activity/ActivitySummary/SwitchActivity,回忆深潜,activityui_text_13_1,1580ad,,,UI/Prefab/Activity/ActivitySummary/Con_23050007,,,,
14,UI/Prefab/Activity/ActivitySummary/SwitchActivity,幻梦之境,activityui_text_14_1,145257,,,UI/Prefab/Activity/ActivitySummary/Con_23050005,,,,
15,UI/Prefab/Activity/SevenDaySubPannel/SevendaySubPanel,新人累计登录-日本,activityui_text_15_1,"d78ff6,edd2f8,630691,3c0159,8131a3;ui_xs_qd_liebiao2","-950,-20",ui_xs_qd_bg1,,,,,
16,UI/Prefab/Activity/RandomGospel,开服随机五星-日本,activityui_text_10,,,ui_yyjl_cx_role_jp,,,ui_yyjl_cx_zs_1_jp,,
17,UI/Prefab/Activity/ActivitySummary/ComTaskActPanel,桃觉醒活动,activityui_text_17_1,,,,UI/Prefab/Activity/ActivitySummary/Con_task_tycm,,,,
18,UI/Prefab/Activity/ActivitySummary/SwitchActivity,灵簿迷域,activityui_text_21_1,c21015,,,UI/Prefab/Activity/ActivitySummary/Con_lbmy,,,,
20,UI/Prefab/Activity/ActivitySummary/AccrueRecharge,丰收时刻-累计充值,"activityui_text_20_1,activityui_text_20_2,activityui_text_20_3",,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_fssk,,,,
22,UI/Prefab/Activity/ActivitySummary/SkinTaskActPanel,连充返利活动,"activityui_text_22_1,activityui_text_22_2,activityui_text_22_3",,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_skin_lcfl,,,,activityui_text_22_4
23,UI/Prefab/Activity/ActivitySummary/TargetTaskActPanel,开服目标,,,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_ysly,,,,activityui_text_23_1
