BuffId,Name,Des
101,BuffName_101,BuffDesc_101
103,BuffName_103,BuffDesc_103
105,BuffName_105,BuffDesc_105
107,BuffName_107,BuffDesc_107
109,BuffName_109,BuffDesc_109
1001,BuffName_1001,BuffDesc_1001
10011,BuffName_10011,BuffDesc_10011
10012,BuffName_10012,BuffDesc_10012
1002,BuffName_1002,BuffDesc_1002
10021,BuffName_10021,BuffDesc_10021
10022,BuffName_10022,BuffDesc_10022
1003,BuffName_1003,BuffDesc_1003
10031,BuffName_10031,BuffDesc_10031
10032,BuffName_10032,BuffDesc_10032
1004,BuffName_1004,BuffDesc_1004
10041,BuffName_10041,BuffDesc_10041
10042,BuffName_10042,BuffDesc_10042
1005,BuffName_1005,BuffDesc_1005
10051,BuffName_10051,BuffDesc_10051
10052,BuffName_10052,BuffDesc_10052
1007,BuffName_1007,BuffDesc_1007
1008,BuffName_1008,BuffDesc_1008
1009,BuffName_1009,BuffDesc_1009
1010,BuffName_1010,BuffDesc_1010
1011,BuffName_1011,BuffDesc_1011
1012,BuffName_1012,BuffDesc_1012
1013,BuffName_1013,BuffDesc_1013
1014,BuffName_1014,BuffDesc_1014
1015,BuffName_1015,BuffDesc_1015
1016,BuffName_1016,BuffDesc_1016
1017,BuffName_1017,BuffDesc_1017
1018,BuffName_1018,BuffDesc_1018
1019,BuffName_1019,BuffDesc_1019
1020,BuffName_1020,BuffDesc_1020
1021,BuffName_1021,BuffDesc_1021
1022,BuffName_1022,BuffDesc_1022
1023,BuffName_1023,BuffDesc_1023
1024,BuffName_1024,BuffDesc_1024
1025,BuffName_1025,BuffDesc_1025
1026,BuffName_1026,BuffDesc_1026
1027,BuffName_1027,BuffDesc_1027
1028,BuffName_1028,BuffDesc_1028
1030,BuffName_1030,BuffDesc_1030
1031,BuffName_1031,BuffDesc_1031
1032,BuffName_1032,BuffDesc_1032
1033,BuffName_1033,BuffDesc_1033
1034,BuffName_1034,BuffDesc_1034
1035,BuffName_1035,BuffDesc_1035
1036,BuffName_1036,BuffDesc_1036
1037,BuffName_1037,BuffDesc_1037
1038,BuffName_1038,BuffDesc_1038
1039,BuffName_1039,BuffDesc_1039
1040,BuffName_1040,BuffDesc_1040
1041,BuffName_1041,BuffDesc_1041
10411,BuffName_10411,BuffDesc_10411
10412,BuffName_10412,BuffDesc_10412
1042,BuffName_1042,BuffDesc_1042
1043,BuffName_1043,BuffDesc_1043
1044,BuffName_1044,BuffDesc_1044
1045,BuffName_1045,BuffDesc_1045
1046,BuffName_1046,BuffDesc_1046
1047,BuffName_1047,BuffDesc_1047
1048,BuffName_1048,BuffDesc_1048
1049,BuffName_1049,BuffDesc_1049
1050,BuffName_1050,BuffDesc_1050
1051,BuffName_1051,BuffDesc_1051
1301,BuffName_1301,BuffDesc_1301
1302,BuffName_1302,BuffDesc_1302
1303,BuffName_1303,BuffDesc_1303
1304,BuffName_1304,BuffDesc_1304
1305,BuffName_1305,BuffDesc_1305
1306,BuffName_1306,BuffDesc_1306
1307,BuffName_1307,BuffDesc_1307
1308,BuffName_1308,BuffDesc_1308
1309,BuffName_1309,BuffDesc_1309
1310,BuffName_1310,BuffDesc_1310
1311,BuffName_1311,BuffDesc_1311
1312,BuffName_1312,BuffDesc_1312
1313,BuffName_1313,BuffDesc_1313
1314,BuffName_1314,BuffDesc_1314
1401,BuffName_1401,BuffDesc_1401
1402,BuffName_1402,BuffDesc_1402
1403,BuffName_1403,BuffDesc_1403
1404,BuffName_1404,BuffDesc_1404
1405,BuffName_1405,BuffDesc_1405
1406,BuffName_1406,BuffDesc_1406
1407,BuffName_1407,BuffDesc_1407
1408,BuffName_1408,BuffDesc_1408
1409,BuffName_1409,BuffDesc_1409
1410,BuffName_1410,BuffDesc_1410
1411,BuffName_1411,BuffDesc_1411
1412,BuffName_1412,BuffDesc_1412
1413,BuffName_1413,BuffDesc_1413
1501,BuffName_1501,BuffDesc_1501
1502,BuffName_1502,BuffDesc_1502
1503,BuffName_1503,BuffDesc_1503
1504,BuffName_1504,BuffDesc_1504
1505,BuffName_1505,BuffDesc_1505
1506,BuffName_1506,BuffDesc_1506
1507,BuffName_1507,BuffDesc_1507
1508,BuffName_1508,BuffDesc_1508
1509,BuffName_1509,BuffDesc_1509
1510,BuffName_1510,BuffDesc_1510
1511,BuffName_1511,BuffDesc_1511
1512,BuffName_1512,BuffDesc_1512
1513,BuffName_1513,BuffDesc_1513
1601,BuffName_1601,BuffDesc_1601
1901,BuffName_1901,BuffDesc_1901
19011,BuffName_19011,BuffDesc_19011
2001,BuffName_2001,BuffDesc_2001
20011,BuffName_20011,BuffDesc_20011
20012,BuffName_20012,BuffDesc_20012
2002,BuffName_2002,BuffDesc_2002
20021,BuffName_20021,BuffDesc_20021
20022,BuffName_20022,BuffDesc_20022
2003,BuffName_2003,BuffDesc_2003
20031,BuffName_20031,BuffDesc_20031
20032,BuffName_20032,BuffDesc_20032
2004,BuffName_2004,BuffDesc_2004
20041,BuffName_20041,BuffDesc_20041
20042,BuffName_20042,BuffDesc_20042
2005,BuffName_2005,BuffDesc_2005
20051,BuffName_20051,BuffDesc_20051
20052,BuffName_20052,BuffDesc_20052
2007,BuffName_2007,BuffDesc_2007
2008,BuffName_2008,BuffDesc_2008
2009,BuffName_2009,BuffDesc_2009
2010,BuffName_2010,BuffDesc_2010
2011,BuffName_2011,BuffDesc_2011
2012,BuffName_2012,BuffDesc_2012
2013,BuffName_2013,BuffDesc_2013
2014,BuffName_2014,BuffDesc_2014
2015,BuffName_2015,BuffDesc_2015
2016,BuffName_2016,BuffDesc_2016
2017,BuffName_2017,BuffDesc_2017
2018,BuffName_2018,BuffDesc_2018
2019,BuffName_2019,BuffDesc_2019
2020,BuffName_2020,BuffDesc_2020
2021,BuffName_2021,BuffDesc_2021
2022,BuffName_2022,BuffDesc_2022
2023,BuffName_2023,BuffDesc_2023
2024,BuffName_2024,BuffDesc_2024
2025,BuffName_2025,BuffDesc_2025
2026,BuffName_2026,BuffDesc_2026
2027,BuffName_2027,BuffDesc_2027
2028,BuffName_2028,BuffDesc_2028
2030,BuffName_2030,BuffDesc_2030
2031,BuffName_2031,BuffDesc_2031
2032,BuffName_2032,BuffDesc_2032
2033,BuffName_2033,BuffDesc_2033
2034,BuffName_2034,BuffDesc_2034
2035,BuffName_2035,BuffDesc_2035
2036,BuffName_2036,BuffDesc_2036
2037,BuffName_2037,BuffDesc_2037
2038,BuffName_2038,BuffDesc_2038
2039,BuffName_2039,BuffDesc_2039
2040,BuffName_2040,BuffDesc_2040
2041,BuffName_2041,BuffDesc_2041
20411,BuffName_20411,BuffDesc_20411
20412,BuffName_20412,BuffDesc_20412
2042,BuffName_2042,BuffDesc_2042
2043,BuffName_2043,BuffDesc_2043
2044,BuffName_2044,BuffDesc_2044
2045,BuffName_2045,BuffDesc_2045
2046,BuffName_2046,BuffDesc_2046
2047,BuffName_2047,BuffDesc_2047
2048,BuffName_2048,BuffDesc_2048
2049,BuffName_2049,BuffDesc_2049
2050,BuffName_2050,BuffDesc_2050
2051,BuffName_2051,BuffDesc_2051
2301,BuffName_2301,BuffDesc_2301
2302,BuffName_2302,BuffDesc_2302
2303,BuffName_2303,BuffDesc_2303
2304,BuffName_2304,BuffDesc_2304
2305,BuffName_2305,BuffDesc_2305
2306,BuffName_2306,BuffDesc_2306
2307,BuffName_2307,BuffDesc_2307
2308,BuffName_2308,BuffDesc_2308
2309,BuffName_2309,BuffDesc_2309
2310,BuffName_2310,BuffDesc_2310
2311,BuffName_2311,BuffDesc_2311
2312,BuffName_2312,BuffDesc_2312
2313,BuffName_2313,BuffDesc_2313
2401,BuffName_2401,BuffDesc_2401
2402,BuffName_2402,BuffDesc_2402
2403,BuffName_2403,BuffDesc_2403
2404,BuffName_2404,BuffDesc_2404
2405,BuffName_2405,BuffDesc_2405
2406,BuffName_2406,BuffDesc_2406
2407,BuffName_2407,BuffDesc_2407
2408,BuffName_2408,BuffDesc_2408
2409,BuffName_2409,BuffDesc_2409
2410,BuffName_2410,BuffDesc_2410
2411,BuffName_2411,BuffDesc_2411
2412,BuffName_2412,BuffDesc_2412
2413,BuffName_2413,BuffDesc_2413
2501,BuffName_2501,BuffDesc_2501
2502,BuffName_2502,BuffDesc_2502
2503,BuffName_2503,BuffDesc_2503
2504,BuffName_2504,BuffDesc_2504
2505,BuffName_2505,BuffDesc_2505
2506,BuffName_2506,BuffDesc_2506
2507,BuffName_2507,BuffDesc_2507
2508,BuffName_2508,BuffDesc_2508
2509,BuffName_2509,BuffDesc_2509
2510,BuffName_2510,BuffDesc_2510
2511,BuffName_2511,BuffDesc_2511
2512,BuffName_2512,BuffDesc_2512
2513,BuffName_2513,BuffDesc_2513
2901,BuffName_2901,BuffDesc_2901
29011,BuffName_29011,BuffDesc_29011
3001,BuffName_3001,BuffDesc_3001
3002,BuffName_3002,BuffDesc_3002
3003,BuffName_3003,BuffDesc_3003
3004,BuffName_3004,BuffDesc_3004
3005,BuffName_3005,BuffDesc_3005
3006,BuffName_3006,BuffDesc_3006
3007,BuffName_3007,BuffDesc_3007
30071,BuffName_30071,BuffDesc_30071
3008,BuffName_3008,BuffDesc_3008
3009,BuffName_3009,BuffDesc_3009
3010,BuffName_3010,BuffDesc_3010
3011,BuffName_3011,BuffDesc_3011
3012,BuffName_3012,BuffDesc_3012
3013,BuffName_3013,BuffDesc_3013
3015,BuffName_3015,BuffDesc_3015
3016,BuffName_3016,BuffDesc_3016
3017,BuffName_3017,BuffDesc_3017
4001,BuffName_4001,BuffDesc_4001
4002,BuffName_4002,BuffDesc_4002
4003,BuffName_4003,BuffDesc_4003
4004,BuffName_4004,BuffDesc_4004
4005,BuffName_4005,BuffDesc_4005
4006,BuffName_4006,BuffDesc_4006
4007,BuffName_4007,BuffDesc_4007
