Id,FoodType,,GroupId,Role,FoodMake,Feature,Weight,Production,Price
1004011,1,烟熏鸡肉(肉类1),1,,,20001,"1,-300;2,100;3,100;4,100",,
1004012,1,苔原牦牛肉(肉类2),1,,,20001,"1,-300;2,100;3,100;4,100",,
1004013,1,西峡羚羊肉(肉类3),1,,,20001,"1,-300;2,100;3,100;4,100",,
1004014,1,雪岭鹿肉(肉类4),1,,,20001,"1,-300;2,100;3,100;4,100",,
1004101,1,火鸟蛋(其他1),2,,,20001,"1,-300;2,100;3,100;4,100",,
1004102,1,奶黄油(其他2),2,,,20001,"1,-300;2,100;3,100;4,100",,
1004103,1,魔鬼红(其他4),2,,,20001,"1,-300;2,100;3,100;4,100",,
1004104,1,黑石蒜(其他6),2,,,20001,"1,-300;2,100;3,100;4,100",,
1011001,1,虎纹鱼(虎纹鱼),3,,,20001,"1,-300;2,100;3,100;4,100",,
1011101,1,虎纹鱼(虎纹鱼·银),3,,,20001,"1,-300;2,100;3,100;4,100",,
1011201,1,虎纹鱼(虎纹鱼·金),3,,,20001,"1,-300;2,100;3,100;4,100",,
1011002,1,浓眉鲹(浓眉鲹),4,,,20001,"1,-300;2,100;3,100;4,100",,
1011102,1,浓眉鲹(浓眉鲹·银),4,,,20001,"1,-300;2,100;3,100;4,100",,
1011202,1,浓眉鲹(浓眉鲹·金),4,,,20001,"1,-300;2,100;3,100;4,100",,
1011003,1,软骨蛇鱼(软骨蛇鱼),5,,,20001,"1,-300;2,100;3,100;4,100",,
1011103,1,软骨蛇鱼(软骨蛇鱼·银),5,,,20001,"1,-300;2,100;3,100;4,100",,
1011203,1,软骨蛇鱼(软骨蛇鱼·金),5,,,20001,"1,-300;2,100;3,100;4,100",,
1011004,1,蓝魔鬼(蓝魔鬼),6,,,20001,"1,-300;2,100;3,100;4,100",,
1011104,1,蓝魔鬼(蓝魔鬼·银),6,,,20001,"1,-300;2,100;3,100;4,100",,
1011204,1,蓝魔鬼(蓝魔鬼·金),6,,,20001,"1,-300;2,100;3,100;4,100",,
1011005,1,蓝金蝶(蓝金蝶),7,,,20001,"1,-300;2,100;3,100;4,100",,
1011105,1,蓝金蝶(蓝金蝶·银),7,,,20001,"1,-300;2,100;3,100;4,100",,
1011205,1,蓝金蝶(蓝金蝶·金),7,,,20001,"1,-300;2,100;3,100;4,100",,
1011006,1,海葵鱼(海葵鱼),8,,,20001,"1,-300;2,100;3,100;4,100",,
1011106,1,海葵鱼(海葵鱼·银),8,,,20001,"1,-300;2,100;3,100;4,100",,
1011206,1,海葵鱼(海葵鱼·金),8,,,20001,"1,-300;2,100;3,100;4,100",,
1011007,1,水晶捕手(水晶捕手),9,,,20001,"1,-300;2,100;3,100;4,100",,
1011107,1,水晶捕手(水晶捕手·银),9,,,20001,"1,-300;2,100;3,100;4,100",,
1011207,1,水晶捕手(水晶捕手·金),9,,,20001,"1,-300;2,100;3,100;4,100",,
1011008,1,碎冰鱼(碎冰鱼),10,,,20001,"1,-300;2,100;3,100;4,100",,
1011108,1,碎冰鱼(碎冰鱼·银),10,,,20001,"1,-300;2,100;3,100;4,100",,
1011208,1,碎冰鱼(碎冰鱼·金),10,,,20001,"1,-300;2,100;3,100;4,100",,
1011009,1,墨鱼(墨鱼),11,,,20001,"1,-300;2,100;3,100;4,100",,
1011109,1,墨鱼(墨鱼·银),11,,,20001,"1,-300;2,100;3,100;4,100",,
1011209,1,墨鱼(墨鱼·金),11,,,20001,"1,-300;2,100;3,100;4,100",,
1011010,1,紫极光(紫极光),12,,,20001,"1,-300;2,100;3,100;4,100",,
1011110,1,紫极光(紫极光·银),12,,,20001,"1,-300;2,100;3,100;4,100",,
1011210,1,紫极光(紫极光·金),12,,,20001,"1,-300;2,100;3,100;4,100",,
1011011,1,红凶鳢(红凶鳢),13,,,20001,"1,-300;2,100;3,100;4,100",,
1011111,1,红凶鳢(红凶鳢·银),13,,,20001,"1,-300;2,100;3,100;4,100",,
1011211,1,红凶鳢(红凶鳢·金),13,,,20001,"1,-300;2,100;3,100;4,100",,
1011012,1,蓝冰枪(蓝冰枪),14,,,20001,"1,-300;2,100;3,100;4,100",,
1011112,1,蓝冰枪(蓝冰枪·银),14,,,20001,"1,-300;2,100;3,100;4,100",,
1011212,1,蓝冰枪(蓝冰枪·金),14,,,20001,"1,-300;2,100;3,100;4,100",,
1011013,1,黄铜鱼(黄铜鱼),15,,,20001,"1,-300;2,100;3,100;4,100",,
1011113,1,黄铜鱼(黄铜鱼·银),15,,,20001,"1,-300;2,100;3,100;4,100",,
1011213,1,黄铜鱼(黄铜鱼·金),15,,,20001,"1,-300;2,100;3,100;4,100",,
1011014,1,幻蓝鱼(幻蓝鱼),16,,,20001,"1,-300;2,100;3,100;4,100",,
1011114,1,幻蓝鱼(幻蓝鱼·银),16,,,20001,"1,-300;2,100;3,100;4,100",,
1011214,1,幻蓝鱼(幻蓝鱼·金),16,,,20001,"1,-300;2,100;3,100;4,100",,
1011015,1,桶装红茶(桶装红茶),17,,,20001,"1,-300;2,100;3,100;4,100",,
1011115,1,桶装红茶(桶装红茶·银),17,,,20001,"1,-300;2,100;3,100;4,100",,
1011215,1,桶装红茶(桶装红茶·金),17,,,20001,"1,-300;2,100;3,100;4,100",,
1011016,1,银沙鳟(银沙鳟),18,,,20001,"1,-300;2,100;3,100;4,100",,
1011116,1,银沙鳟(银沙鳟·银),18,,,20001,"1,-300;2,100;3,100;4,100",,
1011216,1,银沙鳟(银沙鳟·金),18,,,20001,"1,-300;2,100;3,100;4,100",,
1011017,1,天光鱼(天光鱼),19,,,20001,"1,-300;2,100;3,100;4,100",,
1011117,1,天光鱼(天光鱼·银),19,,,20001,"1,-300;2,100;3,100;4,100",,
1011217,1,天光鱼(天光鱼·金),19,,,20001,"1,-300;2,100;3,100;4,100",,
1011018,1,深蓝鳐(深蓝鳐),20,,,20001,"1,-300;2,100;3,100;4,100",,
1011118,1,深蓝鳐(深蓝鳐·银),20,,,20001,"1,-300;2,100;3,100;4,100",,
1011218,1,深蓝鳐(深蓝鳐·金),20,,,20001,"1,-300;2,100;3,100;4,100",,
1011019,1,刺点海星(刺点海星),21,,,20001,"1,-300;2,100;3,100;4,100",,
1011119,1,刺点海星(刺点海星·银),21,,,20001,"1,-300;2,100;3,100;4,100",,
1011219,1,刺点海星(刺点海星·金),21,,,20001,"1,-300;2,100;3,100;4,100",,
1011020,1,红狗鱼(红狗鱼),22,,,20001,"1,-300;2,100;3,100;4,100",,
1011120,1,红狗鱼(红狗鱼·银),22,,,20001,"1,-300;2,100;3,100;4,100",,
1011220,1,红狗鱼(红狗鱼·金),22,,,20001,"1,-300;2,100;3,100;4,100",,
1011021,1,淡苦鱼(淡苦鱼),23,,,20001,"1,-300;2,100;3,100;4,100",,
1011121,1,淡苦鱼(淡苦鱼·银),23,,,20001,"1,-300;2,100;3,100;4,100",,
1011221,1,淡苦鱼(淡苦鱼·金),23,,,20001,"1,-300;2,100;3,100;4,100",,
1011022,1,地狱鲀(地狱鲀),24,,,20001,"1,-300;2,100;3,100;4,100",,
1011122,1,地狱鲀(地狱鲀·银),24,,,20001,"1,-300;2,100;3,100;4,100",,
1011222,1,地狱鲀(地狱鲀·金),24,,,20001,"1,-300;2,100;3,100;4,100",,
1011023,1,豹点鱼(豹点鱼),25,,,20001,"1,-300;2,100;3,100;4,100",,
1011123,1,豹点鱼(豹点鱼·银),25,,,20001,"1,-300;2,100;3,100;4,100",,
1011223,1,豹点鱼(豹点鱼·金),25,,,20001,"1,-300;2,100;3,100;4,100",,
1011024,1,蓝带隆头鱼(蓝带隆头鱼),26,,,20001,"1,-300;2,100;3,100;4,100",,
1011124,1,蓝带隆头鱼(蓝带隆头鱼·银),26,,,20001,"1,-300;2,100;3,100;4,100",,
1011224,1,蓝带隆头鱼(蓝带隆头鱼·金),26,,,20001,"1,-300;2,100;3,100;4,100",,
1011025,1,紫金带(紫金带),27,,,20001,"1,-300;2,100;3,100;4,100",,
1011125,1,紫金带(紫金带·银),27,,,20001,"1,-300;2,100;3,100;4,100",,
1011225,1,紫金带(紫金带·金),27,,,20001,"1,-300;2,100;3,100;4,100",,
1011026,1,花边鲫(花边鲫),28,,,20001,"1,-300;2,100;3,100;4,100",,
1011126,1,花边鲫(花边鲫·银),28,,,20001,"1,-300;2,100;3,100;4,100",,
1011226,1,花边鲫(花边鲫·金),28,,,20001,"1,-300;2,100;3,100;4,100",,
1011027,1,赤须(赤须),29,,,20001,"1,-300;2,100;3,100;4,100",,
1011127,1,赤须(赤须·银),29,,,20001,"1,-300;2,100;3,100;4,100",,
1011227,1,赤须(赤须·金),29,,,20001,"1,-300;2,100;3,100;4,100",,
1011028,1,白苦鲑(白苦鲑),30,,,20001,"1,-300;2,100;3,100;4,100",,
1011128,1,白苦鲑(白苦鲑·银),30,,,20001,"1,-300;2,100;3,100;4,100",,
1011228,1,白苦鲑(白苦鲑·金),30,,,20001,"1,-300;2,100;3,100;4,100",,
1011029,1,造访者(造访者),31,,,20001,"1,-300;2,100;3,100;4,100",,
1011129,1,造访者(造访者·银),31,,,20001,"1,-300;2,100;3,100;4,100",,
1011229,1,造访者(造访者·金),31,,,20001,"1,-300;2,100;3,100;4,100",,
1011030,1,水豺狼(水豺狼),32,,,20001,"1,-300;2,100;3,100;4,100",,
1011130,1,水豺狼(水豺狼·银),32,,,20001,"1,-300;2,100;3,100;4,100",,
1011230,1,水豺狼(水豺狼·金),32,,,20001,"1,-300;2,100;3,100;4,100",,
1011031,1,叉尾鳙(叉尾鳙),33,,,20001,"1,-300;2,100;3,100;4,100",,
1011131,1,叉尾鳙(叉尾鳙·银),33,,,20001,"1,-300;2,100;3,100;4,100",,
1011231,1,叉尾鳙(叉尾鳙·金),33,,,20001,"1,-300;2,100;3,100;4,100",,
1011032,1,金骨舌鱼(金骨舌鱼),34,,,20001,"1,-300;2,100;3,100;4,100",,
1011132,1,金骨舌鱼(金骨舌鱼·银),34,,,20001,"1,-300;2,100;3,100;4,100",,
1011232,1,金骨舌鱼(金骨舌鱼·金),34,,,20001,"1,-300;2,100;3,100;4,100",,
1011033,1,翻车鱼(翻车鱼),35,,,20001,"1,-300;2,100;3,100;4,100",,
1011133,1,翻车鱼(翻车鱼·银),35,,,20001,"1,-300;2,100;3,100;4,100",,
1011233,1,翻车鱼(翻车鱼·金),35,,,20001,"1,-300;2,100;3,100;4,100",,
1011034,1,黄昏老人(黄昏老人),36,,,20001,"1,-300;2,100;3,100;4,100",,
1011134,1,黄昏老人(黄昏老人·银),36,,,20001,"1,-300;2,100;3,100;4,100",,
1011234,1,黄昏老人(黄昏老人·金),36,,,20001,"1,-300;2,100;3,100;4,100",,
1011035,1,魔角男爵(魔角男爵),37,,,20001,"1,-300;2,100;3,100;4,100",,
1011135,1,魔角男爵(魔角男爵·银),37,,,20001,"1,-300;2,100;3,100;4,100",,
1011235,1,魔角男爵(魔角男爵·金),37,,,20001,"1,-300;2,100;3,100;4,100",,
1011036,1,暗金鲶龙(暗金鲶龙),38,,,20001,"1,-300;2,100;3,100;4,100",,
1011136,1,暗金鲶龙(暗金鲶龙·银),38,,,20001,"1,-300;2,100;3,100;4,100",,
1011236,1,暗金鲶龙(暗金鲶龙·金),38,,,20001,"1,-300;2,100;3,100;4,100",,
1011037,1,密鳞鱼(密鳞鱼),39,,,20001,"1,-300;2,100;3,100;4,100",,
1011137,1,密鳞鱼(密鳞鱼·银),39,,,20001,"1,-300;2,100;3,100;4,100",,
