Id,PeopleId,,,PlotType,PlotFile,,PlotBuilding,FavorLv,Weight,Favor
8200001,3000001,律,餐厅好感1,0,5803001,餐厅好感1,1002,0,100,20
8200002,3000001,律,餐厅好感3,0,5803002,餐厅好感3,1002,3,100,20
8200003,3000001,律,餐厅好感5,0,5803003,餐厅好感5,1002,5,100,20
8200004,3000001,律,自宅好感1,0,5803004,自宅好感1,1005,0,100,20
8200005,3000001,律,自宅好感3,0,5803005,自宅好感3,1005,3,100,20
8200006,3000001,律,自宅好感5,0,5803006,自宅好感5,1005,5,100,20
8200007,3000001,律,圣殿好感1,0,5803007,圣殿好感1,1001,0,100,20
8200008,3000001,律,圣殿好感3,0,5803008,圣殿好感3,1001,3,100,20
8200010,3000001,律,图书馆好感1,0,5803010,图书馆好感1,1003,0,100,20
8200011,3000001,律,图书馆好感3,0,5803011,图书馆好感3,1003,3,100,20
8200012,3000001,律,图书馆好感5,0,5803012,图书馆好感5,1003,5,100,20
8200013,3000001,律,乐园好感1,0,5803013,乐园好感1,1999704,0,100,20
8200014,3000001,律,乐园好感3,0,5803014,乐园好感3,1999704,3,100,20
8200015,3000001,律,乐园好感5,0,5803015,乐园好感5,1999704,5,100,20
8200016,3000001,律,通用好感1-1,0,5803016,通用好感1-1,,0,100,20
8200017,3000001,律,通用好感1-2,0,5803017,通用好感1-2,,0,100,20
8200018,3000001,律,通用好感1-3,0,5803018,通用好感1-3,,0,100,20
8200019,3000001,律,通用好感1-4,0,5803019,通用好感1-4,,0,100,20
8200020,3000001,律,通用好感1-5,0,5803020,通用好感1-5,,0,100,20
8200021,3000001,律,通用好感1-6,0,5803021,通用好感1-6,,0,100,20
8200022,3000001,律,通用好感1-7,0,5803022,通用好感1-7,,0,100,20
8200023,3000001,律,通用好感1-8,0,5803023,通用好感1-8,,0,100,20
8200024,3000001,律,通用好感1-9,0,5803024,通用好感1-9,,0,100,20
8200025,3000001,律,通用好感1-10,0,5803025,通用好感1-10,,0,100,20
8200026,3000001,律,通用好感2-1,0,5803026,通用好感2-1,,2,100,20
8200028,3000001,律,通用好感2-3,0,5803028,通用好感2-3,,2,100,20
8200029,3000001,律,通用好感2-4,0,5803029,通用好感2-4,,2,100,20
8200030,3000001,律,通用好感2-5,0,5803030,通用好感2-5,,2,100,20
8200031,3000001,律,通用好感2-6,0,5803031,通用好感2-6,,2,100,20
8200032,3000001,律,通用好感2-7,0,5803032,通用好感2-7,,2,100,20
8200033,3000001,律,通用好感2-8,0,5803033,通用好感2-8,,2,100,20
8200034,3000001,律,通用好感2-9,0,5803034,通用好感2-9,,2,100,20
8200035,3000001,律,通用好感2-10,0,5803035,通用好感2-10,,2,100,20
8200037,3000001,律,通用好感3-2,0,5803037,通用好感3-2,,3,100,20
8200038,3000001,律,通用好感3-3,0,5803038,通用好感3-3,,3,100,20
8200039,3000001,律,通用好感3-4,0,5803039,通用好感3-4,,3,100,20
8200040,3000001,律,通用好感3-5,0,5803040,通用好感3-5,,3,100,20
8200041,3000001,律,通用好感3-6,0,5803041,通用好感3-6,,3,100,20
8200042,3000001,律,通用好感3-7,0,5803042,通用好感3-7,,3,100,20
8200043,3000001,律,通用好感4-1,0,5803043,通用好感4-1,,4,100,20
8200045,3000001,律,通用好感4-3,0,5803045,通用好感4-3,,4,100,20
8200046,3000001,律,通用好感4-4,0,5803046,通用好感4-4,,4,100,20
8200047,3000001,律,通用好感4-5,0,5803047,通用好感4-5,,4,100,20
8200048,3000001,律,通用好感4-6,0,5803048,通用好感4-6,,4,100,20
8200049,3000001,律,通用好感4-7,0,5803049,通用好感4-7,,4,100,20
