Id,,ShopId,,PackGroup,Order,Name,Recommend,RecommendDesc,Poster,Rank,Type,Label,LabelDesc,,SpecialGiftLabel,LockFront,UnLockFront,Front,UnlockConditions,UnlockText,ItemId,Price,ShowPrice,IosProductId,AndoridProductId,IosProductId_CR,AndoridProductId_CR,IosProductId_APJXF,AndoridProductId_APJXF,IosProductId_JP,AndoridProductId_JP,WebProductId,BuyCounts,RandValue,Active,AutoFresh,Rate,RateValue,Voucher,Pic,Desc,Coordinate,DataTracking,Setting,Refund,PremiumPoints,Subscription,ChannelLock
30101,安普莎〔猩红之种〕,301,热卖装扮,,1,,,,,,10,"ui_sd_pf_icon_5,75005e,ui_sd_pf_icon_3,005463","ui_shop_16,ui_shop_17",,0,,,,,,"301402501,1;501402501,1;5003031,1",980,,,,,,,,,,,1,0,1,,1000,100,,head_301402501_2,,"67,-9",,1,,0,0,
30302,裂痕（动态插画）,303,珍藏插画,,12,,,,,,10,0,0,,0,,,,,,"101302,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30303,我惟向你（动态插画）,303,珍藏插画,,11,,,,,,10,0,0,,0,,,,,,"101303,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30305,长恨此身（动态插画）,303,珍藏插画,,9,,,,,,10,0,0,,0,,,,,,"101305,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30307,恋如雨来（动态插画）,303,珍藏插画,,7,,,,,,10,0,0,,0,,,,,,"101307,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30308,初临红簌（动态插画）,303,珍藏插画,,6,,,,,,10,0,0,,0,,,,,,"101308,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30309,梦回还（动态插画）,303,珍藏插画,,5,,,,,,10,0,0,,0,,,,,,"101309,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30310,净化之前（动态插画）,303,珍藏插画,,4,,,,,,10,0,0,,0,,,,,,"101310,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30311,深林遇狐（动态插画）,303,珍藏插画,,3,,,,,,10,0,0,,0,,,,,,"101311,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30312,坠星（动态插画）,303,珍藏插画,,2,,,,,,10,0,0,,0,,,,,,"101312,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30401,英雄诞生（插画）,304,精品插画,,100,,,,,,10,0,0,,0,,,,,,"1018001,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30402,睡美人1（插画）,304,精品插画,,99,,,,,,10,0,0,,0,,,,,,"1018002,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30403,睡美人2（插画）,304,精品插画,,98,,,,,,10,0,0,,0,,,,,,"1018003,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30404,一瞬间的恍惚（插画）,304,精品插画,,97,,,,,,10,0,0,,0,,,,,,"1018004,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30405,所爱之人（插画）,304,精品插画,,96,,,,,,10,0,0,,0,,,,,,"1018005,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30406,恍惚（插画）,304,精品插画,,95,,,,,,10,0,0,,0,,,,,,"1018006,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
30407,雨中（插画）,304,精品插画,,94,,,,,,10,0,0,,0,,,,,,"1018007,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0,0,
