GachaId,GachaName,,Type,TypeText,DropType,GachaTitle,Back,RolePivot,RoleScale,SmallBanner,TitlePrefabPivot,UpLogoPivot,GachaDesc,GachaDescPivot,UpDesc,UnlockCondition,Order,ItemId,ExItem,DiscountCondition,TenDiscount,Show,QualityValue,WeightAddValue,WeightAddLimit,LastResort,TenQualityValue,DropGroupR,DropGroupSr,DropGroupSsr,InitCount,FirstUp,Srup,Ssrup,SrUpRate,SsrUpRate,UpCount,SsrCount,DisplaySsrCount,IsResetSSr,WishNum,TakeEfffectCount,RefreshType,LimitCount,Group,SummonRateText,RuleText,DecorationRule,RepgetRule,GachaBtnOpen,AutoMigrate
1,gachaname_1,常规卡池,0,"ui_summon_type_0,ui_zh_yeqian_bq_common",1,1,,,,ui_zh_yeqian_Normal,,,"gacha_des_1_1,gacha_des_1_2","-618,-170",,"16101,40",1,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,800001,800002,0,0,0,800002,0,0,1,70,70,1,1,1,2,9999999,0,gacha_summonate_01,"gacha_rule_3_1_cn,gacha_rule_3_2_en,gacha_rule_3_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1",
1001,gachaname_1001,神光UP池,1,"ui_summon_type_7,ui_zh_yeqian_bq_xd",1,1,ui_zh_bg_3014023,"95,-45",100,ui_zh_yeqian_3014023,"-450,200","600,150","gacha_des_3014023_1,gacha_des_3014023_2","-760,45",ui_zh_up_sinkou_zi_di_1,"101180,1;31001,1,1",99,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,810014,810013,0,1,810012,810011,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1","1751317200,3014023,100"
1002,gachaname_1002,桃UP池,1,"ui_summon_type_1,ui_zh_yeqian_bq_ld",1,1,ui_zh_bg_3016031,"0,0",100,ui_zh_yeqian_3014009,"-680,200","600,165","gacha_des_3014009_1,gacha_des_3014009_2","-720,-30",ui_zh_up_tao_zi_di_1,"101180,1;31002,1,1",100,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,810024,810023,0,1,810022,810021,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1","1761184800,3014009,100"
1003,gachaname_1003,塞蕾丝蒂娜UP池,1,"ui_summon_type_1,ui_zh_yeqian_bq_ld",1,1,ui_zh_bg_3016024,"0,0",100,ui_zh_yeqian_3016024,"-450,200","600,250","gacha_des_3016024_1,gacha_des_3016024_2","-100,-120",ui_zh_up_3016024_zi_di_1,"101180,1;31003,1,1",100,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,810034,810033,0,1,810032,810031,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1",
1004,gachaname_1004,瑞比亚UP池,1,"ui_summon_type_1,ui_zh_yeqian_bq_ld",1,1,ui_zh_bg_3016010,"0,0",100,ui_zh_yeqian_3016010,"-450,200","600,150","gacha_des_3016010_1,gacha_des_3016010_2","-100,-120",ui_zh_up_3016010_zi_di_1,"101180,1;31004,1,1",100,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,810044,810043,0,1,810042,810041,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1",
1005,gachaname_1005,昔莱UP池,1,"ui_summon_type_1,ui_zh_yeqian_bq_ld",1,1,ui_zh_bg_3016078,"0,0",100,ui_zh_yeqian_3016078,"-450,200","600,220","gacha_des_3016078_1,gacha_des_3016078_2","-120,-150",ui_zh_up_3016078_zi_di_1,"101180,1;31005,1,1",100,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,810054,810053,0,1,810052,810051,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1",
1006,gachaname_1006,奈奥米UP池,1,"ui_summon_type_1,ui_zh_yeqian_bq_ld",1,1,ui_zh_bg_3016020,"0,0",100,ui_zh_yeqian_3016020,"-450,200","600,220","gacha_des_3016020_1,gacha_des_3016020_2","-120,-150",ui_zh_up_3016020_zi_di_1,"101180,1;31006,1,1",100,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,810064,810063,0,1,810062,810061,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1",
1007,gachaname_1007,异邦波斯菊UP池,1,"ui_summon_type_1,ui_zh_yeqian_bq_ld",1,1,ui_zh_bg_3016187,"0,150",80,ui_zh_yeqian_3016187,"-450,200","700,220","gacha_des_3016187_1,gacha_des_3016187_2","135,-150",ui_zh_up_3016187_zi_di_1,"101180,1;31007,1,1",100,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,810074,810073,0,1,810072,810071,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1",
1008,gachaname_1008,诺维雅UP池,1,"ui_summon_type_1,ui_zh_yeqian_bq_ld",1,1,ui_zh_bg_3015001,"0,150",80,ui_zh_yeqian_3015001,"-450,200","700,220","gacha_des_3015001_1,gacha_des_3015001_2","135,-150",ui_zh_up_3015001_zi_di_1,"101180,1;31008,1,1",100,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,810084,810083,0,1,810082,810081,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1",
1009,gachaname_1009,爱尔维拉Up卡池,1,"ui_summon_type_1,ui_zh_yeqian_bq_ld",1,1,ui_zh_bg_3016191,"0,0",120,ui_zh_yeqian_3016191,"-650,200","700,220","gacha_des_3016191_1,gacha_des_3016191_2","135,-150",ui_zh_up_3016191_zi_di_1,"101180,1;31009,1,1",100,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,810094,810093,0,1,810092,810091,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1","1761789600,3016191,100"
1900,gachaname_1900,小闪UP轮替池,1,"ui_summon_type_7,ui_zh_yeqian_bq_xd",1,1,ui_zh_bg_3016031,"0,0",100,ui_zh_yeqian_3016031,"-550,200","600,220","gacha_des_3016031_1,gacha_des_3016031_2","-560,-80",ui_zh_up_3016031_zi_di_1,"101180,1;31900,1,1",99,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,819004,819003,0,1,819002,819001,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1",
1901,gachaname_1901,耶坦尼亚UP轮替池,1,"ui_summon_type_7,ui_zh_yeqian_bq_xd",1,1,ui_zh_bg_3015004,"0,0",100,ui_zh_yeqian_3015004,"-550,120","600,150","gacha_des_3015004_1,gacha_des_3015004_2","-120,-160",ui_zh_up_3015004_zi_di_1,"101180,1;31901,1,1",99,1001001,,,800,"820,156,24","888,100,12","55,-81,-9,90",8,1,"0,988,12",800000,819014,819013,0,1,819012,819011,"50,50","50,50",2,70,70,1,0,0,0,9999999,1,gacha_summonate_01,"gacha_rule_2_1_cn,gacha_rule_2_2_en,gacha_rule_2_3",gacha_rule_Decoration,gacha_rule_Repget,"1,1",
