Id,TabType,Number,Type,RoleId,,Name,WeaponDesc,WeaponDescCoordinate,BackStory,StoryTitle,StoryDesc,StoryCondition,ConditionTitle,MonsterCapacityTitle,MonsterCapacityDesc,MonsterThreat,Resources,CanvasSize,Open
1001,1,001,1,3000001,律,book_name_1001,1,"-577,-442",book_backstory_1001,0,0,0,0,0,0,0,0,,1
1002,1,002,1,3000002,克萝萝,book_name_1002,1,"-788,-466",book_backstory_1002,0,0,0,0,0,0,0,0,,1
1003,1,003,1,3000003,黑神月咏,book_name_1003,1,"-740,-448",book_backstory_1003,0,0,0,0,0,0,0,0,,1
1004,1,004,1,3000004,安洁,book_name_1004,0,0,book_backstory_1004,0,0,0,0,0,0,0,0,,1
1005,1,005,1,3000005,米娅,book_name_1005,0,0,book_backstory_1005,0,0,0,0,0,0,0,0,,1
1006,1,006,1,3000006,玛莎,book_name_1006,1,"-510,-407",book_backstory_1006,0,0,0,0,0,0,0,0,,0
2001,2,001,3,3020001,暴食,book_name_2001,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2001_1_1,book_storydesc_2001_1_2,book_storydesc_2001_1_3","10002,1;10002,5;10002,10","book_unlocktitle_2001_1_1,book_unlocktitle_2001_1_2,book_unlocktitle_2001_1_3","book_capacitytitle_2001_1_1,book_capacitytitle_2001_1_2,book_capacitytitle_2001_1_3","book_capacitydesc_2001_1_1,book_capacitydesc_2001_1_2,book_capacitydesc_2001_1_3",3,0,,1
2002,2,002,3,3020002,色欲,book_name_2002,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2002_1_1,book_storydesc_2002_1_2,book_storydesc_2002_1_3","10003,1;10003,5;10003,10","book_unlocktitle_2002_1_1,book_unlocktitle_2002_1_2,book_unlocktitle_2002_1_3","book_capacitytitle_2002_1_1,book_capacitytitle_2002_1_2,book_capacitytitle_2002_1_3","book_capacitydesc_2002_1_1,book_capacitydesc_2002_1_2,book_capacitydesc_2002_1_3",3,0,,1
2003,2,003,3,3020003,愤怒,book_name_2003,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2003_1_1,book_storydesc_2003_1_2,book_storydesc_2003_1_3","10004,1;10004,5;10004,10","book_unlocktitle_2003_1_1,book_unlocktitle_2003_1_2,book_unlocktitle_2003_1_3","book_capacitytitle_2003_1_1,book_capacitytitle_2003_1_2,book_capacitytitle_2003_1_3","book_capacitydesc_2003_1_1,book_capacitydesc_2003_1_2,book_capacitydesc_2003_1_3",3,0,,1
2004,2,004,3,3020010,狄妮莎,book_name_2004,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2004_1_1,book_storydesc_2004_1_2,book_storydesc_2004_1_3","10005,1;10005,5;10005,10","book_unlocktitle_2004_1_1,book_unlocktitle_2004_1_2,book_unlocktitle_2004_1_3","book_capacitytitle_2004_1_1,book_capacitytitle_2004_1_2,book_capacitytitle_2004_1_3","book_capacitydesc_2004_1_1,book_capacitydesc_2004_1_2,book_capacitydesc_2004_1_3",3,0,,0
2005,2,005,3,3030001,西蒙,book_name_2005,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2005_1_1,book_storydesc_2005_1_2,book_storydesc_2005_1_3","10006,1;10006,10;10006,20","book_unlocktitle_2005_1_1,book_unlocktitle_2005_1_2,book_unlocktitle_2005_1_3","book_capacitytitle_2005_1_1,book_capacitytitle_2005_1_2,book_capacitytitle_2005_1_3","book_capacitydesc_2005_1_1,book_capacitydesc_2005_1_2,book_capacitydesc_2005_1_3",2,0,,1
2006,2,006,3,3030002,莉莉布朗尼,book_name_2006,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2006_1_1,book_storydesc_2006_1_2,book_storydesc_2006_1_3","10007,1;10007,10;10007,20","book_unlocktitle_2006_1_1,book_unlocktitle_2006_1_2,book_unlocktitle_2006_1_3","book_capacitytitle_2006_1_1,book_capacitytitle_2006_1_2","book_capacitydesc_2006_1_1,book_capacitydesc_2006_1_2",1,0,,1
2007,2,007,3,3030003,咎瓦尤斯,book_name_2007,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2007_1_1,book_storydesc_2007_1_2,book_storydesc_2007_1_3","10008,1;10008,10;10008,20","book_unlocktitle_2007_1_1,book_unlocktitle_2007_1_2,book_unlocktitle_2007_1_3","book_capacitytitle_2007_1_1,book_capacitytitle_2007_1_2,book_capacitytitle_2007_1_3","book_capacitydesc_2007_1_1,book_capacitydesc_2007_1_2,book_capacitydesc_2007_1_3",2,0,,1
2008,2,008,3,3030005,年兽,book_name_2008,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2008_1_1,book_storydesc_2008_1_2,book_storydesc_2008_1_3","10009,1;10009,10;10009,20","book_unlocktitle_2008_1_1,book_unlocktitle_2008_1_2,book_unlocktitle_2008_1_3","book_capacitytitle_2008_1_1,book_capacitytitle_2008_1_2,book_capacitytitle_2008_1_3","book_capacitydesc_2008_1_1,book_capacitydesc_2008_1_2,book_capacitydesc_2008_1_3",2,0,,1
2009,2,009,3,3060001,恶神-桃,book_name_2009,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2009_1_1,book_storydesc_2009_1_2,book_storydesc_2009_1_3","10010,1;10010,10;10010,20","book_unlocktitle_2009_1_1,book_unlocktitle_2009_1_2,book_unlocktitle_2009_1_3","book_capacitytitle_2009_1_1,book_capacitytitle_2009_1_2,book_capacitytitle_2009_1_3","book_capacitydesc_2009_1_1,book_capacitydesc_2009_1_2,book_capacitydesc_2009_1_3",3,0,,1
2010,2,010,3,3040001,咒行鵺,book_name_2010,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2010_1_1,book_storydesc_2010_1_2,book_storydesc_2010_1_3","10011,1;10011,20;10011,40","book_unlocktitle_2010_1_1,book_unlocktitle_2010_1_2,book_unlocktitle_2010_1_3","book_capacitytitle_2010_1_1,book_capacitytitle_2010_1_2,book_capacitytitle_2010_1_3","book_capacitydesc_2010_1_1,book_capacitydesc_2010_1_2,book_capacitydesc_2010_1_3",2,0,,1
2011,2,011,3,3040002,夺心魔,book_name_2011,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2011_1_1,book_storydesc_2011_1_2,book_storydesc_2011_1_3","10012,1;10012,20;10012,40","book_unlocktitle_2011_1_1,book_unlocktitle_2011_1_2,book_unlocktitle_2011_1_3","book_capacitytitle_2011_1_1,book_capacitytitle_2011_1_2,book_capacitytitle_2011_1_3","book_capacitydesc_2011_1_1,book_capacitydesc_2011_1_2,book_capacitydesc_2011_1_3",2,0,,1
2012,2,012,3,3040003,深渊刺,book_name_2012,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2012_1_1,book_storydesc_2012_1_2,book_storydesc_2012_1_3","10013,1;10013,20;10013,40","book_unlocktitle_2012_1_1,book_unlocktitle_2012_1_2,book_unlocktitle_2012_1_3","book_capacitytitle_2012_1_1,book_capacitytitle_2012_1_2,book_capacitytitle_2012_1_3","book_capacitydesc_2012_1_1,book_capacitydesc_2012_1_2,book_capacitydesc_2012_1_3",1,0,,1
