Id,TabType,,ShowType,,Number,HistoryImage,HistoryName,HistoryParaText,HistoryDesc,Open
5890101,6,世界史,1,星海往事,01,ui_cd_1,chronicle_name_6_1,chronicle_paratext_6_1,chronicle_desc_6_1,1
5890102,6,世界史,1,创世纪,02,ui_cd_2,chronicle_name_6_2,chronicle_paratext_6_2,chronicle_desc_6_2,1
5890103,6,世界史,1,禁忌之轮,03,ui_cd_3,chronicle_name_6_3,chronicle_paratext_6_3,chronicle_desc_6_3,1
5890104,6,世界史,1,上古之战,04,ui_cd_4,chronicle_name_6_4,chronicle_paratext_6_4,chronicle_desc_6_4,1
5890105,6,世界史,1,杰西斯之约,05,ui_cd_5,chronicle_name_6_5,chronicle_paratext_6_5,chronicle_desc_6_5,1
5890106,6,世界史,1,物种洗牌,06,ui_cd_6,chronicle_name_6_6,chronicle_paratext_6_6,chronicle_desc_6_6,1
5890107,6,世界史,1,黄金时代,07,ui_cd_7,chronicle_name_6_7,chronicle_paratext_6_7,chronicle_desc_6_7,1
5890108,6,世界史,1,圣龙战争,08,ui_cd_8,chronicle_name_6_8,chronicle_paratext_6_8,chronicle_desc_6_8,1
5890109,6,世界史,1,弑神,09,ui_cd_9,chronicle_name_6_9,chronicle_paratext_6_9,chronicle_desc_6_9,1
5890110,6,世界史,1,新的秩序,10,ui_cd_10,chronicle_name_6_10,chronicle_paratext_6_10,chronicle_desc_6_10,1
5890111,6,世界史,1,图拉哈崛起,11,ui_cd_11,chronicle_name_6_11,chronicle_paratext_6_11,chronicle_desc_6_11,1
5890112,6,世界史,1,风暴将至,12,ui_cd_12,chronicle_name_6_12,chronicle_paratext_6_12,chronicle_desc_6_12,1
5890113,6,世界史,1,我们的故事,13,ui_cd_13,chronicle_name_6_13,chronicle_paratext_6_13,chronicle_desc_6_13,1
5890201,7,米伦地理,1,米伦,01,ui_cd_milun,chronicle_name_7_1,chronicle_paratext_7_1,chronicle_desc_7_1,1
5890202,7,米伦地理,1,卢恩大道,02,ui_cd_luendadao,chronicle_name_7_2,chronicle_paratext_7_1,chronicle_desc_7_2,1
5890203,7,米伦地理,1,虔诚广场,03,ui_cd_qianchengguangchang,chronicle_name_7_3,chronicle_paratext_7_1,chronicle_desc_7_3,1
5890204,7,米伦地理,1,归墟,04,ui_cd_guixu,chronicle_name_7_4,chronicle_paratext_7_1,chronicle_desc_7_4,0
5890301,8,势力组织,1,真理圣殿,01,ui_cd_zhenlishengdian,chronicle_name_7_5,chronicle_paratext_7_1,chronicle_desc_8_1,1
5890302,8,势力组织,1,长老院,02,ui_cd_zhanglaoyuan,chronicle_name_7_6,chronicle_paratext_7_1,chronicle_desc_8_2,1
5890303,8,势力组织,1,审判所,03,ui_cd_shenpansuo,chronicle_name_7_7,chronicle_paratext_7_1,chronicle_desc_8_3,1
5890304,8,势力组织,1,神谕司,04,ui_cd_shenyusi,chronicle_name_7_8,chronicle_paratext_7_1,chronicle_desc_8_4,1
5890305,8,势力组织,1,神赦司,05,ui_cd_shenshesi,chronicle_name_7_9,chronicle_paratext_7_1,chronicle_desc_8_5,1
5890306,8,势力组织,1,神意司,06,ui_cd_shenyisi,chronicle_name_7_10,chronicle_paratext_7_1,chronicle_desc_8_6,1
5890307,8,势力组织,1,卡尔佩恩家族,07,ui_cd_kapeierenjiazu,chronicle_name_7_11,chronicle_paratext_7_1,chronicle_desc_8_7,1
5890308,8,势力组织,1,黑神家族,09,ui_cd_heishenjiazu,chronicle_name_7_12,chronicle_paratext_7_1,chronicle_desc_8_8,1
5890309,8,势力组织,1,艾露维尔家,11,ui_cd_ailuweierjiazu,chronicle_name_7_13,chronicle_paratext_7_1,chronicle_desc_8_9,1
5890310,8,势力组织,1,克莱因家族,08,ui_cd_kelaienjiazu,chronicle_name_7_14,chronicle_paratext_7_1,chronicle_desc_8_10,0
5890311,8,势力组织,1,艾林家族,10,ui_cd_ailinjiazu,chronicle_name_7_15,chronicle_paratext_7_1,chronicle_desc_8_11,0
5890312,8,势力组织,1,伊利斯家族,12,ui_cd_yisiljiazu,chronicle_name_7_16,chronicle_paratext_7_1,chronicle_desc_8_12,0
5890313,8,势力组织,1,水獭家,13,ui_cd_shuitajiazu,chronicle_name_7_17,chronicle_paratext_7_1,chronicle_desc_8_13,0
5890314,8,势力组织,1,海岩家,14,ui_cd_haiyanjiazu,chronicle_name_7_18,chronicle_paratext_7_1,chronicle_desc_8_14,0
5890401,9,人物事迹,2,主神,01,ui_dn_tj_npc_5890401,chronicle_name_9_1,0,chronicle_desc_9_1,1
5890402,9,人物事迹,2,杰西斯,02,ui_dn_tj_npc_5890402,chronicle_name_9_2,0,chronicle_desc_9_2,1
