Id,Exp,Restore,Ratio,BreakLimit
1,0,60,10,0
2,400,60,10,0
3,500,60,10,0
4,600,60,10,0
5,700,60,10,0
6,800,60,10,0
7,900,60,10,0
8,1000,60,10,0
9,1100,60,10,0
10,1200,60,10,0
11,1300,60,10,0
12,1400,60,10,0
13,1440,60,10,0
14,1480,60,10,0
15,1520,60,10,0
16,1560,60,10,0
17,1600,60,10,0
18,1640,60,10,0
19,1680,60,10,0
20,1720,60,10,0
21,1760,60,10,0
22,1800,60,10,0
23,1850,60,10,0
24,1900,60,10,0
25,1950,60,10,0
26,2000,60,10,0
27,2050,60,10,0
28,2100,60,10,0
29,2150,60,10,0
30,2200,60,10,0
31,2260,60,10,0
32,2330,60,10,0
33,2410,60,10,0
34,2500,60,10,0
35,2600,60,10,0
36,2710,60,10,0
37,2830,60,10,0
38,2960,60,10,0
39,3100,60,10,0
40,3250,60,10,0
41,3410,60,10,0
42,3580,60,10,0
43,3760,60,10,0
44,3950,60,10,0
45,4150,60,10,0
46,4360,60,10,0
47,4580,60,10,0
48,4810,60,10,0
49,5050,60,10,0
50,5320,60,10,0
51,5610,60,10,0
52,5920,60,10,0
53,6250,60,10,0
54,6600,60,10,0
55,6970,60,10,0
56,7360,60,10,0
57,7770,60,10,0
58,8200,60,10,0
59,8650,60,10,0
60,9120,60,10,0
61,9610,60,10,0
62,10120,60,10,0
63,10650,60,10,0
64,11200,60,10,0
65,11770,60,10,0
66,12360,60,10,0
67,12970,60,10,0
68,13600,60,10,0
69,14250,60,10,0
70,14920,60,10,0
71,15610,60,10,0
72,16320,60,10,0
73,17050,60,10,0
74,17800,60,10,0
75,18570,60,10,0
76,19360,60,10,0
77,20170,60,10,0
78,21000,60,10,0
79,21850,60,10,0
80,22750,60,10,0
81,23750,60,10,0
82,24850,60,10,0
83,26050,60,10,0
84,27350,60,10,0
85,28750,60,10,0
86,30250,60,10,0
87,31850,60,10,0
88,33550,60,10,0
89,35350,60,10,0
90,42550,60,10,0
91,49950,60,10,0
92,57550,60,10,0
93,65350,60,10,0
94,73350,60,10,0
95,81550,60,10,0
96,89950,60,10,0
97,98550,60,10,0
98,107350,60,10,0
99,116350,60,10,0
100,125550,60,10,0
