Id,Index,IndexType,Script,Title,Synopsis
101011,主线序章第1节（战前）,1,101011001,title_101011,Synopsis_101011
101012,主线序章第1节（战后）,1,101012001,title_101012,Synopsis_101012
103011,主线序章第3节（战前）,1,103011001,title_103011,Synopsis_103011
103012,主线序章第3节（战后）,1,103012001,title_103012,Synopsis_103012
105011,主线序章第5节（战前）,1,105011001,title_105011,Synopsis_105011
105012,主线序章第5节（战后）,1,105012001,title_105012,Synopsis_105012
107011,主线序章第7节（战前）,1,107011001,title_107011,Synopsis_107011
107012,主线序章第7节（战后）,1,107012001,title_107012,Synopsis_107012
109011,主线序章第9节（战前）,1,109011001,title_109011,Synopsis_109011
109012,主线序章第9节（战后）,1,109012001,title_109012,Synopsis_109012
111011,主线序章第11节（战前）,1,111011001,title_111011,Synopsis_111011
111012,主线序章第11节（战后）,1,111012001,title_111012,Synopsis_111012
113011,主线序章第13节（战前）,1,113011001,title_113011,Synopsis_113011
113012,主线序章第13节（战后）,1,113012001,title_113012,Synopsis_113012
101161,主线序章第16节,1,101161001,title_101161,Synopsis_101161
101201,主线序章第20节,1,101201001,title_101201,Synopsis_101201
101252,主线序章第25节,1,101252001,title_101252,Synopsis_101252
101302,主线序章第30节,1,101302001,title_101302,Synopsis_101302
