DressId,Level,,,,,AttrRefix
5002001,1,,,英灵羽饰,格蕾,"30130010,1"
5002001,2,,,英灵羽饰,格蕾,"30130010,2"
5002001,3,,,英灵羽饰,格蕾,"30130010,3"
5002001,4,,,英灵羽饰,格蕾,"30130010,4"
5002001,5,,,英灵羽饰,格蕾,"30130010,5"
5002001,6,,,英灵羽饰,格蕾,"30130010,6"
5002002,1,,,雷兽之尾,阿涅克丝,"30130030,1"
5002002,2,,,雷兽之尾,阿涅克丝,"30130030,2"
5002002,3,,,雷兽之尾,阿涅克丝,"30130030,3"
5002002,4,,,雷兽之尾,阿涅克丝,"30130030,4"
5002002,5,,,雷兽之尾,阿涅克丝,"30130030,5"
5002002,6,,,雷兽之尾,阿涅克丝,"30130030,6"
5002003,1,,,秩序羽翼,炽爱,"30130040,1"
5002003,2,,,秩序羽翼,炽爱,"30130040,2"
5002003,3,,,秩序羽翼,炽爱,"30130040,3"
5002003,4,,,秩序羽翼,炽爱,"30130040,4"
5002003,5,,,秩序羽翼,炽爱,"30130040,5"
5002003,6,,,秩序羽翼,炽爱,"30130040,6"
5002004,1,,,人鱼耳的模型,水仙,"30130060,1"
5002004,2,,,人鱼耳的模型,水仙,"30130060,2"
5002004,3,,,人鱼耳的模型,水仙,"30130060,3"
5002004,4,,,人鱼耳的模型,水仙,"30130060,4"
5002004,5,,,人鱼耳的模型,水仙,"30130060,5"
5002004,6,,,人鱼耳的模型,水仙,"30130060,6"
5002005,1,,,游侠勋章,菲莉希亚,"30130070,1"
5002005,2,,,游侠勋章,菲莉希亚,"30130070,2"
5002005,3,,,游侠勋章,菲莉希亚,"30130070,3"
5002005,4,,,游侠勋章,菲莉希亚,"30130070,4"
5002005,5,,,游侠勋章,菲莉希亚,"30130070,5"
5002005,6,,,游侠勋章,菲莉希亚,"30130070,6"
5002006,1,,,红色咔呢,梅露特,"30130080,1"
5002006,2,,,红色咔呢,梅露特,"30130080,2"
5002006,3,,,红色咔呢,梅露特,"30130080,3"
5002006,4,,,红色咔呢,梅露特,"30130080,4"
5002006,5,,,红色咔呢,梅露特,"30130080,5"
5002006,6,,,红色咔呢,梅露特,"30130080,6"
5002007,1,,,魔术师帽,奈奈芙,"30130090,1"
5002007,2,,,魔术师帽,奈奈芙,"30130090,2"
5002007,3,,,魔术师帽,奈奈芙,"30130090,3"
5002007,4,,,魔术师帽,奈奈芙,"30130090,4"
5002007,5,,,魔术师帽,奈奈芙,"30130090,5"
5002007,6,,,魔术师帽,奈奈芙,"30130090,6"
5002008,1,,,药香绒尾,玛瑙,"30130140,1"
5002008,2,,,药香绒尾,玛瑙,"30130140,2"
5002008,3,,,药香绒尾,玛瑙,"30130140,3"
5002008,4,,,药香绒尾,玛瑙,"30130140,4"
5002008,5,,,药香绒尾,玛瑙,"30130140,5"
5002008,6,,,药香绒尾,玛瑙,"30130140,6"
5002009,1,,,白蕊纸贴,哀歌,"30130150,1"
5002009,2,,,白蕊纸贴,哀歌,"30130150,2"
5002009,3,,,白蕊纸贴,哀歌,"30130150,3"
5002009,4,,,白蕊纸贴,哀歌,"30130150,4"
5002009,5,,,白蕊纸贴,哀歌,"30130150,5"
5002009,6,,,白蕊纸贴,哀歌,"30130150,6"
5002010,1,,,兔子的耳朵,波斯菊,"30130170,1"
5002010,2,,,兔子的耳朵,波斯菊,"30130170,2"
5002010,3,,,兔子的耳朵,波斯菊,"30130170,3"
5002010,4,,,兔子的耳朵,波斯菊,"30130170,4"
5002010,5,,,兔子的耳朵,波斯菊,"30130170,5"
5002010,6,,,兔子的耳朵,波斯菊,"30130170,6"
5002011,1,,,优雅缎带,爱琳,"30130180,1"
5002011,2,,,优雅缎带,爱琳,"30130180,2"
5002011,3,,,优雅缎带,爱琳,"30130180,3"
5002011,4,,,优雅缎带,爱琳,"30130180,4"
5002011,5,,,优雅缎带,爱琳,"30130180,5"
5002011,6,,,优雅缎带,爱琳,"30130180,6"
5002012,1,,,偶像纹身贴纸,库萝心,"30130190,1"
5002012,2,,,偶像纹身贴纸,库萝心,"30130190,2"
5002012,3,,,偶像纹身贴纸,库萝心,"30130190,3"
5002012,4,,,偶像纹身贴纸,库萝心,"30130190,4"
5002012,5,,,偶像纹身贴纸,库萝心,"30130190,5"
5002012,6,,,偶像纹身贴纸,库萝心,"30130190,6"
5002013,1,,,女巫肤色,维达,"30130200,1"
5002013,2,,,女巫肤色,维达,"30130200,2"
5002013,3,,,女巫肤色,维达,"30130200,3"
5002013,4,,,女巫肤色,维达,"30130200,4"
5002013,5,,,女巫肤色,维达,"30130200,5"
5002013,6,,,女巫肤色,维达,"30130200,6"
5002014,1,,,骑士肩甲,莱拉,"30130220,1"
5002014,2,,,骑士肩甲,莱拉,"30130220,2"
5002014,3,,,骑士肩甲,莱拉,"30130220,3"
5002014,4,,,骑士肩甲,莱拉,"30130220,4"
5002014,5,,,骑士肩甲,莱拉,"30130220,5"
5002014,6,,,骑士肩甲,莱拉,"30130220,6"
5002015,1,,,精灵飘带,芙洛拉,"30130230,1"
5002015,2,,,精灵飘带,芙洛拉,"30130230,2"
5002015,3,,,精灵飘带,芙洛拉,"30130230,3"
5002015,4,,,精灵飘带,芙洛拉,"30130230,4"
5002015,5,,,精灵飘带,芙洛拉,"30130230,5"
5002015,6,,,精灵飘带,芙洛拉,"30130230,6"
5002017,1,,,平衡呆毛,多萝西,"30130250,1"
5002017,2,,,平衡呆毛,多萝西,"30130250,2"
5002017,3,,,平衡呆毛,多萝西,"30130250,3"
5002017,4,,,平衡呆毛,多萝西,"30130250,4"
5002017,5,,,平衡呆毛,多萝西,"30130250,5"
5002017,6,,,平衡呆毛,多萝西,"30130250,6"
5002018,1,,,胡狼尾饰,普琳普顿,"30140010,1"
5002018,2,,,胡狼尾饰,普琳普顿,"30140010,2"
5002018,3,,,胡狼尾饰,普琳普顿,"30140010,3"
5002018,4,,,胡狼尾饰,普琳普顿,"30140010,4"
5002018,5,,,胡狼尾饰,普琳普顿,"30140010,5"
5002018,6,,,胡狼尾饰,普琳普顿,"30140010,6"
5002019,1,,,澄澈之心,焰心,"30140030,1"
5002019,2,,,澄澈之心,焰心,"30140030,2"
5002019,3,,,澄澈之心,焰心,"30140030,3"
5002019,4,,,澄澈之心,焰心,"30140030,4"
5002019,5,,,澄澈之心,焰心,"30140030,5"
5002019,6,,,澄澈之心,焰心,"30140030,6"
5002020,1,,,白犀号角,索菲,"30140040,1"
5002020,2,,,白犀号角,索菲,"30140040,2"
5002020,3,,,白犀号角,索菲,"30140040,3"
5002020,4,,,白犀号角,索菲,"30140040,4"
5002020,5,,,白犀号角,索菲,"30140040,5"
5002020,6,,,白犀号角,索菲,"30140040,6"
5002021,1,,,天明鹿角,弥生,"30140050,1"
5002021,2,,,天明鹿角,弥生,"30140050,2"
5002021,3,,,天明鹿角,弥生,"30140050,3"
5002021,4,,,天明鹿角,弥生,"30140050,4"
5002021,5,,,天明鹿角,弥生,"30140050,5"
5002021,6,,,天明鹿角,弥生,"30140050,6"
5002022,1,,,绿色领结,未来,"30140120,1"
5002022,2,,,绿色领结,未来,"30140120,2"
5002022,3,,,绿色领结,未来,"30140120,3"
5002022,4,,,绿色领结,未来,"30140120,4"
5002022,5,,,绿色领结,未来,"30140120,5"
5002022,6,,,绿色领结,未来,"30140120,6"
5002023,1,,,紧急创可贴,杏林,"30140160,1"
5002023,2,,,紧急创可贴,杏林,"30140160,2"
5002023,3,,,紧急创可贴,杏林,"30140160,3"
5002023,4,,,紧急创可贴,杏林,"30140160,4"
5002023,5,,,紧急创可贴,杏林,"30140160,5"
5002023,6,,,紧急创可贴,杏林,"30140160,6"
5002024,1,,,旅行腰包,诗娅,"30140180,1"
5002024,2,,,旅行腰包,诗娅,"30140180,2"
5002024,3,,,旅行腰包,诗娅,"30140180,3"
5002024,4,,,旅行腰包,诗娅,"30140180,4"
5002024,5,,,旅行腰包,诗娅,"30140180,5"
5002024,6,,,旅行腰包,诗娅,"30140180,6"
5002025,1,,,魅影腰带,艾什尔,"30140190,1"
5002025,2,,,魅影腰带,艾什尔,"30140190,2"
5002025,3,,,魅影腰带,艾什尔,"30140190,3"
5002025,4,,,魅影腰带,艾什尔,"30140190,4"
5002025,5,,,魅影腰带,艾什尔,"30140190,5"
5002025,6,,,魅影腰带,艾什尔,"30140190,6"
5002026,1,,,冷酷贴纸,阿波菲斯,"30140200,1"
5002026,2,,,冷酷贴纸,阿波菲斯,"30140200,2"
5002026,3,,,冷酷贴纸,阿波菲斯,"30140200,3"
5002026,4,,,冷酷贴纸,阿波菲斯,"30140200,4"
5002026,5,,,冷酷贴纸,阿波菲斯,"30140200,5"
5002026,6,,,冷酷贴纸,阿波菲斯,"30140200,6"
5002027,1,,,小恶魔尾,纳菲,"30140210,1"
5002027,2,,,小恶魔尾,纳菲,"30140210,2"
5002027,3,,,小恶魔尾,纳菲,"30140210,3"
5002027,4,,,小恶魔尾,纳菲,"30140210,4"
5002027,5,,,小恶魔尾,纳菲,"30140210,5"
5002027,6,,,小恶魔尾,纳菲,"30140210,6"
5002028,1,,,爱神礼帽,丘吉尔,"30140220,1"
5002028,2,,,爱神礼帽,丘吉尔,"30140220,2"
5002028,3,,,爱神礼帽,丘吉尔,"30140220,3"
5002028,4,,,爱神礼帽,丘吉尔,"30140220,4"
5002028,5,,,爱神礼帽,丘吉尔,"30140220,5"
5002028,6,,,爱神礼帽,丘吉尔,"30140220,6"
5002029,1,,,曜日天冠,神光,"30140230,1"
5002029,2,,,曜日天冠,神光,"30140230,2"
5002029,3,,,曜日天冠,神光,"30140230,3"
5002029,4,,,曜日天冠,神光,"30140230,4"
5002029,5,,,曜日天冠,神光,"30140230,5"
5002029,6,,,曜日天冠,神光,"30140230,6"
5002030,1,,,忍者面罩,雷雷,"30140240,1"
5002030,2,,,忍者面罩,雷雷,"30140240,2"
5002030,3,,,忍者面罩,雷雷,"30140240,3"
5002030,4,,,忍者面罩,雷雷,"30140240,4"
5002030,5,,,忍者面罩,雷雷,"30140240,5"
5002030,6,,,忍者面罩,雷雷,"30140240,6"
5002031,1,,,魔偶发型,安普莎,"30140250,1"
5002031,2,,,魔偶发型,安普莎,"30140250,2"
5002031,3,,,魔偶发型,安普莎,"30140250,3"
5002031,4,,,魔偶发型,安普莎,"30140250,4"
5002031,5,,,魔偶发型,安普莎,"30140250,5"
5002031,6,,,魔偶发型,安普莎,"30140250,6"
5002032,1,,,炎之獠牙,库萝爱,"30140260,1"
5002032,2,,,炎之獠牙,库萝爱,"30140260,2"
5002032,3,,,炎之獠牙,库萝爱,"30140260,3"
5002032,4,,,炎之獠牙,库萝爱,"30140260,4"
5002032,5,,,炎之獠牙,库萝爱,"30140260,5"
5002032,6,,,炎之獠牙,库萝爱,"30140260,6"
5002033,1,,,命定宣告,贝拉,"30140270,1"
5002033,2,,,命定宣告,贝拉,"30140270,2"
5002033,3,,,命定宣告,贝拉,"30140270,3"
5002033,4,,,命定宣告,贝拉,"30140270,4"
5002033,5,,,命定宣告,贝拉,"30140270,5"
5002033,6,,,命定宣告,贝拉,"30140270,6"
5002034,1,,,童话甜点,贝儿,"30140290,1"
5002034,2,,,童话甜点,贝儿,"30140290,2"
5002034,3,,,童话甜点,贝儿,"30140290,3"
5002034,4,,,童话甜点,贝儿,"30140290,4"
5002034,5,,,童话甜点,贝儿,"30140290,5"
5002034,6,,,童话甜点,贝儿,"30140290,6"
5002035,1,,,纯洁恋情,安娜,"30140300,1"
5002035,2,,,纯洁恋情,安娜,"30140300,2"
5002035,3,,,纯洁恋情,安娜,"30140300,3"
5002035,4,,,纯洁恋情,安娜,"30140300,4"
5002035,5,,,纯洁恋情,安娜,"30140300,5"
5002035,6,,,纯洁恋情,安娜,"30140300,6"
5002036,1,,,崇高龙尾,丹妮,"30150020,1"
5002036,2,,,崇高龙尾,丹妮,"30150020,2"
5002036,3,,,崇高龙尾,丹妮,"30150020,3"
5002036,4,,,崇高龙尾,丹妮,"30150020,4"
5002036,5,,,崇高龙尾,丹妮,"30150020,5"
5002036,6,,,崇高龙尾,丹妮,"30150020,6"
5002037,1,,,水色睿智,耶坦尼娅,"30150040,1"
5002037,2,,,水色睿智,耶坦尼娅,"30150040,2"
5002037,3,,,水色睿智,耶坦尼娅,"30150040,3"
5002037,4,,,水色睿智,耶坦尼娅,"30150040,4"
5002037,5,,,水色睿智,耶坦尼娅,"30150040,5"
5002037,6,,,水色睿智,耶坦尼娅,"30150040,6"
5002038,1,,,纯洁祈愿,希夕莉,"30150060,1"
5002038,2,,,纯洁祈愿,希夕莉,"30150060,2"
5002038,3,,,纯洁祈愿,希夕莉,"30150060,3"
5002038,4,,,纯洁祈愿,希夕莉,"30150060,4"
5002038,5,,,纯洁祈愿,希夕莉,"30150060,5"
5002038,6,,,纯洁祈愿,希夕莉,"30150060,6"
5002039,1,,,夜之肌肤,萨拉,"30150070,1"
5002039,2,,,夜之肌肤,萨拉,"30150070,2"
5002039,3,,,夜之肌肤,萨拉,"30150070,3"
5002039,4,,,夜之肌肤,萨拉,"30150070,4"
5002039,5,,,夜之肌肤,萨拉,"30150070,5"
5002039,6,,,夜之肌肤,萨拉,"30150070,6"
5002040,1,,,“尽头”,牧,"30150080,1"
5002040,2,,,“尽头”,牧,"30150080,2"
5002040,3,,,“尽头”,牧,"30150080,3"
5002040,4,,,“尽头”,牧,"30150080,4"
5002040,5,,,“尽头”,牧,"30150080,5"
5002040,6,,,“尽头”,牧,"30150080,6"
5002041,1,,,纯白龙尾,吉拉蒂亚,"30160090,1"
5002041,2,,,纯白龙尾,吉拉蒂亚,"30160090,2"
5002041,3,,,纯白龙尾,吉拉蒂亚,"30160090,3"
5002041,4,,,纯白龙尾,吉拉蒂亚,"30160090,4"
5002041,5,,,纯白龙尾,吉拉蒂亚,"30160090,5"
5002041,6,,,纯白龙尾,吉拉蒂亚,"30160090,6"
5002042,1,,,鬼魅幽兰,卡萝琳,"30160110,1"
5002042,2,,,鬼魅幽兰,卡萝琳,"30160110,2"
5002042,3,,,鬼魅幽兰,卡萝琳,"30160110,3"
5002042,4,,,鬼魅幽兰,卡萝琳,"30160110,4"
5002042,5,,,鬼魅幽兰,卡萝琳,"30160110,5"
5002042,6,,,鬼魅幽兰,卡萝琳,"30160110,6"
5002043,1,,,青蛙发带,克尔苏娜,"30160130,1"
5002043,2,,,青蛙发带,克尔苏娜,"30160130,2"
5002043,3,,,青蛙发带,克尔苏娜,"30160130,3"
5002043,4,,,青蛙发带,克尔苏娜,"30160130,4"
5002043,5,,,青蛙发带,克尔苏娜,"30160130,5"
5002043,6,,,青蛙发带,克尔苏娜,"30160130,6"
5002044,1,,,颂诗胸针,罗莎莉,"30160170,1"
5002044,2,,,颂诗胸针,罗莎莉,"30160170,2"
5002044,3,,,颂诗胸针,罗莎莉,"30160170,3"
