Rank,Id,Exp,AttrUp
2,1,20,
2,2,30,
2,3,40,
2,4,50,
2,5,60,
2,6,70,
2,7,80,
2,8,90,
2,9,100,
2,10,0,
3,1,20,
3,2,30,
3,3,40,
3,4,50,
3,5,60,
3,6,70,
3,7,80,
3,8,90,
3,9,100,
3,10,110,
3,11,120,
3,12,130,
3,13,140,
3,14,150,
3,15,160,
3,16,170,
3,17,180,
3,18,190,
3,19,200,
3,20,0,
4,1,20,
4,2,30,
4,3,40,
4,4,50,
4,5,60,
4,6,70,
4,7,80,
4,8,90,
4,9,100,
4,10,110,
4,11,120,
4,12,130,
4,13,140,
4,14,150,
4,15,160,
4,16,170,
4,17,180,
4,18,190,
4,19,200,
4,20,210,
4,21,220,
4,22,230,
4,23,240,
4,24,250,
4,25,260,
4,26,270,
4,27,280,
4,28,290,
4,29,300,
4,30,0,
