Id,,RoleId,PositionX,PositionY,PositionZ,FocalLength,Rotation
1,外观系统,3000001,30,149,-786,40,15500
1,外观系统,3000002,33,115,-786,45,15500
1,外观系统,3000003,30,149,-786,40,16600
1,外观系统,3000004,30,149,-786,40,17000
1,外观系统,3000005,30,149,-786,40,17000
1,外观系统,3000006,30,130,-786,40,16600
2,外观系统,3000001,30,134,-1200,40,18000
2,外观系统,3000002,33,100,-786,45,18000
2,外观系统,3000003,30,134,-1200,40,18000
2,外观系统,3000004,30,134,-1200,40,18000
2,外观系统,3000005,30,134,-1200,40,18000
2,外观系统,3000006,30,125,-1200,40,18000
3,外观系统,3000001,43,117,-2000,55,18000
3,外观系统,3000002,46,88,-2000,60,18000
3,外观系统,3000003,43,117,-2000,55,18000
3,外观系统,3000004,43,117,-2000,55,18000
3,外观系统,3000005,43,117,-2000,55,18000
3,外观系统,3000006,43,110,-2000,55,18000
4,外观系统,3000001,73,88,-2425,90,15000
4,外观系统,3000002,73,87,-2425,90,15000
4,外观系统,3000003,73,88,-2425,90,16600
4,外观系统,3000004,73,88,-2425,90,17000
4,外观系统,3000005,73,88,-2425,90,15000
4,外观系统,3000006,73,88,-2425,85,16600
5,外观系统,3000001,73,88,-2500,90,18000
5,外观系统,3000002,73,87,-2500,90,18000
5,外观系统,3000003,73,88,-2500,90,18000
5,外观系统,3000004,73,88,-2500,90,18000
5,外观系统,3000005,73,88,-2500,90,18000
5,外观系统,3000006,73,88,-2500,85,18000
