Rank,BreakLv,LvMax,ContractLvMax,AttrRefixId,StarUp,ConsumeItem,RewardItem
3,0,180,0,,,"1006699,1;1000003,100000","1001064,1200"
3,1,181,15,"30200001,1;30200002,1;30200003,1;30200004,1",2,"1006699,1;1000003,100000","1001063,80"
3,2,182,30,"30200001,1;30200002,1;30200003,1;30200004,1",,"1006699,2;1000003,100000","1001063,80;1001064,1200"
3,3,183,50,"30200001,1;30200002,1;30200003,1;30200004,1",,,
4,0,180,0,,,"1006699,1;1000003,100000","1001064,1200"
4,1,181,15,"30200001,1;30200002,1;30200003,1;30200004,1",1,"1006699,1;1000003,100000","1001063,80"
4,2,182,30,"30200001,1;30200002,1;30200003,1;30200004,1",,"1006699,2;1000003,100000","1001063,80;1001064,1200"
4,3,183,50,"30200001,1;30200002,1;30200003,1;30200004,1",,,
5,0,180,0,,,"1006699,1;1000003,100000","1001064,1200"
5,1,181,15,"30200001,1;30200002,1;30200003,1;30200004,1",,"1006699,1;1000003,100000","1001063,80"
5,2,182,30,"30200001,1;30200002,1;30200003,1;30200004,1",,"1006699,2;1000003,100000","1001063,80;1001064,1200"
5,3,183,50,"30200001,1;30200002,1;30200003,1;30200004,1",,,
