Id,ResourceName,,DefaultBg,icon
0,Default,,,
1979000,biandui,指挥室,,
1979001,Main_Scene_02_new,主场景,,
1979002,loadScene,登录,,
1979003,StoryScene,剧情,,
1979004,1979004_zhaohuan_01,召唤,,
1979005,1979005_qiandao_01,签到,,
1979006,professionScene,魔女天赋场景,,
1979100,Tushuguan,图书馆,,
1979101,AnmoshiScene,按摩室,,
1979102,Wenquan001,温泉,,
1979103,fuyinshengdian,真理圣殿,,
1979104,Canting,餐厅,,
1979105,Qiandaochangjing,签到,,
1979106,1979106_wenquan_01,温泉新,,
1979107,1979107_fuyinshengdian_01,新真理圣殿,,
1979108,1979108_canting_01,新餐厅,,
1979109,1979109_zizhai_01,自宅,,
1979110,1979110_tushuguan_01,图书馆,,
1979111,1979111_yugang_01,鱼缸,,
1979112,1979112_diaoyuchang_01,钓鱼场,,
1979113,1979113_paomachangguanjingtai_01,跑马场观景台,,
1979114,1979114_saimachang_01,赛马场,,
1979115,1979115_diaoyuchang_01,冰原,,
1979116,1979116_diaoyuchang_01,沙滩,,
1979117,1979117_diaoyuchang_01,运河,,
1979118,1979118_diaoyuchang_01,森林,,
1979119,1979119_nongchang_01,农场,,
1979200,Fightscene2_prefab,红宝石圆盘,,
1979201,Fightscene_dilao_prefab,地牢,,
1979202,1979202_huayuan_01,花园,,ui_gw_cj_2
1979203,1979203_shanding_01,山顶,,ui_gw_cj_4
1979204,1979204_jiedao_01,街道白天,,ui_gw_cj_3
1979205,1979205_jiedao_01,街道夜晚,,ui_gw_cj_12
1979206,1979206_baoshi_01,暴食,,ui_gw_cj_5
1979207,1979207_seyu_01,色欲,fuyin_jn_bg_02,
1979208,1979208_dijiao_01,地窖,,ui_gw_cj_7
1979209,1979209_daqiao_01,大桥白天,,ui_gw_cj_1
1979210,1979210_daqiao_01,大桥夜晚,,ui_gw_cj_10
1979211,1979211_fennu_01,愤怒,,
1979212,1979212_fennu_01,愤怒 风雪,,
1979213,1979213_yanhui_01,宴会,,
1979214,1979214_jidu_01,嫉妒,,
1979215,1979215_xiaoxiangzi_01,小巷子打架,,
1979217,1979217_xunlianchang_01,训练场白天,,
1979218,1979218_tiankongzhandou_01,序章场景（空岛）,,ui_gw_cj_8
1979219,1979219_xunlianchang_01,训练场晚上,,
1979220,1979220_huayuan_01,花园夜晚,,ui_gw_cj_11
1979701,1979701_yinghuadao_01,黑神奥义,,
1979120,1979120_choujiang_01,,,
1979216,1979216_chengshibianyuan_01,,,
2000000,1979001_main_scene_02_new,,,
2000001,CenterScene,,,
1979221,1979221_xiaoxiangzi_01,小巷子晚上,,
1979222,1979222_simiao_01,桃活动场景,,
1979223,1979223_xiashuidao_01,下水道,,
1979224,1979224_gaota_01,高塔,,ui_gw_cj_9
1979225,1979225_huangye_01,荒野,,ui_gw_cj_6
1979227,1979227_xinnian_01,年兽战斗场景,,
2000002,2000002_guild_horse_race,公会赛马场景,,
2000003,Summon_Card_Scene,集换卡开包场景,,
101,1979202_huayuan_01,花园（魔物列阵专用）,,ui_gw_cj_2
102,1979203_shanding_01,山顶（魔物列阵专用）,,ui_gw_cj_4
103,1979204_jiedao_01,街道白天（魔物列阵专用）,,ui_gw_cj_3
104,1979205_jiedao_01,街道夜晚（魔物列阵专用）,,ui_gw_cj_12
105,1979206_baoshi_01,暴食（魔物列阵专用）,,ui_gw_cj_5
106,1979208_dijiao_01,地窖（魔物列阵专用）,,ui_gw_cj_7
107,1979209_daqiao_01,大桥白天（魔物列阵专用）,,ui_gw_cj_1
108,1979210_daqiao_01,大桥夜晚（魔物列阵专用）,,ui_gw_cj_10
109,1979218_tiankongzhandou_01,序章场景（空岛）（魔物列阵专用）,,ui_gw_cj_8
110,1979220_huayuan_01,花园夜晚（魔物列阵专用）,,ui_gw_cj_11
111,1979224_gaota_01,高塔（魔物列阵专用）,,ui_gw_cj_9
112,1979225_huangye_01,荒野（魔物列阵专用）,,ui_gw_cj_6
