Id,,BuffIcon,WordName,,HitEffect,EffectIcon,TriggerEffect,Effect,EffectPosition,EndEffect,Action,HeadShow
4000000,弱点击破状态,,skillshow_name_4000000,弱点击破状态,,,,,,,,0
4000001,攻击力增加,atk_up,skillshow_name_4000001,攻击力增加,eft_buff_attack_up,,,,,,,0
4000002,防御力增加,def_up,skillshow_name_4000002,防御力增加,eft_buff_defense_up,,,,,,,0
4000003,伤害增加,damage_up,skillshow_name_4000003,$[Attribute_Name_112]增加,eft_buff_attack_up,,,,,,,0
4000004,魔女普攻伤害增加,skill_attack_damage_up,skillshow_name_4000004,魔女普攻伤害增加,eft_buff_attack_up,,,,,,,0
4000005,魔女奥义伤害增加,skill_aoyi_damage_up,skillshow_name_4000005,魔女奥义伤害增加,eft_buff_attack_up,,,,,,,0
4000006,魔女QTE伤害增加,skill_qte_damage_up,skillshow_name_4000006,连携伤害增加,eft_buff_attack_up,,,,,,,0
4000007,星痕技能伤害增加,skill_gospelattack_damage_up,skillshow_name_4000007,星痕技能伤害增加,eft_buff_attack_up,,,,,,,0
4000008,所有技能伤害增加,skill_gospelattack_resist_up,skillshow_name_4000008,所有技能伤害增加,eft_buff_defense_up,,,,,,,0
4000009,魔女普攻伤害增加,skill_attack_resist_up,skillshow_name_4000009,魔女普攻伤害增加,eft_buff_defense_up,,,,,,,0
4000010,魔女奥义伤害增加,skill_aoyi_resist_up,skillshow_name_4000010,魔女奥义伤害增加,eft_buff_defense_up,,,,,,,0
4000011,魔女QTE伤害增加,skill_qte_resist_up,skillshow_name_4000011,连携伤害增加,eft_buff_defense_up,,,,,,,0
4000012,星痕技能伤害增加,skill_gospelattack_resist_up,skillshow_name_4000012,星痕技能伤害增加,eft_buff_defense_up,,,,,,,0
4000013,种族伤害增加,damage_race_up,skillshow_name_4000013,职阶伤害增加,eft_buff_attack_up,,,,,,,0
4000014,诞生伤害增加,damage_birth_up,skillshow_name_4000014,诞生伤害增加,eft_buff_attack_up,,,,,,,0
4000015,君王伤害增加,damage_monarch_up,skillshow_name_4000015,君王伤害增加,eft_buff_attack_up,,,,,,,0
4000016,传道伤害增加,damage_evangelism_up,skillshow_name_4000016,传道伤害增加,eft_buff_attack_up,,,,,,,0
4000017,仆从伤害增加,damage_servant_up,skillshow_name_4000017,仆从伤害增加,eft_buff_attack_up,,,,,,,0
4000018,神子伤害增加,damage_son_of_god_up,skillshow_name_4000018,神子伤害增加,eft_buff_attack_up,,,,,,,0
4000019,受难伤害增加,damage_crucifixion_up,skillshow_name_4000019,受难伤害增加,eft_buff_attack_up,,,,,,,0
4000020,人子伤害增加,damage_son_of_man_up,skillshow_name_4000020,人子伤害增加,eft_buff_attack_up,,,,,,,0
4000021,种族伤害增加,damage_reduce_race_up,skillshow_name_4000021,职阶伤害增加,eft_buff_defense_up,,,,,,,0
4000022,诞生伤害增加,damage_reduce_birth_up,skillshow_name_4000022,诞生伤害增加,eft_buff_defense_up,,,,,,,0
4000023,君王伤害增加,damage_reduce_monarch_up,skillshow_name_4000023,君王伤害增加,eft_buff_defense_up,,,,,,,0
4000024,传道伤害增加,damage_reduce_evangelism_up,skillshow_name_4000024,传道伤害增加,eft_buff_defense_up,,,,,,,0
4000025,仆从伤害增加,damage_reduce_servant_up,skillshow_name_4000025,仆从伤害增加,eft_buff_defense_up,,,,,,,0
4000026,神子伤害增加,damage_reduce_son_of_god_up,skillshow_name_4000026,神子伤害增加,eft_buff_defense_up,,,,,,,0
4000027,受难伤害增加,damage_reduce_crucifixion_up,skillshow_name_4000027,受难伤害增加,eft_buff_defense_up,,,,,,,0
4000028,人子伤害增加,damage_reduce_son_of_man_up,skillshow_name_4000028,人子伤害增加,eft_buff_defense_up,,,,,,,0
4000029,弱点特效增加,break_power_up,skillshow_name_4000029,压制效果增加,eft_buff_weakness_up,,,,,,,0
4000030,伤害追加增加,be_break_power_up,skillshow_name_4000030,伤害追加增加,eft_buff_attack_up,,,,,,,0
4000031,伤害减免增加,damage_resist_up,skillshow_name_4000031,伤害减免提升,eft_buff_defense_up,,,,,,,0
4000032,赋予回复,heal_effect_up,skillshow_name_4000032,赋予回复,eft_buff_health_up,,,,,,,0
4000033,最大生命值增加,hp_up,skillshow_name_4000033,最大生命值增加,eft_buff_health_up,,,,,,,0
4000034,治疗效果增加,hp_up,skillshow_name_4000034,治疗效果增加,eft_buff_health_up,,,,,,,0
4000035,受到治疗效果增加,hp_up,skillshow_name_4000035,受到治疗效果增加,eft_buff_health_up,,,,,,,0
4000036,BP效率增加,bp_efficiency_up,skillshow_name_4000036,[att=137]增加,eft_buff_bp_up,,,,,,,0
4000037,攻击BP效率增加,bp_attack_efficiency_up,skillshow_name_4000037,攻击获能增加,eft_buff_bp_up,,,,,,,0
