id,,loop,music_id,file_name,suchname
8110002,界面_登录,1,8120041,bgm_JieMian_DengLu,bgm_DengLu
8110003,界面_主界面,1,8120043,bgm_JieMian_ZhuJieMian,bgm_Main
8110004,界面_管理,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_GuanLi
8110005,界面_星痕养成,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_XingHenYangCheng
8110006,界面_魔女养成,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_MoNvYangCheng
8110007,界面_日常,1,8120053,bgm_RiChang_TongYong,bgm_RiChang
8110008,界面_餐厅,1,8120048,bgm_RiChang_ShuHuan,bgm_CanTing
8110009,界面_自宅,1,8120049,bgm_RiChang_WenXin,bgm_ZiZhai
8110010,界面_真理圣殿,1,8120051,bgm_RiChang_YouXian,bgm_XingHenShengDian
8110011,界面_图书馆,1,8120050,bgm_RiChang_XiuXian,bgm_TuShuGuan
8110012,界面_签到,1,8120044,bgm_JieMian_QianDao,bgm_QianDao
8110013,界面_仓库,1,,bgm_FuYin,bgm_CangKu
8110014,界面_档案,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_DangAn
8110015,界面_好友,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_HaoYou
8110016,界面_任务,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_RenWu
8110017,界面_召唤,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_ZhaoHuan
8110018,界面_商城,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_ShangCheng
8110019,界面_出击,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_ChuJi
8110020,宝库之门_黄金宝藏,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_HuangJinBaoZang
8110021,宝库之门_秩序洪流,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_ZhiXuHongLiu
8110022,宝库之门_虚空秘境,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_XuKongMiJing
8110023,宝库之门_传颂记忆,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_ChuanSongJiYi
8110024,宝库之门_神子记忆,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_ShenZiJiYi
8110025,宝库之门_深渊记忆,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_ShenYuanJiYi
8110026,宝库之门_诞生记忆,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_DanShengJiYi
8110027,宝库之门_君王记忆,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_JunWangJiYi
8110028,宝库之门_仆从记忆,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_PuCongJiYi
8110029,宝库之门_人子记忆,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_RenZiJiYi
8110030,主线剧情_第1章,1,8120015,bgm_ZhangJie_1,bgm_JuQing1
8110031,主线剧情_第2章,1,8120016,bgm_ZhangJie_2,bgm_JuQing2
8110032,主线剧情_第3章,1,8120017,bgm_ZhangJie_3,bgm_JuQing3
8110033,主线剧情_第4章,1,8120018,bgm_ZhangJie_4,bgm_JuQing4
8110034,主线剧情_第5章,1,8120019,bgm_ZhangJie_5,bgm_JuQing5
8110035,主线剧情_第6章,1,8120019,bgm_ZhangJie_5,bgm_JuQing6
8110036,主线剧情_第7章,1,8120019,bgm_ZhangJie_5,bgm_JuQing7
8110037,主线剧情_困难难度,1,8120020,bgm_ZhangJie_KunNan,bgm_Jiuchandejiban
8110038,普通战斗 通用,1,8120060,bgm_ZhanDou_TongYong_02,bgm_ZhanDou
8110039,精英战斗 通用,1,8120059,bgm_ZhanDou_TongYong_01,bgm_JingYingZhanDou
8110040,第1章BOSS,1,8120064,bgm_ZhanDou_JiQing_01,bgm_Boss1
8110041,第2章BOSS,1,8120054,bgm_ZhanDou_Boss_BaoShi,bgm_Boss2
8110042,第3章BOSS,1,8120064,bgm_ZhanDou_JiQing_01,bgm_Boss3
8110043,第4章BOSS,1,8120055,bgm_ZhanDou_Boss_SeYu,bgm_Boss4
8110044,第5章BOSS,1,8120064,bgm_ZhanDou_JiQing_01,bgm_Boss5
8110045,第6章BOSS,1,8120064,bgm_ZhanDou_JiQing_01,bgm_Boss6
8110046,第7章BOSS,1,8120064,bgm_ZhanDou_JiQing_01,bgm_Boss7
8110047,战斗 胜利,1,8120068,bgm_ZhanDou_ShengLi,bgm_FightWin
8110048,战斗 失败,1,8120069,bgm_ZhanDou_ShiBai,bgm_FightLose
8110049,档案室_编年史,1,8120027,bgm_JuQing_TongYong_HuiYi,bgm_BNS
8110050,档案室_编年史_星海往事,1,8120001,bgm_BianNianShi_01_star_ocean_past,bgm_BNS_XingHaiWangShi
8110051,档案室_编年史_创世纪,1,8120002,bgm_BianNianShi_02_genesis,bgm_BNS_ChuangShiJi
8110052,档案室_编年史_禁忌之轮,1,8120003,bgm_BianNianShi_03_taboo_and_betrayal,bgm_BNS_JingJiZhiLun
8110053,档案室_编年史_上古之战,1,8120004,bgm_BianNianShi_04_battle_of_the_ancients,bgm_BNS_ShangGuZhiZhan
8110054,档案室_编年史_杰西斯之约,1,8120005,bgm_BianNianShi_05_appointment_with_jessis,bgm_BNS_JieXiSiZhiYue
8110055,档案室_编年史_物种洗牌,1,8120006,bgm_BianNianShi_06_species_shuffle,bgm_BNS_WuZhongXiPai
