StageId,PreStage,Show,Name,StageNumber,,StageOrder,Type,MainStage,BossTitle,FirstRawardMission,ThreeStarMission,ThreeStarReward,OpenCondition,WinCondition,WinConditionLevelRefix,LoseCondition,LoseConditionLevelRefix,ItemConsume,MaxRound,Power,TaskReward,ChapterId,ChapterMapId,StageTime,MonsterId,SuggestGospel,StageMonsterAttrBuff,MonsterAttrBuff,SelfStartSkill,AwardBuff,ItemId,Drop,InfiniteReward,Plot,EndPlot,Icon,Sound,SkillQuantity,SkillId,MonsterSkillId,AllowSkill,Quantity,Scene,SpecialCamera,Des,StageDes,StagePointDisplay,StagePoint,,FixedTeam,AssistRole
99999991,,1,stage_name_99999991,0-1,序章1,,1,3,1,0,0,,0,0,,,,0,0,0,0,1,87011001,101,99999991,0,0,0,0,0,0,,,5805100,5805101,0,8120063,0,0,,,,1979218,,steage_des_99999991,,,,击败所有怪物，取得战斗胜利,,1
10101,,1,stage_name_10101,1-1,新时代,1001,1,1,0,101010,"101010,101012,101013",101014,0,0,,,,"1000004,10",9900,"1,660",0,1,87011001,101,101011,"3013023,3016017,3016013",0,"0,101,-400;0,102,-500;0,103,-500;0,104,-500;0,105,-250;0,115,1000",0,0,0,"101012,50010101",,5801001,5801002,0,8120082,0,0,,,,1979205,,steage_des_10101,,,,击败所有怪物，取得战斗胜利,,1
10102,10101,1,stage_name_10102,1-2,世界尽头与亿万星痕,1002,1,3,0,101020,0,0,0,0,,,,0,0,0,0,1,87011001,101,0,0,0,,0,0,0,0,,5801003,0,0,,0,0,,,,,,steage_des_10102,,,,纯剧情关卡，本关无战斗,,1
10103,10102,1,stage_name_10103,1-3,班底,1003,1,1,0,101030,"101030,101032,101033",101034,0,0,,,,"1000004,10",9900,"2,660",0,1,87011001,101,101031,"3014016,3014005,3015004,3013006,3014001",0,"0,101,-500;0,102,-500;0,103,-500;0,104,-800;0,105,-250;0,115,1000",0,0,0,"101012,50010103",,5801004,5801005,0,8120089,1,99999917,,,,1979217,,steage_des_10103,,,,击败所有怪物，取得战斗胜利,,1
10104,10103,1,stage_name_10104,1-4,朋友,1004,1,3,0,101040,0,0,0,0,,,,0,0,0,0,1,87011004,101,0,0,0,,0,0,0,0,,5801006,0,0,,0,0,,,,,,steage_des_10104,,,,纯剧情关卡，本关无战斗,,1
10116,10104,1,stage_name_10116,1-5,讨伐-1,1005,1,1,0,101160,"101160,101162,101163",101164,0,0,,,,"1000004,10",9900,"2,1936",0,1,87011004,101,101161,"3016038,3013003,3016009,3014016,3014005,3015004,3013023,3016017,3016013",0,"0,101,-600;0,102,-500;0,103,-500;0,104,-500;0,105,-250",99999896,0,0,"101012,50010116",,,,0,8120098,0,0,,,,1979217,,steage_des_10116,,,,击败所有怪物，取得战斗胜利,,1
10117,10116,1,stage_name_10117,1-6,讨伐-2,1006,1,1,0,101170,"101170,101172,101173",101174,0,0,,,,"1000004,10",9900,"3,1936",0,1,87011004,101,101171,"3016038,3013003,3016009,3016031,3015002,3016013,3014016,3014005,3015004",0,"0,101,-600;0,102,-450;0,103,-450;0,104,-450;0,105,-240",99999896,0,0,"101012,50010117",,,,0,8120098,0,0,,,,1979217,,steage_des_10117,,,,击败所有怪物，取得战斗胜利,,1
10105,10117,1,stage_name_10105,1-7,窃食者,1007,1,3,0,101050,0,0,0,0,,,,0,0,0,0,1,87011002,101,0,0,0,,99999896,0,0,0,,5801007,0,0,,0,0,,,,,,steage_des_10105,,,,纯剧情关卡，本关无战斗,,1
10118,10105,1,stage_name_10118,1-8,讨伐-3,1008,1,1,0,101180,"101180,101182,101183",101184,0,0,,,,"1000004,10",9900,"3,1936",0,1,87011002,102,101181,"3013009,3013004,3014025,3013018,3014027,3016031,3013023,3014019,3016013",0,"0,101,-600;0,102,-430;0,103,-430;0,104,-430;0,105,-230",99999896,0,0,"101012,50010118",,,,0,8120095,0,0,,,,1979217,,steage_des_10118,,,,击败所有怪物，取得战斗胜利,,1
10106,10118,1,stage_name_10106,1-9,第二现场,1009,1,1,0,101060,"101060,101062,101063",101064,0,0,,,,"1000004,10",9900,"3,1936",0,1,87011003,103,101061,"3014016,3013006,3014001,3013023,3016017,3016013",0,"0,101,-600;0,102,-410;0,103,-410;0,104,-410;0,105,-170",99999896,0,0,"101012,50010106",,5801008,5801009,0,8120086,0,0,,,,1979208,,steage_des_10106,,,,击败所有怪物，取得战斗胜利,,1
10107,10106,1,stage_name_10107,1-10,纯白阴影,1010,1,1,0,101070,"101070,101072,101073",101074,0,0,,,,"1000004,10",9900,"4,2068",0,1,87011003,103,101071,"3013009,3016011,3016130,3013023,3014019,3016013,3014016,3013006,3014001",0,"0,101,-600;0,102,-390;0,103,-390;0,104,-390;0,105,-160",99999896,0,0,"101012,50010107",,0,5801010,0,8120098,0,0,,,,1979208,,steage_des_10107,,,,击败所有怪物，取得战斗胜利,,1
10108,10107,1,stage_name_10108,1-11,草蛇灰线,1011,1,3,0,101080,0,0,0,0,,,,0,0,0,0,1,87011005,101,0,0,0,,99999896,0,0,0,,5801011,0,0,,0,0,,,,,,steage_des_10108,,,,纯剧情关卡，本关无战斗,,1
10120,10108,1,stage_name_10120,1-12,讨伐-4,1012,1,1,0,101200,"101200,101202,101203",101204,0,0,,,,"1000004,10",9900,"5,2068",0,1,87011005,102,101201,"3013022,3013015,3015002,3013018,3014027,3016031,3014004,3014021,3014001",0,"0,101,-600;0,102,-370;0,103,-370;0,104,-370;0,105,-150",99999896,0,0,"101012,50010120",,,,0,8120082,0,0,,,,1979205,,steage_des_10120,,,,击败所有怪物，取得战斗胜利,,1
10109,10120,1,stage_name_10109,1-13,圈套,1013,1,1,0,101090,"101090,101092,101093",101094,0,0,,,,"1000004,10",9900,"5,2068",0,1,87011002,101,101091,"3016031,3015002,3016013",0,"0,101,-600;0,102,-350;0,103,-350;0,104,-350;0,105,-140",99999896,0,0,"101012,50010109",,5801012,5801013,0,8120087,0,0,,,,1979215,,steage_des_10109,,,,击败所有怪物，取得战斗胜利,,1
