Id,Name,Type,ActivityGroupID,TimeType,OpenTime,Params,UnlockId,ChannelLock,Openlimit,RankID,ExpiredRankID,ExpiredItem,ExpiredShop,ExpiredMission,CoinConversion,FindRaward,FindMail,Condition
701,幻梦之境：色欲，暴食，龙,1,701,4,"0,604800",,,,,101,,0,,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010",,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010",701,"70002,70003,70004,70005"
702,幻梦之境：龙，暴食，色欲,1,,1,,,,,,201,"201,202,203,204",0,,"7011,7012,7013,7014,7015,7016,7017,7018",,"7011,7012,7013,7014,7015,7016,7017,7018",701,"70006,70007,70008,70009"
703,幻梦之境：龙，色欲，暴食,1,,1,,,,,,302,"301,302,303,305",0,,"7021,7022,7023,7024,7025,7026,7027,7028",,"7021,7022,7023,7024,7025,7026,7027,7028",701,"70010,70011,70012,70013"
704,幻梦之境：色欲，龙，暴食,1,,1,,,,,,601,"601,602,603,604",0,,"7031,7032,7033,7034,7035,7036,7037,7038",,"7031,7032,7033,7034,7035,7036,7037,7038",701,"70014,70015,70016,70017"
705,幻梦之境：暴食，龙，色欲,1,,1,,,,,,701,"701,702,703,704",0,,"7041,7042,7043,7044,7045,7046,7047,7048",,"7041,7042,7043,7044,7045,7046,7047,7048",701,"70018,70019,70020,70021"
706,幻梦之境：暴食，色欲，龙,1,,1,,,,,,801,"801,802,803,805",0,,"7051,7052,7053,7054,7055,7056,7057,7058",,"7051,7052,7053,7054,7055,7056,7057,7058",701,"70022,70023,70024,70025"
100101,activity_name_1,2,,1,,,,,"101120,1",0,,"10101,10102","10101,10102,10103","1010,1011,101099,101199",,"1010,1011,101099,101199",10205,
999999,activity_name_2,2,,3,,,,"0,2,3,4,5,6,7,8,9,10","101030,1",0,,,,,,,,
100102,activity_name_3,2,,3,,,,-1,,0,,,,3001,,,,
100103,activity_name_4,2,,3,,,,"0,2,3,4,5,6,7,8,9,10","101030,1",0,,,,3002,,,,
100104,activity_name_5,2,,3,,,,,"101030,1",0,,,,,,,,
100105,activity_name_6,2,,3,,,,-1,"101030,1",0,,,,,,,,
100107,activity_name_8,2,,1,,,,,,0,,,,3026,,,,
100108,activity_name_9,2,,1,,,,,,0,,,,"3027,3028,3029,3030,3031,3032",,,,
100109,activity_name_10,2,,3,,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,,,,,
100110,activity_name_11,2,,3,,,,,,0,,,,,,,,
4101,公会赛马：周1场,3,,2,"1,8,0;0,12,0",,,,,0,,,,,,,,
4102,公会赛马：周2场,3,,2,"2,8,0;0,12,0",,,,,0,,,,,,,,
4103,公会赛马：周3场,3,,2,"3,8,0;0,12,0",,,,,0,,,,,,,,
4104,公会赛马：周4场,3,,2,"4,8,0;0,12,0",,,,,0,,,,,,,,
4105,公会赛马：周5场,3,,2,"5,8,0;0,12,0",,,,,0,,,,,,,,
4106,公会赛马：周6场日场,3,,2,"6,8,0;0,5,0",,,,,0,,,,,,,,
4107,公会赛马：周6场下午场,3,,2,"6,15,0;0,5,0",,,,,0,,,,,,,,
4108,公会赛马：周日场日场,3,,2,"0,8,0;0,5,0",,,,,0,,,,,,,,
4109,公会赛马：周日场下午场,3,,2,"0,15,0;0,5,0",,,,,0,,,,,,,,
100111,activity_name_12,2,,3,,,,,,0,,,,,,,,
100112,activity_name_13,2,,3,,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,,,,,
100113,activity_name_14,2,,3,,,,,,0,,,,,,,,
100114,activity_name_3,2,,3,,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,3002,,,,
100115,activity_name_4,2,,3,,,,-1,"101030,1",0,,,,,,,,
100116,activity_name_10,2,,3,,,,-1,,0,,,,,,,,
5000,guild_boss,4,5000,4,"0,1814399",,,,,900,,,,400,,,,
100117,activity_name_6,2,,3,,,,"0,1,2,3,4,5,6,7,8,9,10","101030,1",0,,,,,,,,
1010000,桃主题活动,5,1010000,1,,,1010000,"0,2,3,4,5,6,7,8,9,10",,0,,,,,"1010000;1001026,1000003,200",,1010000,
1010100,锦绣奇缘-主界面,101,1010000,1,,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,,,,,
