Id,TargetType,TargetId,,Application,Show,VoiceTitle,,VoiceText,,ShowType,StandbyTime,Group,UnlockCondition,SkinClickVoice,UnlockText
8000001,1,3000001,律丨登陆问候,0,1,voicerole_title_8000001,登陆问候,voicerole_text_8000001,好慢啊！……嗯？我、我又不是一直在等你！,1,0,3000001,0,,
8000002,1,3000001,律丨闲置·其一,0,1,voicerole_title_8000002,闲置·其一,voicerole_text_8000002,那么盯着我，难道看入迷了？哈哈。,1,0,3000001,0,,
8000003,1,3000001,律丨闲置·其二,0,1,voicerole_title_8000003,闲置·其二,voicerole_text_8000003,你把我叫过来，然后就不理我了呀！哼，我去找克萝萝玩了！,1,0,3000001,0,,
8000004,1,3000001,律丨提示·代办事项,0,1,voicerole_title_8000004,提示·代办事项,voicerole_text_8000004,还有没查收的礼物，早点儿去看看会比较好。,1,0,3000001,0,,
8000005,1,3000001,律丨提示·活动,0,0,voicerole_title_8000005,提示·活动,voicerole_text_8000005,还有没查收的礼物，早点儿去看看会比较好。,1,0,3000001,0,,
8000006,1,3000001,律丨生日祝福,0,1,voicerole_title_8000006,生日祝福,voicerole_text_8000006,今天是你的生日……这种事情我当然知道了！看，我做了蛋糕！这是我花了好长时间才做出来的。在外面可吃不到哦！,1,0,3000001,0,,
8000007,1,3000001,律丨秘书任职:主页·其一,0,1,voicerole_title_8000007,秘书任职:主页·其一,voicerole_text_8000007,我才没高兴过头呢……！,1,0,3000001,0,,
8000008,1,3000001,律丨秘书任职:主页·其二,0,0,voicerole_title_8000008,秘书任职:主页·其二,voicerole_text_8000008,有时休息也很重要。,1,0,3000001,0,,
8000009,1,3000001,律丨秘书任职:管理·其一,0,0,voicerole_title_8000009,秘书任职:管理·其一,voicerole_text_8000009,大家的情况怎么样？,1,0,3000001,0,,
8000010,1,3000001,律丨秘书任职:管理·其二,0,0,voicerole_title_8000010,秘书任职:管理·其二,voicerole_text_8000010,大家今天也是一样状态绝佳吧？,1,0,3000001,0,,
8000011,1,3000001,律丨秘书任职:出击·其一,0,1,voicerole_title_8000011,秘书任职:出击·其一,voicerole_text_8000011,果然还是需要我出马呢！,1,0,3000001,0,,
8000012,1,3000001,律丨秘书任职:出击·其二,0,1,voicerole_title_8000012,秘书任职:出击·其二,voicerole_text_8000012,准备出发！,1,0,3000001,0,,
8000013,1,3000001,律丨秘书任职:日常·其一,0,1,voicerole_title_8000013,秘书任职:日常·其一,voicerole_text_8000013,有时候休息也很重要哦。,1,0,3000001,0,,
8000014,1,3000001,律丨秘书任职:日常·其二,0,1,voicerole_title_8000014,秘书任职:日常·其二,voicerole_text_8000014,找个地方坐坐吧。,1,0,3000001,0,,
8000015,1,3000001,律丨初次相遇,0,1,voicerole_title_8000015,初次相遇,voicerole_text_8000015,让我来解决他们吧！,1,0,3000001,0,,
8000016,1,3000001,律丨职业强化·其一,0,1,voicerole_title_8000016,职业强化·其一,voicerole_text_8000016,我必须变得更强！,1,0,3000001,0,,
8000017,1,3000001,律丨职业强化·其二,0,0,voicerole_title_8000017,职业强化·其二,voicerole_text_8000017,我必须变得更强！,1,0,3000001,0,,
8000018,1,3000001,律丨对话·其一,0,1,voicerole_title_8000018,对话·其一,voicerole_text_8000018,你想摸我的耳朵吗？不，不行……,1,0,3000001,0,1,
8000019,1,3000001,律丨对话·其二,0,1,voicerole_title_8000019,对话·其二,voicerole_text_8000019,这个是我的武器，很酷吧。,1,0,3000001,0,1,
8000020,1,3000001,律丨对话·其三,0,1,voicerole_title_8000020,对话·其三,voicerole_text_8000020,不要碰了……每次你碰我的时候，我的胸口就会开始难受……会怦怦地跳个不停……,1,0,3000001,0,1,
8000021,1,3000001,律丨拽一拽·其一,0,1,voicerole_title_8000021,拽一拽·其一,voicerole_text_8000021,手、手都要被拉断了！,1,0,3000001,0,,
8000022,1,3000001,律丨拽一拽·其二,0,1,voicerole_title_8000022,拽一拽·其二,voicerole_text_8000022,喂，别那么着急！,1,0,3000001,0,,
8000023,1,3000001,律丨拽一拽·其三,0,0,voicerole_title_8000023,拽一拽·其三,voicerole_text_8000023,有好吃的？真的假的！,1,0,3000001,0,,
8000024,1,3000001,律丨等待食物,0,1,voicerole_title_8000024,等待食物,voicerole_text_8000024,呀？是要给我吃什么好吃的呀？,1,0,3000001,0,,
8000025,1,3000001,律丨垂涎食物,0,1,voicerole_title_8000025,垂涎食物,voicerole_text_8000025,没有我的份吗？,1,0,3000001,0,,
8000026,1,3000001,律丨美食评语·喜欢,0,1,voicerole_title_8000026,美食评语·喜欢,voicerole_text_8000026,嘿嘿！还想再吃一个。,1,0,3000001,0,,
8000027,1,3000001,律丨美食评语·一般,0,1,voicerole_title_8000027,美食评语·一般,voicerole_text_8000027,唔……味道有些微妙。,1,0,3000001,0,,
8000028,1,3000001,律丨美食评语·讨厌,0,1,voicerole_title_8000028,美食评语·讨厌,voicerole_text_8000028,这是什么啊！？,1,0,3000001,0,,
8000029,1,3000001,律丨编队,0,1,voicerole_title_8000029,编队,voicerole_text_8000029,交给我吧。,1,0,3000001,0,,
8000030,1,3000001,律丨战斗开始,0,0,voicerole_title_8000030,战斗开始,voicerole_text_8000030,火力全开！,1,0,3000001,0,,
8000031,1,3000001,律丨战斗选中,0,0,voicerole_title_8000031,战斗选中,voicerole_text_8000031,我要上啦！,1,0,3000001,0,,
8000032,1,3000001,律丨再起不能,0,1,voicerole_title_8000032,再起不能,voicerole_text_8000032,怎么会……,1,0,3000001,0,,
8000033,1,3000001,律丨受击·其一,0,1,voicerole_title_8000033,受击·其一,voicerole_text_8000033,不会轻易退缩的！,1,0,3000001,0,,
8000034,1,3000001,律丨受击·其二,0,1,voicerole_title_8000034,受击·其二,voicerole_text_8000034,疼！,1,0,3000001,0,,
8000035,1,3000001,律丨受击·其三,0,1,voicerole_title_8000035,受击·其三,voicerole_text_8000035,可恶！,1,0,3000001,0,,
8000036,1,3000001,律丨获得增益,0,1,voicerole_title_8000036,获得增益,voicerole_text_8000036,谢谢你。,1,0,3000001,0,,
8000037,1,3000001,律丨爆气·初,0,1,voicerole_title_8000037,灵魂解放·初,voicerole_text_8000037,去吧！,1,0,3000001,0,,
8000038,1,3000001,律丨爆气·劲,0,1,voicerole_title_8000038,灵魂解放·劲,voicerole_text_8000038,哈啊！,1,0,3000001,0,,
8000039,1,3000001,律丨爆气·极,0,1,voicerole_title_8000039,灵魂解放·极,voicerole_text_8000039,该结束了。,1,0,3000001,0,,
8000040,1,3000001,律丨普通攻击·其一,0,0,voicerole_title_8000040,普通攻击·其一,voicerole_text_8000040,哈啊！,1,0,3000001,0,,
8000041,1,3000001,律丨普通攻击·其二,0,0,voicerole_title_8000041,普通攻击·其二,voicerole_text_8000041,完美！,1,0,3000001,0,,
8000042,1,3000001,律丨连协技能·克萝萝,0,0,voicerole_title_8000042,连携技能·克萝萝,voicerole_text_8000042,律：“上吧！” 克萝萝：“嘿呀！哈！克萝萝飞踢！”,1,0,3000001,0,,
8000043,1,3000001,律丨连协技能·黑神月咏,0,0,voicerole_title_8000043,连携技能·黑神月咏,voicerole_text_8000043,律：“先让我来封住他的行动！” 黑神：“最后一击！胧式——月满击！”,1,0,3000001,0,,
8000044,1,3000001,律丨连协技能·安洁,0,0,voicerole_title_8000044,连携技能·安洁,voicerole_text_8000044,律：“要上了哦！哈！这种程度就足够了。” 律：“哼！”,1,0,3000001,0,,
8000045,1,3000001,律丨连协技能·米娅,0,0,voicerole_title_8000045,连携技能·米娅,voicerole_text_8000045,律：“我们上吧！” 米娅：“看我的！”,1,0,3000001,0,,
8000046,1,3000001,律丨最终奥义,0,1,voicerole_title_8000046,最终奥义,voicerole_text_8000046,“来吧，小龙仔！” “呼呼，哈哈哈哈哈。” ,1,0,3000001,0,,
8000047,1,3000001,律丨胜利,0,1,voicerole_title_8000047,胜利,voicerole_text_8000047,哈哈，今天的魔女律也是机智、机敏、超机灵呢！,1,0,3000001,0,,
8000048,1,3000001,律丨情绪·高兴,0,0,voicerole_title_8000048,情绪·高兴,voicerole_text_8000048,啊~啊~,1,0,3000001,0,,
8000049,1,3000001,律丨情绪·生气,0,0,voicerole_title_8000049,情绪·生气,voicerole_text_8000049,哼！,1,0,3000001,0,,
8000050,1,3000001,律丨情绪·难过,0,0,voicerole_title_8000050,情绪·难过,voicerole_text_8000050,嗯……,1,0,3000001,0,,
8000051,1,3000001,律丨情绪·感谢,0,0,voicerole_title_8000051,情绪·感谢,voicerole_text_8000051,谢谢你。,1,0,3000001,0,,
8000052,1,3000001,律丨剧情对话·其一,0,0,voicerole_title_8000052,剧情对话·其一,voicerole_text_8000052,我认为是这样的。,1,0,3000001,0,,
8000053,1,3000001,律丨剧情对话·其二,0,0,voicerole_title_8000053,剧情对话·其二,voicerole_text_8000053,我们不能这样。,1,0,3000001,0,,
8000054,1,3000001,律丨剧情对话·其三,0,0,voicerole_title_8000054,剧情对话·其三,voicerole_text_8000054,在问我么？,1,0,3000001,0,,
8000055,1,3000001,律丨剧情对话·其四,0,0,voicerole_title_8000055,剧情对话·其四,voicerole_text_8000055,那个……,1,0,3000001,0,,
8000056,1,3000001,律丨剧情对话·其五,0,0,voicerole_title_8000056,剧情对话·其五,voicerole_text_8000056,有需要我帮忙的么？,1,0,3000001,0,,
8000057,1,3000001,律丨剧情对话·其六,0,0,voicerole_title_8000057,剧情对话·其六,voicerole_text_8000057,很有意思……,1,0,3000001,0,,
8000058,1,3000001,律丨剧情对话·其七,0,0,voicerole_title_8000058,剧情对话·其七,voicerole_text_8000058,为什么……？,1,0,3000001,0,,
8000059,1,3000001,律丨剧情对话·其八,0,0,voicerole_title_8000059,剧情对话·其八,voicerole_text_8000059,好啊。,1,0,3000001,0,,
8000060,1,3000001,律丨剧情对话·其九,0,0,voicerole_title_8000060,剧情对话·其九,voicerole_text_8000060,话说回来。,1,0,3000001,0,,
