Id,Name,Icon,AwakeItem,AwakeItemAttach,AwakeItemExchange,Storypack,StoryName,StoryDesc
3013001,item_name_1007003,xw_quanzhang_icon,1007003,"1001015,10","1001015,10",,,
3013003,item_name_1007004,xw_3013003_icon,1007004,"1001016,2","1001016,2",,,
3013004,item_name_1007005,xw_3013004_icon,1007005,"1001016,2","1001016,2",,,
3013006,item_name_1007006,xw_3013006_icon,1007006,"1001016,2","1001016,2",,,
3013007,item_name_1007007,xw_shengbei_icon,1007007,"1001015,10","1001015,10",,,
3013008,item_name_1007008,xw_quanzhang_icon,1007008,"1001015,10","1001015,10",,,
3013009,item_name_1007009,xw_quanzhang_icon,1007009,"1001015,10","1001015,10",,,
3013014,item_name_1007010,xw_shengbei_icon,1007010,"1001015,10","1001015,10",,,
3013015,item_name_1007011,xw_3013015_icon,1007011,"1001016,2","1001016,2",,,
3013017,item_name_1007012,xw_shengbei_icon,1007012,"1001015,10","1001015,10",,,
3013018,item_name_1007013,xw_shengbei_icon,1007013,"1001015,10","1001015,10",,,
3013019,item_name_1007014,xw_3013019_icon,1007014,"1001016,2","1001016,2",,,
3013020,item_name_1007015,xw_baojian_icon,1007015,"1001015,10","1001015,10",,,
3013022,item_name_1007016,xw_quanzhang_icon,1007016,"1001015,10","1001015,10",,,
3013023,item_name_1007017,xw_baojian_icon,1007017,"1001015,10","1001015,10",,,
3013025,item_name_1007018,xw_baojian_icon,1007018,"1001015,10","1001015,10",,,
3014001,item_name_1007019,xw_3014001_icon,1007019,"1001016,2","1001016,2",,,
3014003,item_name_1007020,xw_shengbei_icon,1007020,"1001015,10","1001015,10",,,
3014004,item_name_1007021,xw_quanzhang_icon,1007021,"1001015,10","1001015,10",,,
3014005,item_name_1007022,xw_3014005_icon,1007022,"1001016,2","1001016,2",,,
3014009,item_name_1007054,xw_3014009_icon,1007054,"1001016,7","1001016,7",5804111,zw_tao_01_Title_Title,zw_tao_01_Description_02
3014011,item_name_1007059,xw_3014011_icon,1007059,"1001016,7","1001016,7",5804119,zw_aisitaliya_01_Title_Title,zw_aisitaliya_01_Description_02
3014012,item_name_1007023,xw_shengbei_icon,1007023,"1001015,10","1001015,10",,,
3014016,item_name_1007024,xw_shengbei_icon,1007024,"1001015,10","1001015,10",,,
3014018,item_name_1007025,xw_baojian_icon,1007025,"1001015,10","1001015,10",,,
3014019,item_name_1007026,xw_3014019_icon,1007026,"1001016,2","1001016,2",,,
3014020,item_name_1007027,xw_3014020_icon,1007027,"1001016,2","1001016,2",,,
3014021,item_name_1007028,xw_3014021_icon,1007028,"1001016,2","1001016,2",,,
3014022,item_name_1007029,xw_3014022_icon,1007029,"1001016,2","1001016,2",,,
3014023,item_name_1007030,xw_3014023_icon,1007030,"1001016,7","1001016,7",5804107,zw_shenguang_01_Title_Title,zw_shenguang_01_Description_02
3014024,item_name_1007031,xw_3014024_icon,1007031,"1001016,7","1001016,7",5804108,zw_leilei_01_Title_Title,zw_leilei_01_Description_02
3014025,item_name_1007032,xw_3014025_icon,1007032,"1001016,7","1001016,7",5804101,zw_anpusha_01_Title_Title,zw_anpusha_01_Description_02
3014026,item_name_1007033,xw_3014026_icon,1007033,"1001016,2","1001016,2",,,
3014027,item_name_1007034,xw_3014027_icon,1007034,"1001016,2","1001016,2",,,
3014029,item_name_1007035,xw_3014029_icon,1007035,"1001016,7","1001016,7",5804106,zw_beier_01_Title_Title,zw_beier_01_Description_02
3014030,item_name_1007036,xw_3014030_icon,1007036,"1001016,7","1001016,7",5804100,zw_anna_01_Title_Title,zw_anna_01_Description_02
3014031,item_name_1007055,xw_3014031_icon,1007055,"1001016,7","1001016,7",5804121,zw_yila_01_Title_Title,zw_yila_01_Description_02
3015002,item_name_1007037,xw_3015002_icon,1007037,"1001016,7","1001016,7",5804102,zw_danni_01_Title_Title,zw_danni_01_Description_02
3015004,item_name_1007038,xw_3015004_icon,1007038,"1001016,7","1001016,7",5804113,zw_yetanniya_01_Title_Title,zw_yetanniya_01_Description_02
3015006,item_name_1007039,xw_3015006_icon,1007039,"1001016,7","1001016,7",5804114,zw_xixili_01_Title_Title,zw_xixili_01_Description_02
3015007,item_name_1007040,xw_3015007_icon,1007040,"1001016,7","1001016,7",5804105,zw_sala_01_Title_Title,zw_sala_01_Description_02
3015008,item_name_1007041,xw_3015008_icon,1007041,"1001016,7","1001016,7",5804104,zw_mu_01_Title_Title,zw_mu_01_Description_02
3016009,item_name_1007042,xw_3016009_icon,1007042,"1001016,7","1001016,7",5804103,zw_jiladiya_01_Title_Title,zw_jiladiya_01_Description_02
3016010,item_name_1007043,xw_3016010_icon,1007043,"1001016,7","1001016,7",5804122,zw_ruibiya_01_Title_Title,zw_ruibiya_01_Description_02
3016011,item_name_1007044,xw_3016011_icon,1007044,"1001016,2","1001016,2",,,
3016013,item_name_1007045,xw_3016013_icon,1007045,"1001016,7","1001016,7",5804116,zw_keersuna_01_Title_Title,zw_keersuna_01_Description_02
3016017,item_name_1007046,xw_3016017_icon,1007046,"1001016,2","1001016,2",,,
3016020,item_name_1007047,xw_3016020_icon,1007047,"1001016,7","1001016,7",5804112,zw_naiaomi_01_Title_Title,zw_naiaomi_01_Description_02
3016023,item_name_1007048,xw_quanzhang_icon,1007048,"1001015,10","1001015,10",,,
3016024,item_name_1007058,xw_3016024_icon,1007058,"1001016,7","1001016,7",5804115,zw_saileisidina_01_Title_Title,zw_saileisidina_01_Description_02
3016031,item_name_1007049,xw_3016031_icon,1007049,"1001016,7","1001016,7",5804109,zw_xiaoshan_01_Title_Title,zw_xiaoshan_01_Description_02
3016038,item_name_1007050,xw_quanzhang_icon,1007050,"1001015,10","1001015,10",,,
3016068,item_name_1007051,xw_3016068_icon,1007051,"1001016,2","1001016,2",,,
3016078,item_name_1007052,xw_3016078_icon,1007052,"1001016,7","1001016,7",5804110,zw_xilai_01_Title_Title,zw_xilai_01_Description_02
3016130,item_name_1007053,xw_3016130_icon,1007053,"1001016,7","1001016,7",5804117,zw_yikaluosi_01_Title_Title,zw_yikaluosi_01_Description_02
3016187,item_name_1007057,xw_3016187_icon,1007057,"1001016,7","1001016,7",5804120,zw_dabosiju_01_Title_Title,zw_dabosiju_01_Description_02
3016049,item_name_1007056,xw_3016049_icon,1007056,"1001016,7","1001016,7",5804118,zw_ailinna_01_Title_Title,zw_ailinna_01_Description_02
3016188,item_name_1007060,xw_3016188_icon,1007060,"1001016,7","1001016,7",,,
3014002,item_name_1007061,xw_3014002_icon,1007061,"1001016,2","1001016,2",,,
3016016,item_name_1007062,xw_3016016_icon,1007062,"1001016,7","1001016,7",5804123,zw_luyisi_01_Title_Title,zw_luyisi_01_Description_02
3014006,item_name_1007063,xw_3014006_icon,1007063,"1001016,7","1001016,7",5804127,zw_lianhua_01_Title_Title,zw_lianhua_01_Description_03
3014017,item_name_1007064,xw_3014017_icon,1007064,"1001016,7","1001016,7",5804126,zw_huali_01_Title_Title,zw_huali_01_Description_02
3013013,item_name_1007065,xw_3013013_icon,1007065,"1001016,7","1001016,7",5804125,zw_feiergaina_01_Title_Title,zw_feiergaina_01_Description_02
3015001,item_name_1007066,xw_3015001_icon,1007066,"1001016,7","1001016,7",5804124,zw_nuoweiya_01_Title_Title,zw_nuoweiya_01_Description_02
3017001,item_name_1007067,xw_3017001_icon,1007067,"1001016,7","1001016,7",,,
3017002,item_name_1007068,xw_3017002_icon,1007068,"1001016,7","1001016,7",,,
3016119,item_name_1007069,xw_3016119_icon,1007069,"1001016,7","1001016,7",,,
3016189,item_name_1007070,xw_3016189_icon,1007070,"1001016,7","1001016,7",,,
3014028,item_name_1007071,xw_3014028_icon,1007071,"1001016,7","1001016,7",,,
3013011,999,xw_3013011_icon,1007072,"1001016,0","1001016,0",,,
3013012,999,xw_3013012_icon,1007073,"1001016,0","1001016,0",,,
3016022,999,xw_3016022_icon,1007074,"1001016,0","1001016,0",5804128,zw_nuoya_01_Title_Title,zw_nuoya_01_Description_04
3016191,item_name_1007072,xw_3016191_icon,1007075,"1001016,7","1001016,7",5804129,zw_aierweila_01_Title_Title,zw_aierweila_01_Description_02
