Name,AwakeLevel,StartUpCost,DescType,AttrIndex,AttrSkillIndex,Desc
3013001,0,"1007003,1",,,,
3013001,1,"1007003,1",1,,"40130010,1",Weapon_skill_desc_1
3013001,2,"1007003,1",3,"100012,20;100011,20;100013,20;100014,20;100021,25","40130010,1",Weapon_skill_desc_2
3013001,3,"1007003,1",2,"100012,20;100011,20;100013,20;100014,20;100021,25","40130010,2",Weapon_skill_desc_3
3013001,4,"1007003,1",3,"100012,30;100011,30;100013,30;100014,30;100021,50","40130010,2",Weapon_skill_desc_2
3013001,5,,2,"100012,30;100011,30;100013,30;100014,30;100021,50","40130010,3",Weapon_skill_desc_3
3013007,0,"1007007,1",,,,Weapon_skill_desc_1
3013007,1,"1007007,1",1,,"40130070,1",Weapon_skill_desc_1
3013007,2,"1007007,1",3,"100012,20;100011,20;100013,20;100014,20;100019,25","40130070,1",Weapon_skill_desc_2
3013007,3,"1007007,1",2,"100012,20;100011,20;100013,20;100014,20;100019,25","40130070,2",Weapon_skill_desc_3
3013007,4,"1007007,1",3,"100012,30;100011,30;100013,30;100014,30;100019,50","40130070,2",Weapon_skill_desc_2
3013007,5,,2,"100012,30;100011,30;100013,30;100014,30;100019,50","40130070,3",Weapon_skill_desc_3
3013008,0,"1007008,1",,,,Weapon_skill_desc_1
3013008,1,"1007008,1",1,,"40130080,1",Weapon_skill_desc_1
3013008,2,"1007008,1",3,"100012,20;100011,20;100013,20;100014,20;100021,25","40130080,1",Weapon_skill_desc_2
3013008,3,"1007008,1",2,"100012,20;100011,20;100013,20;100014,20;100021,25","40130080,2",Weapon_skill_desc_3
3013008,4,"1007008,1",3,"100012,30;100011,30;100013,30;100014,30;100021,50","40130080,2",Weapon_skill_desc_2
3013008,5,,2,"100012,30;100011,30;100013,30;100014,30;100021,50","40130080,3",Weapon_skill_desc_3
3013009,0,"1007009,1",,,,Weapon_skill_desc_1
3013009,1,"1007009,1",1,,"40130090,1",Weapon_skill_desc_1
3013009,2,"1007009,1",3,"100012,20;100011,20;100013,20;100014,20;100021,25","40130090,1",Weapon_skill_desc_2
3013009,3,"1007009,1",2,"100012,20;100011,20;100013,20;100014,20;100021,25","40130090,2",Weapon_skill_desc_3
3013009,4,"1007009,1",3,"100012,30;100011,30;100013,30;100014,30;100021,50","40130090,2",Weapon_skill_desc_2
3013009,5,,2,"100012,30;100011,30;100013,30;100014,30;100021,50","40130090,3",Weapon_skill_desc_3
3013014,0,"1007010,1",,,,Weapon_skill_desc_1
3013014,1,"1007010,1",1,,"40130140,1",Weapon_skill_desc_1
3013014,2,"1007010,1",3,"100012,20;100011,20;100013,20;100014,20;100019,25","40130140,1",Weapon_skill_desc_2
3013014,3,"1007010,1",2,"100012,20;100011,20;100013,20;100014,20;100019,25","40130140,2",Weapon_skill_desc_3
3013014,4,"1007010,1",3,"100012,30;100011,30;100013,30;100014,30;100019,50","40130140,2",Weapon_skill_desc_2
3013014,5,,2,"100012,30;100011,30;100013,30;100014,30;100019,50","40130140,3",Weapon_skill_desc_3
3013017,0,"1007012,1",,,,Weapon_skill_desc_1
3013017,1,"1007012,1",1,,"40130170,1",Weapon_skill_desc_1
3013017,2,"1007012,1",3,"100012,20;100011,20;100013,20;100014,20;100018,25","40130170,1",Weapon_skill_desc_2
3013017,3,"1007012,1",2,"100012,20;100011,20;100013,20;100014,20;100018,25","40130170,2",Weapon_skill_desc_3
3013017,4,"1007012,1",3,"100012,30;100011,30;100013,30;100014,30;100018,50","40130170,2",Weapon_skill_desc_2
3013017,5,,2,"100012,30;100011,30;100013,30;100014,30;100018,50","40130170,3",Weapon_skill_desc_3
3013018,0,"1007013,1",,,,Weapon_skill_desc_1
3013018,1,"1007013,1",1,,"40130180,1",Weapon_skill_desc_1
3013018,2,"1007013,1",3,"100012,20;100011,20;100013,20;100014,20;100018,25","40130180,1",Weapon_skill_desc_2
3013018,3,"1007013,1",2,"100012,20;100011,20;100013,20;100014,20;100018,25","40130180,2",Weapon_skill_desc_3
3013018,4,"1007013,1",3,"100012,30;100011,30;100013,30;100014,30;100018,50","40130180,2",Weapon_skill_desc_2
3013018,5,,2,"100012,30;100011,30;100013,30;100014,30;100018,50","40130180,3",Weapon_skill_desc_3
3013020,0,"1007015,1",,,,Weapon_skill_desc_1
3013020,1,"1007015,1",1,,"40130200,1",Weapon_skill_desc_1
3013020,2,"1007015,1",3,"100012,20;100011,20;100013,20;100014,20;100015,25","40130200,1",Weapon_skill_desc_2
3013020,3,"1007015,1",2,"100012,20;100011,20;100013,20;100014,20;100015,25","40130203,1",Weapon_skill_desc_3
3013020,4,"1007015,1",3,"100012,30;100011,30;100013,30;100014,30;100015,25;100016,50","40130203,1",Weapon_skill_desc_2
3013020,5,,2,"100012,30;100011,30;100013,30;100014,30;100015,25;100016,50","40130205,1",Weapon_skill_desc_3
3013022,0,"1007016,1",,,,Weapon_skill_desc_1
3013022,1,"1007016,1",1,,"40130220,1",Weapon_skill_desc_1
3013022,2,"1007016,1",3,"100012,20;100011,20;100013,20;100014,20;100021,25","40130220,1",Weapon_skill_desc_2
