"TwoWeekApPackage_Group_01","TwoWeekApPackage_Group","Point_AP","120"
"FreePackage_Group_01","FreePackage_Group","Item_Material_HeroExp_01","1"
"FreePackage_Group_02","FreePackage_Group","Item_Material_EquipExp_01","1"
"NewUserSupportPackage_Group_01","NewUserSupportPackage_Group","Item_Material_HeroExp_01","30"
"NewUserSupportPackage_Group_02","NewUserSupportPackage_Group","Item_Material_HeroGradeUp_Char_110_S01_G","50"
"NewUserGrowthPackage_Group_01","NewUserGrowthPackage_Group","Point_Gold","200000"
"NewUserGrowthPackage_Group_02","NewUserGrowthPackage_Group","Item_Material_HeroExp_01","50"
"NewUserGrowthPackage_Group_03","NewUserGrowthPackage_Group","Item_Material_HeroExp_02","30"
"NewUserGrowthPackage_Group_04","NewUserGrowthPackage_Group","Item_Material_HeroExp_03","10"
"NewUserGrowthPackage_Group_05","NewUserGrowthPackage_Group","Item_SelectBox_Attribute_01","30"
"NewUserGrowthPackage_Group_06","NewUserGrowthPackage_Group","Item_SelectBox_Attribute_02","5"
"NewUserGrowthPackage_Group_09","NewUserGrowthPackage_Group","Item_Material_SkillLvUp_Common","80"
"NewUserSummonPackage_Group_01","NewUserSummonPackage_Group","Item_Ticket_TenRoll_GachaTicket","1"
"ThreeGradeFixSummonPackage_Group_01","ThreeGradeFixSummonPackage_Group","Item_GachaTicket_3GradeFix_TenRoll","1"
"WeekHeroExpPackage2_Group_01","WeekHeroExpPackage2_Group","Point_Gold","500000"
"WeekHeroExpPackage2_Group_02","WeekHeroExpPackage2_Group","Item_Material_HeroExp_01","80"
"WeekHeroExpPackage2_Group_03","WeekHeroExpPackage2_Group","Item_Material_HeroExp_02","40"
"WeekHeroExpPackage2_Group_04","WeekHeroExpPackage2_Group","Item_Material_HeroExp_03","20"
"WeekHeroExpPackage2_Group_05","WeekHeroExpPackage2_Group","Item_Material_HeroExp_04","5"
"WeekHeroExpPackage1_Group_01","WeekHeroExpPackage1_Group","Point_Gold","100000"
"WeekHeroExpPackage1_Group_02","WeekHeroExpPackage1_Group","Item_Material_HeroExp_01","40"
"WeekHeroExpPackage1_Group_03","WeekHeroExpPackage1_Group","Item_Material_HeroExp_02","20"
"WeekHeroExpPackage1_Group_04","WeekHeroExpPackage1_Group","Item_Material_HeroExp_03","5"
"WeekEquipPackage1_Group_01","WeekEquipPackage1_Group","Point_Gold","150000"
"WeekEquipPackage1_Group_02","WeekEquipPackage1_Group","Item_SelectBox_WeekEquipPackage1","45"
"WeekEquipPackage1_Group_03","WeekEquipPackage1_Group","Item_Material_EquipExp_01","30"
"WeekEquipPackage1_Group_04","WeekEquipPackage1_Group","Item_Material_EquipExp_02","20"
"WeekEquipPackage2_Group_01","WeekEquipPackage2_Group","Point_Gold","300000"
"WeekEquipPackage2_Group_02","WeekEquipPackage2_Group","Item_SelectBox_WeekEquipPackage2","75"
"WeekEquipPackage2_Group_03","WeekEquipPackage2_Group","Item_Material_EquipExp_02","20"
"WeekEquipPackage2_Group_04","WeekEquipPackage2_Group","Item_Material_EquipExp_03","10"
"WeekEquipPackage3_Group_01","WeekEquipPackage3_Group","Point_Gold","300000"
"WeekEquipPackage3_Group_02","WeekEquipPackage3_Group","Item_SelectBox_WeekEquipPackage3","75"
"WeekEquipPackage3_Group_03","WeekEquipPackage3_Group","Item_Material_EquipExp_02","20"
"WeekEquipPackage3_Group_04","WeekEquipPackage3_Group","Item_Material_EquipExp_03","10"
"WeekEquipPackage4_Group_01","WeekEquipPackage4_Group","Point_Gold","300000"
"WeekEquipPackage4_Group_02","WeekEquipPackage4_Group","Item_SelectBox_WeekEquipPackage4","75"
"WeekEquipPackage4_Group_03","WeekEquipPackage4_Group","Item_Material_EquipExp_02","20"
"WeekEquipPackage4_Group_04","WeekEquipPackage4_Group","Item_Material_EquipExp_03","10"
"WeekEquipPackage5_Group_01","WeekEquipPackage5_Group","Point_Gold","38000"
"WeekEquipPackage5_Group_02","WeekEquipPackage5_Group","Item_SelectBox_WeekEquipPackage5","30"
"WeekEquipPackage5_Group_03","WeekEquipPackage5_Group","Item_Material_EquipExp_02","55"
"WeekEquipPackage5_Group_04","WeekEquipPackage5_Group","Item_Material_EquipExp_03","16"
"WSkill_Heal_GradeUpPackage_Group_01","WSkill_Heal_GradeUpPackage_Group","Item_WSkill_Heal_GradeUp","20"
"WSkill_Heal_GradeUpPackage_Group_02","WSkill_Heal_GradeUpPackage_Group","Item_WSkill_LvUp","100"
"WSkill_Heal_GradeUpPackage_Group_03","WSkill_Heal_GradeUpPackage_Group","Item_SelectBox_Attribute_01","15"
"WSkill_Heal_GradeUpPackage_Group_04","WSkill_Heal_GradeUpPackage_Group","Item_Material_SkillLvUp_Common","30"
"WSkill_Heal_GradeUpPackage_Group_05","WSkill_Heal_GradeUpPackage_Group","Item_SelectBox_SkillLvUp_Class_01","30"
"WSkill_Heal_GradeUpPackage_Group_06","WSkill_Heal_GradeUpPackage_Group","Item_UsableRandomBox_WSkill_GradeUp","20"
"WSkill_RedAtk_GradeUpPackage_Group_01","WSkill_RedAtk_GradeUpPackage_Group","Item_WSkill_RedAtk_GradeUp","20"
"WSkill_RedAtk_GradeUpPackage_Group_02","WSkill_RedAtk_GradeUpPackage_Group","Item_WSkill_LvUp","150"
"WSkill_RedAtk_GradeUpPackage_Group_03","WSkill_RedAtk_GradeUpPackage_Group","Item_SelectBox_Attribute_02","10"
"WSkill_RedAtk_GradeUpPackage_Group_04","WSkill_RedAtk_GradeUpPackage_Group","Item_SelectBox_SkillLvUp_Class_02","20"
"WSkill_RedAtk_GradeUpPackage_Group_07","WSkill_RedAtk_GradeUpPackage_Group","Item_Material_SkillLvUp_Common","80"
"WSkill_RedAtk_GradeUpPackage_Group_08","WSkill_RedAtk_GradeUpPackage_Group","Item_UsableRandomBox_WSkill_GradeUp","30"
"WSkill_GreenAtk_GradeUpPackage_Group_01","WSkill_GreenAtk_GradeUpPackage_Group","Item_WSkill_GreenAtk_GradeUp","20"
"WSkill_GreenAtk_GradeUpPackage_Group_02","WSkill_GreenAtk_GradeUpPackage_Group","Item_WSkill_LvUp","250"
"WSkill_GreenAtk_GradeUpPackage_Group_05","WSkill_GreenAtk_GradeUpPackage_Group","Item_SelectBox_SkillLvUp_Class_01","60"
"WSkill_GreenAtk_GradeUpPackage_Group_06","WSkill_GreenAtk_GradeUpPackage_Group","Item_SelectBox_SkillLvUp_Class_02","10"
"WSkill_GreenAtk_GradeUpPackage_Group_07","WSkill_GreenAtk_GradeUpPackage_Group","Item_SelectBox_Attribute_01","30"
"WSkill_GreenAtk_GradeUpPackage_Group_08","WSkill_GreenAtk_GradeUpPackage_Group","Item_SelectBox_Attribute_02","5"
"WSkill_GreenAtk_GradeUpPackage_Group_09","WSkill_GreenAtk_GradeUpPackage_Group","Item_Material_SkillLvUp_Common","150"
"WSkill_GreenAtk_GradeUpPackage_Group_10","WSkill_GreenAtk_GradeUpPackage_Group","Item_UsableRandomBox_WSkill_GradeUp","50"
"WSkill_BlueAtk_GradeUpPackage_Group_01","WSkill_BlueAtk_GradeUpPackage_Group","Item_WSkill_BlueAtk_GradeUp","20"
"WSkill_BlueAtk_GradeUpPackage_Group_02","WSkill_BlueAtk_GradeUpPackage_Group","Item_WSkill_LvUp","250"
"WSkill_BlueAtk_GradeUpPackage_Group_03","WSkill_BlueAtk_GradeUpPackage_Group","Item_SelectBox_SkillLvUp_Class_01","60"
"WSkill_BlueAtk_GradeUpPackage_Group_04","WSkill_BlueAtk_GradeUpPackage_Group","Item_SelectBox_SkillLvUp_Class_02","10"
"WSkill_BlueAtk_GradeUpPackage_Group_07","WSkill_BlueAtk_GradeUpPackage_Group","Item_SelectBox_Attribute_01","30"
"WSkill_BlueAtk_GradeUpPackage_Group_08","WSkill_BlueAtk_GradeUpPackage_Group","Item_SelectBox_Attribute_02","5"
"WSkill_BlueAtk_GradeUpPackage_Group_11","WSkill_BlueAtk_GradeUpPackage_Group","Item_Material_SkillLvUp_Common","150"
"WSkill_BlueAtk_GradeUpPackage_Group_12","WSkill_BlueAtk_GradeUpPackage_Group","Item_UsableRandomBox_WSkill_GradeUp","50"
"MonthGiftPackage_Group_01","MonthGiftPackage_Group","Item_UsableRandomBox_Gift_Normal","10"
"MonthGiftPackage_Group_02","MonthGiftPackage_Group","Item_SelectBox_Gift_Normal","10"
"MonthGiftPackage_Group_03","MonthGiftPackage_Group","Item_SelectBox_Gift_Luxury","5"
"BattlePassSpecial_Group_01","BattlePassSpecial_Group","Item_Material_HeroExp_02","100"
"BattlePassSpecial_Group_02","BattlePassSpecial_Group","Item_Material_EquipExp_01","100"
"BattlePassSpecial_Group_03","BattlePassSpecial_Group","Point_Gold","500000"
"StepUpA_Group_01","StepUpA_Group","Point_Gold","5000"
"StepUpB_Group_01","StepUpB_Group","Item_Ticket_GachaTicket","2"
"StepUpB_Group_03","StepUpB_Group","Item_SelectBox_Attribute_01","5"
"StepUpB_Group_04","StepUpB_Group","Item_Material_SkillLvUp_Common","20"
"StepUpC_Group_01","StepUpC_Group","Item_Ticket_GachaTicket","3"
"StepUpC_Group_02","StepUpC_Group","Point_Gold","200000"
"StepUpC_Group_03","StepUpC_Group","Item_SelectBox_SkillLvUp_Class_01","60"
"StepUpC_Group_05","StepUpC_Group","Item_SelectBox_SkillLvUp_Class_02","10"
"StepUpC_Group_07","StepUpC_Group","Item_Material_SkillLvUp_Common","50"
"StepUpD_Group_01","StepUpD_Group","Item_Ticket_GachaTicket","1"
"StepUpD_Group_02","StepUpD_Group","Point_Gold","15000"
"StepUpD_Group_03","StepUpD_Group","Item_Material_SkillLvUp_Common","30"
"StepUpE_Group_01","StepUpE_Group","Item_Ticket_GachaTicket","5"
"StepUpE_Group_02","StepUpE_Group","Point_Gold","500000"
"StepUpE_Group_03","StepUpE_Group","Item_Material_EquipExp_03","20"
"StepUpE_Group_05","StepUpE_Group","Item_SelectBox_Attribute_02","5"
"StepUpE_Group_07","StepUpE_Group","Item_SelectBox_Attribute_01","30"
"StepUpE_Group_08","StepUpE_Group","Item_Material_SkillLvUp_Common","100"
"StepUpF_Group_01","StepUpF_Group","Item_Ticket_TenRoll_GachaTicket","1"
"StepUpF_Group_02","StepUpF_Group","Point_Gold","1000000"
"StepUpF_Group_03","StepUpF_Group","Item_Material_HeroExp_04","5"
"StepUpF_Group_04","StepUpF_Group","Item_SelectBox_Attribute_02","25"
"StepUpF_Group_05","StepUpF_Group","Item_SelectBox_Attribute_03","15"
"StepUpF_Group_06","StepUpF_Group","Item_Material_SkillLvUp_Common","200"
"StepUpG_Group_01","StepUpG_Group","Item_Ticket_TenRoll_GachaTicket","2"
"StepUpG_Group_02","StepUpG_Group","Point_Gold","2000000"
"StepUpG_Group_06","StepUpG_Group","Item_SelectBox_Attribute_03","15"
"StepUpG_Group_07","StepUpG_Group","Item_SelectBox_Attribute_04","30"
"StepUpG_Group_08","StepUpG_Group","Item_SelectBox_Emblem","3"
"PickUpPackage_Char_084_S01_G_1_Group_01","PickUpPackage_Char_084_S01_G_1_Group","Item_Ticket_GachaTicket","2"
"PickUpPackage_Char_084_S01_G_1_Group_02","PickUpPackage_Char_084_S01_G_1_Group","Point_Gold","100000"
"PickUpPackage_Char_084_S01_G_1_Group_03","PickUpPackage_Char_084_S01_G_1_Group","Item_Material_HeroExp_01","40"
"PickUpPackage_Char_084_S01_G_1_Group_04","PickUpPackage_Char_084_S01_G_1_Group","Item_Material_HeroExp_02","20"
"PickUpPackage_Char_084_S01_G_1_Group_05","PickUpPackage_Char_084_S01_G_1_Group","Item_UsableRandomBox_SkillLvUp_01","5"
"PickUpPackage_Char_084_S01_G_1_Group_06","PickUpPackage_Char_084_S01_G_1_Group","Item_SelectBox_SkillLvUp_Class_01","20"
"PickUpPackage_Char_084_S01_G_2_Group_01","PickUpPackage_Char_084_S01_G_2_Group","Item_Ticket_TenRoll_GachaTicket","1"
"PickUpPackage_Char_084_S01_G_2_Group_02","PickUpPackage_Char_084_S01_G_2_Group","Point_Gold","500000"
"PickUpPackage_Char_084_S01_G_2_Group_03","PickUpPackage_Char_084_S01_G_2_Group","Item_Material_HeroExp_03","10"
"PickUpPackage_Char_084_S01_G_2_Group_04","PickUpPackage_Char_084_S01_G_2_Group","Item_Material_HeroExp_02","30"
"PickUpPackage_Char_084_S01_G_2_Group_05","PickUpPackage_Char_084_S01_G_2_Group","Item_UsableRandomBox_SkillLvUp_02","15"
"PickUpPackage_Char_084_S01_G_2_Group_06","PickUpPackage_Char_084_S01_G_2_Group","Item_SelectBox_SkillLvUp_Class_02","30"
"PickUpPackage_Char_084_S01_G_3_Group_01","PickUpPackage_Char_084_S01_G_3_Group","Item_Ticket_TenRoll_GachaTicket","2"
"PickUpPackage_Char_084_S01_G_3_Group_02","PickUpPackage_Char_084_S01_G_3_Group","Point_Gold","1000000"
"PickUpPackage_Char_084_S01_G_3_Group_03","PickUpPackage_Char_084_S01_G_3_Group","Item_Material_HeroExp_02","30"
"PickUpPackage_Char_084_S01_G_3_Group_04","PickUpPackage_Char_084_S01_G_3_Group","Item_Material_HeroExp_03","10"
"PickUpPackage_Char_084_S01_G_3_Group_05","PickUpPackage_Char_084_S01_G_3_Group","Item_UsableRandomBox_SkillLvUp_03","15"
"PickUpPackage_Char_084_S01_G_3_Group_06","PickUpPackage_Char_084_S01_G_3_Group","Item_SelectBox_SkillLvUp_Class_03","30"
"MonthTaleStone_Group_01","MonthTaleStone_Group","Coin_TaleStone","40"
"HalfMonthTaleStone_Group_01","HalfMonthTaleStone_Group","Coin_TaleStone","20"
"FreeTaleStone_Group_01","FreeTaleStone_Group","Coin_TaleStone","10"
