"JPL0_Summon_Tutorial_Free","Tutorial","1","Ten","None","","","","","","JPL0_Summon_Tutorial_Free_List","7000","2700","300","False","","","10000","","","","","","","SummonTab_Tutorial","Banner_Info_Tutorial","Banner_Bg_Tutorial","","1"
"Event_3GradeFix_TenRoll","3GradeFix","1","Ten","Ticket","","","","Item_GachaTicket_3GradeFix_TenRoll","ThreeGradeFixSummonPackage","Event_3GradeFix_TenRoll_List","7000","2700","300","False","","","10000","","","","","","","SummonTab_3GradeFix","Banner_Info_3GradeFix","Banner_Bg_3GradeFix","","1"
"Event_3GradeFix_TenRoll_02","3GradeFix","1","Ten","Ticket","","","","Item_GachaTicket_3GradeFix_TenRoll_2","ThreeGradeFixSummonPackage_2","Event_3GradeFix_TenRoll_02_List","7000","2700","300","False","","","10000","","","","","","","SummonTab_3GradeFix","Banner_Info_3GradeFix","Banner_Bg_3GradeFix","","1"
"Event_RedFix_TenRoll","3GradeFix","1","Ten","Ticket","","","","Item_GachaTicket_RedFix_TenRoll","RedFixSummonPackage","Event_RedFix_TenRoll_List","7000","2700","300","False","","","10000","","","","","","","SummonTab_RedFix","Banner_Info_RedFix","Banner_Bg_RedFix","","2"
"Event_BlueFix_TenRoll","3GradeFix","1","Ten","Ticket","","","","Item_GachaTicket_BlueFix_TenRoll","BlueFixSummonPackage","Event_BlueFix_TenRoll_List","7000","2700","300","False","","","10000","","","","","","","SummonTab_BlueFix","Banner_Info_BlueFix","Banner_Bg_BlueFix","","3"
"Event_GreenFix_TenRoll","3GradeFix","1","Ten","Ticket","","","","Item_GachaTicket_GreenFix_TenRoll","GreenFixSummonPackage","Event_GreenFix_TenRoll_List","7000","2700","300","False","","","10000","","","","","","","SummonTab_GreenFix","Banner_Info_GreenFix","Banner_Bg_GreenFix","","4"
"JPL0_Summon_Normal_40Char","Normal","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL0_Summon_Normal_40Char_List","7000","2700","300","True","","9700","300","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
"JPL2_Summon_Normal_41Char","Normal","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL2_Summon_Normal_41Char_List","7000","2700","300","True","","9700","300","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
"JPL4_Summon_Normal_44Char","Normal","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL4_Summon_Normal_44Char_List","7000","2700","300","True","","9700","300","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
"JPL7_Summon_Normal_45Char","Normal","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL7_Summon_Normal_45Char_List","7000","2700","300","True","","9700","300","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
"JPL9_Summon_Normal_46Char","Normal","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL9_Summon_Normal_46Char_List","7000","2700","300","True","","9700","300","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
