<?xml version="1.0" encoding="utf-8" standalone="yes"?>
<root>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="201" tutorial_type="連續型" tutorial_group="對話1" black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="301" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/83" comment_frame_x="180" comment_frame_y="300" comment="[USER]、このボタンをクリックすると&#xA;戦闘が始まるわ。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="477" frame_posy="-188" frame_scalew="160" frame_scaleh="160" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="302" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face01" pic_side="右" voice="tutorial/88" comment_frame_x="0" comment_frame_y="300" comment="敵と味方はこの順序に従って動き、&#xA;全員が行動を終えるまで続くわ。" adjust_frame_pos_by_screen_size_x="X左" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="-440" frame_posy="360" frame_scalew="400" frame_scaleh="100" arrow_side="無" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="303" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face01" pic_side="右" voice="tutorial/90" comment_frame_x="0" comment_frame_y="300" comment="味方にスキルの使用を命じなさい。" adjust_frame_pos_by_screen_size_x="X左" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="-644" frame_posy="163" frame_scalew="150" frame_scaleh="150" arrow_side="右" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="304" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face01" pic_side="右" voice="tutorial/96" comment_frame_x="0" comment_frame_y="300" comment="このスキルを使うと、&#xA;複数の敵に攻撃できるわ。" adjust_frame_pos_by_screen_size_x="X左" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="-525" frame_posy="200" frame_scalew="230" frame_scaleh="120" arrow_side="右" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="305" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/97" comment_frame_x="180" comment_frame_y="300" comment="選択したら、同じく戦闘ボタンを&#xA;クリックしなさい。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="477" frame_posy="-188" frame_scalew="160" frame_scaleh="160" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="306" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face08" pic_side="右" voice="tutorial/101" comment_frame_x="0" comment_frame_y="300" comment="こうすると、メンバーがその&#xA;スキルで攻撃するわ。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="307" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face05" pic_side="右" voice="tutorial/102" comment_frame_x="0" comment_frame_y="300" comment="スキルは魔力が十分かつクールダウンが&#xA;終了すると再び使用できるわ。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="308" tutorial_type="連續型" tutorial_group="戰鬥" frame_posx="-300" frame_posy="200" frame_scalew="640" frame_scaleh="300" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="309" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face03" pic_side="右" voice="tutorial/105" comment_frame_x="0" comment_frame_y="300" comment="敵の陣形が乱れているわ。&#xA;今こそ彼らを攻撃する時よ！" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="310" tutorial_type="連續型" tutorial_group="戰鬥" adjust_frame_pos_by_screen_size_x="X左" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="-525" frame_posy="112" frame_scalew="230" frame_scaleh="130" arrow_side="右" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="311" tutorial_type="連續型" tutorial_group="戰鬥" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="477" frame_posy="-188" frame_scalew="160" frame_scaleh="160" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="312" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face03" pic_side="右" voice="tutorial/110" comment_frame_x="0" comment_frame_y="300" comment="成功よ！敵に多くのダメージを&#xA;与えたわ！" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="313" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face03" pic_side="右" voice="tutorial/111" comment_frame_x="0" comment_frame_y="300" comment="でも、敵の攻撃で我々の陣形も&#xA;混乱させられてしまったわ…" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="314" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face03" pic_side="右" voice="tutorial/113" comment_frame_x="0" comment_frame_y="300" comment="陣形の再編には時間がかかるわ。&#xA;その間は効果も消えるから、注意しなさい！" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="315" tutorial_type="連續型" tutorial_group="戰鬥" tutorial_hero_pic="2036" expression="face03" pic_side="右" voice="tutorial/114" comment_frame_x="0" comment_frame_y="300" comment="でも、敵も相当弱っているようね。&#xA;攻撃して、彼らを倒すわよ。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="316" tutorial_type="連續型" tutorial_group="戰鬥" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="-439" frame_posy="-250" frame_scalew="242" frame_scaleh="100" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="401" tutorial_type="連續型" tutorial_group="對話2" black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="501" tutorial_type="連續型" tutorial_group="招募1" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/165" comment_frame_x="180" comment_frame_y="300" comment="まずは、魔女たちが終末対策機関に&#xA;到着したか見てみましょう！" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="502" tutorial_type="連續型" tutorial_group="招募1" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/166" comment_frame_x="180" comment_frame_y="300" comment="ここをクリックしなさい。" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="195" frame_posy="-232" frame_scalew="170" frame_scaleh="130" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="601" tutorial_type="連續型" tutorial_group="招募2" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/168" comment_frame_x="180" comment_frame_y="300" comment="魔女たちを呼び出しましょう。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="353" frame_posy="-129" frame_scalew="242" frame_scaleh="138" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="602" tutorial_type="連續型" tutorial_group="招募2" tutorial_hero_pic="2036" expression="face01" pic_side="右" voice="tutorial/171" comment_frame_x="0" comment_frame_y="300" comment="よし、新しい魔女が加わったようね。&#xA;次は、「魔女」に進みなさい。" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="-450" frame_posy="-232" frame_scalew="170" frame_scaleh="130" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="701" tutorial_type="連續型" tutorial_group="升級" tutorial_hero_pic="2036" expression="face01" pic_side="右" voice="tutorial/175" comment_frame_x="0" comment_frame_y="300" comment="ここですべての魔女の状況を&#xA;確認できるわ。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="702" tutorial_type="連續型" tutorial_group="升級" tutorial_hero_pic="2036" expression="face01" pic_side="右" voice="tutorial/176" comment_frame_x="0" comment_frame_y="300" comment="加わった魔女を選択しなさい。" adjust_frame_pos_by_screen_size_x="X左" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="-426" frame_posy="295" frame_scalew="380" frame_scaleh="260" arrow_side="下" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="703" tutorial_type="連續型" tutorial_group="升級" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/179" comment_frame_x="180" comment_frame_y="300" comment="ここでは魔女の詳細な状況が&#xA;確認できるわ。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="30" frame_posy="300" frame_scalew="570" frame_scaleh="550" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="704" tutorial_type="連續型" tutorial_group="升級" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/180" comment_frame_x="180" comment_frame_y="300" comment="魔女レベル（Lv）を上げてみましょう。&#xA;十分な数のアイテムを使用すると、&#xA;強化されて魔女レベルがアップするわ。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="-112" frame_posy="360" frame_scalew="180" frame_scaleh="90" arrow_side="下" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="705" tutorial_type="連續型" tutorial_group="升級" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/181" comment_frame_x="180" comment_frame_y="300" comment="「自動選択」を使うと、必要な&#xA;アイテムが自動的に使用されるわ。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="235" frame_posy="-158" frame_scalew="200" frame_scaleh="110" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="706" tutorial_type="連續型" tutorial_group="升級" tutorial_hero_pic="2036" expression="face03" pic_side="左" voice="tutorial/184" comment_frame_x="180" comment_frame_y="300" comment="今は、「強化」をクリックしなさい。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="395" frame_posy="-160" frame_scalew="200" frame_scaleh="110" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="707" tutorial_type="連續型" tutorial_group="升級" frame_posx="0" frame_posy="-158" frame_scalew="240" frame_scaleh="120" arrow_side="上" black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="801" tutorial_type="連續型" tutorial_group="編隊1" tutorial_hero_pic="2036" expression="face03" pic_side="右" voice="tutorial/187" comment_frame_x="0" comment_frame_y="300" comment="こうすると、&#xA;魔女がレベルアップするのよ。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="30" frame_posy="295" frame_scalew="210" frame_scaleh="108" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="802" tutorial_type="連續型" tutorial_group="編隊1" tutorial_hero_pic="2036" expression="face03" pic_side="右" voice="tutorial/209" comment_frame_x="0" comment_frame_y="300" comment="「魔女」に戻りなさい。" adjust_frame_pos_by_screen_size_x="X左" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="-630" frame_posy="365" frame_scalew="210" frame_scaleh="100" arrow_side="下" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="803" tutorial_type="連續型" tutorial_group="編隊1" tutorial_hero_pic="2036" expression="01" pic_side="右" voice="tutorial/212" comment_frame_x="0" comment_frame_y="300" comment="最後に、魔女をチームに&#xA;編成してみましょう。&#xA;「編成」をクリックしなさい。" adjust_frame_pos_by_screen_size_x="X左" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="-650" frame_posy="290" frame_scalew="265" frame_scaleh="120" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="804" tutorial_type="連續型" tutorial_group="編隊1" tutorial_hero_pic="2036" expression="01" pic_side="右" voice="tutorial/215" comment_frame_x="0" comment_frame_y="300" comment="空き枠にメンバーを選択するだけで、&#xA;魔女をチームに入れることができるわ。" adjust_frame_pos_by_screen_size_x="X左" frame_posx="-650" frame_posy="280" frame_scalew="165" frame_scaleh="150" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="805" tutorial_type="連續型" tutorial_group="編隊1" tutorial_hero_pic="2036" expression="01" pic_side="左" voice="tutorial/216" comment_frame_x="180" comment_frame_y="300" comment="早くチームを編成したい場合は、&#xA;「自動編成」をクリックしなさい。" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="137" frame_posy="-225" frame_scalew="210" frame_scaleh="110" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="806" tutorial_type="連續型" tutorial_group="編隊1" frame_posx="284" frame_posy="-260" frame_scalew="265" frame_scaleh="100" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="807" tutorial_type="連續型" tutorial_group="編隊1" tutorial_hero_pic="2036" expression="01" pic_side="左" voice="tutorial/219" comment_frame_x="180" comment_frame_y="300" comment="チームを編成すると、いつでも戦闘に&#xA;備えられるわ。" adjust_frame_pos_by_screen_size_x="X左" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="-650" frame_posy="366" frame_scalew="270" frame_scaleh="100" arrow_side="下" black_block="true" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="901" tutorial_type="連續型" tutorial_group="好感度" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/188" comment_frame_x="180" comment_frame_y="300" comment="他には…「絆」ね。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="902" tutorial_type="連續型" tutorial_group="好感度" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/189" comment_frame_x="180" comment_frame_y="300" comment="「共鳴」の効果を強めるためには、&#xA;魔女たちと心を通わせることが必要よ。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="903" tutorial_type="連續型" tutorial_group="好感度" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/190" comment_frame_x="180" comment_frame_y="300" comment="絆レベル(絆Lv)が高いほど、&#xA;魔女との心のつながりも深まるわ。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="405" frame_posy="303" frame_scalew="120" frame_scaleh="120" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="904" tutorial_type="連續型" tutorial_group="好感度" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/191" comment_frame_x="180" comment_frame_y="300" comment="「絆」を選択しなさい。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="470" frame_posy="360" frame_scalew="165" frame_scaleh="88" arrow_side="左" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="905" tutorial_type="連續型" tutorial_group="好感度" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/194" comment_frame_x="180" comment_frame_y="300" comment="ここでは、魔女の絆レベルを確認で&#xA;きるわ。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="90" frame_posy="200" frame_scalew="460" frame_scaleh="160" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="906" tutorial_type="連續型" tutorial_group="好感度" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/195" comment_frame_x="180" comment_frame_y="300" comment="十分な数のプレゼントを選んで贈ると、&#xA;絆レベルがアップするわ。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="907" tutorial_type="連續型" tutorial_group="好感度" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/196" comment_frame_x="180" comment_frame_y="300" comment="「自動選択」を使うと、必要な&#xA;アイテムが自動的に使用されるわ。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="80" frame_posy="-150" frame_scalew="200" frame_scaleh="122" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="908" tutorial_type="連續型" tutorial_group="好感度" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/201" comment_frame_x="180" comment_frame_y="300" comment="「決定」をクリックしなさい。" frame_posx="-20" frame_posy="-245" frame_scalew="250" frame_scaleh="92" arrow_side="上" black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="1001" tutorial_type="連續型" tutorial_group="角色劇情" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/205" comment_frame_x="180" comment_frame_y="300" comment="これで問題ないわね。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1002" tutorial_type="連續型" tutorial_group="角色劇情" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/206" comment_frame_x="180" comment_frame_y="300" comment="魔女と心を通わせられるかどうか&#xA;は非常に重要よ。&#xA;これが「共鳴」のカギだから…" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1003" tutorial_type="連續型" tutorial_group="角色劇情" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/207" comment_frame_x="180" comment_frame_y="300" comment="何を笑っているのかしら！あなたの&#xA;その得意そうな顔…まあいいわ…" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1004" tutorial_type="連續型" tutorial_group="角色劇情" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/208" comment_frame_x="180" comment_frame_y="300" comment="ふん、とにかく、絆レベルを上げることが&#xA;「非常に重要」だと覚えておけばいいわ。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1005" tutorial_type="連續型" tutorial_group="角色劇情" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/220" comment_frame_x="180" comment_frame_y="300" comment="「基礎訓練」はこれで全て終わりよ。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1006" tutorial_type="連續型" tutorial_group="角色劇情" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/221" comment_frame_x="180" comment_frame_y="300" comment="…よくやったわ。基本的な内容だからと&#xA;いって手抜きしなかったわね。&#xA;また…あなたを評価しなおす必要がありそうね。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1007" tutorial_type="連續型" tutorial_group="角色劇情" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/222" comment_frame_x="180" comment_frame_y="300" comment="…少し休みたい？" black_block="true" other_start="false" h_only="false"/>
